#           k/h    P           
    0.10000E-03    0.28138E+00
    0.10202E-03    0.28689E+00
    0.10408E-03    0.29252E+00
    0.10618E-03    0.29826E+00
    0.10833E-03    0.30411E+00
    0.11052E-03    0.31007E+00
    0.11275E-03    0.31615E+00
    0.11503E-03    0.32235E+00
    0.11735E-03    0.32867E+00
    0.11972E-03    0.33512E+00
    0.12214E-03    0.34169E+00
    0.12461E-03    0.34839E+00
    0.12712E-03    0.35522E+00
    0.12969E-03    0.36218E+00
    0.13231E-03    0.36929E+00
    0.13499E-03    0.37653E+00
    0.13771E-03    0.38391E+00
    0.14049E-03    0.39143E+00
    0.14333E-03    0.39911E+00
    0.14623E-03    0.40693E+00
    0.14918E-03    0.41491E+00
    0.15220E-03    0.42304E+00
    0.15527E-03    0.43133E+00
    0.15841E-03    0.43979E+00
    0.16161E-03    0.44841E+00
    0.16487E-03    0.45719E+00
    0.16820E-03    0.46615E+00
    0.17160E-03    0.47529E+00
    0.17507E-03    0.48460E+00
    0.17860E-03    0.49410E+00
    0.18221E-03    0.50378E+00
    0.18589E-03    0.51365E+00
    0.18965E-03    0.52371E+00
    0.19348E-03    0.53397E+00
    0.19739E-03    0.54443E+00
    0.20138E-03    0.55509E+00
    0.20544E-03    0.56596E+00
    0.20959E-03    0.57705E+00
    0.21383E-03    0.58834E+00
    0.21815E-03    0.59986E+00
    0.22255E-03    0.61161E+00
    0.22705E-03    0.62358E+00
    0.23164E-03    0.63579E+00
    0.23632E-03    0.64823E+00
    0.24109E-03    0.66092E+00
    0.24596E-03    0.67385E+00
    0.25093E-03    0.68704E+00
    0.25600E-03    0.70048E+00
    0.26117E-03    0.71418E+00
    0.26645E-03    0.72815E+00
    0.27183E-03    0.74239E+00
    0.27732E-03    0.75690E+00
    0.28292E-03    0.77170E+00
    0.28864E-03    0.78679E+00
    0.29447E-03    0.80217E+00
    0.30042E-03    0.81784E+00
    0.30649E-03    0.83382E+00
    0.31268E-03    0.85011E+00
    0.31899E-03    0.86672E+00
    0.32544E-03    0.88364E+00
    0.33201E-03    0.90089E+00
    0.33872E-03    0.91848E+00
    0.34556E-03    0.93641E+00
    0.35254E-03    0.95468E+00
    0.35966E-03    0.97330E+00
    0.36693E-03    0.99228E+00
    0.37434E-03    0.10116E+01
    0.38190E-03    0.10313E+01
    0.38962E-03    0.10514E+01
    0.39749E-03    0.10719E+01
    0.40552E-03    0.10928E+01
    0.41371E-03    0.11141E+01
    0.42207E-03    0.11358E+01
    0.43060E-03    0.11579E+01
    0.43929E-03    0.11804E+01
    0.44817E-03    0.12033E+01
    0.45722E-03    0.12267E+01
    0.46646E-03    0.12506E+01
    0.47588E-03    0.12749E+01
    0.48550E-03    0.12996E+01
    0.49530E-03    0.13248E+01
    0.50531E-03    0.13505E+01
    0.51552E-03    0.13767E+01
    0.52593E-03    0.14034E+01
    0.53656E-03    0.14306E+01
    0.54739E-03    0.14583E+01
    0.55845E-03    0.14865E+01
    0.56973E-03    0.15152E+01
    0.58124E-03    0.15445E+01
    0.59299E-03    0.15743E+01
    0.60496E-03    0.16047E+01
    0.61719E-03    0.16357E+01
    0.62965E-03    0.16672E+01
    0.64237E-03    0.16993E+01
    0.65535E-03    0.17320E+01
    0.66859E-03    0.17653E+01
    0.68210E-03    0.17992E+01
    0.69588E-03    0.18338E+01
    0.70993E-03    0.18689E+01
    0.72427E-03    0.19048E+01
    0.73891E-03    0.19412E+01
    0.75383E-03    0.19783E+01
    0.76906E-03    0.20161E+01
    0.78460E-03    0.20546E+01
    0.80045E-03    0.20938E+01
    0.81662E-03    0.21336E+01
    0.83311E-03    0.21742E+01
    0.84994E-03    0.22155E+01
    0.86711E-03    0.22575E+01
    0.88463E-03    0.23003E+01
    0.90250E-03    0.23438E+01
    0.92073E-03    0.23881E+01
    0.93933E-03    0.24331E+01
    0.95831E-03    0.24789E+01
    0.97767E-03    0.25255E+01
    0.99742E-03    0.25729E+01
    0.10176E-02    0.26210E+01
    0.10381E-02    0.26700E+01
    0.10591E-02    0.27198E+01
    0.10805E-02    0.27705E+01
    0.11023E-02    0.28219E+01
    0.11246E-02    0.28742E+01
    0.11473E-02    0.29274E+01
    0.11705E-02    0.29814E+01
    0.11941E-02    0.30362E+01
    0.12182E-02    0.30919E+01
    0.12429E-02    0.31485E+01
    0.12680E-02    0.32060E+01
    0.12936E-02    0.32643E+01
    0.13197E-02    0.33235E+01
    0.13464E-02    0.33836E+01
    0.13736E-02    0.34446E+01
    0.14013E-02    0.35064E+01
    0.14296E-02    0.35692E+01
    0.14585E-02    0.36328E+01
    0.14880E-02    0.36973E+01
    0.15180E-02    0.37627E+01
    0.15487E-02    0.38290E+01
    0.15800E-02    0.38961E+01
    0.16119E-02    0.39641E+01
    0.16445E-02    0.40330E+01
    0.16777E-02    0.41027E+01
    0.17116E-02    0.41732E+01
    0.17462E-02    0.42446E+01
    0.17814E-02    0.43168E+01
    0.18174E-02    0.43898E+01
    0.18541E-02    0.44636E+01
    0.18916E-02    0.45382E+01
    0.19298E-02    0.46135E+01
    0.19688E-02    0.46895E+01
    0.20086E-02    0.47663E+01
    0.20491E-02    0.48437E+01
    0.20905E-02    0.49218E+01
    0.21328E-02    0.50005E+01
    0.21758E-02    0.50798E+01
    0.22198E-02    0.51597E+01
    0.22646E-02    0.52401E+01
    0.23104E-02    0.53211E+01
    0.23571E-02    0.54024E+01
    0.24047E-02    0.54842E+01
    0.24533E-02    0.55664E+01
    0.25028E-02    0.56489E+01
    0.25534E-02    0.57316E+01
    0.26050E-02    0.58146E+01
    0.26576E-02    0.58978E+01
    0.27113E-02    0.59811E+01
    0.27660E-02    0.60645E+01
    0.28219E-02    0.61478E+01
    0.28789E-02    0.62311E+01
    0.29371E-02    0.63143E+01
    0.29964E-02    0.63973E+01
    0.30569E-02    0.64801E+01
    0.31187E-02    0.65625E+01
    0.31817E-02    0.66446E+01
    0.32460E-02    0.67262E+01
    0.33115E-02    0.68072E+01
    0.33784E-02    0.68877E+01
    0.34467E-02    0.69674E+01
    0.35163E-02    0.70464E+01
    0.35874E-02    0.71246E+01
    0.36598E-02    0.72019E+01
    0.37338E-02    0.72779E+01
    0.38092E-02    0.73530E+01
    0.38861E-02    0.74285E+01
    0.39646E-02    0.75032E+01
    0.40447E-02    0.75751E+01
    0.41264E-02    0.76452E+01
    0.42098E-02    0.77143E+01
    0.42948E-02    0.77818E+01
    0.43816E-02    0.78477E+01
    0.44701E-02    0.79119E+01
    0.45604E-02    0.79745E+01
    0.46525E-02    0.80352E+01
    0.47465E-02    0.80941E+01
    0.48424E-02    0.81512E+01
    0.49402E-02    0.82063E+01
    0.50400E-02    0.82590E+01
    0.51419E-02    0.83091E+01
    0.52457E-02    0.83575E+01
    0.53517E-02    0.84040E+01
    0.54598E-02    0.84482E+01
    0.55701E-02    0.84899E+01
    0.56826E-02    0.85293E+01
    0.57974E-02    0.85662E+01
    0.59145E-02    0.86006E+01
    0.60340E-02    0.86323E+01
    0.61559E-02    0.86615E+01
    0.62803E-02    0.86882E+01
    0.64072E-02    0.87118E+01
    0.65366E-02    0.87325E+01
    0.66686E-02    0.87501E+01
    0.68033E-02    0.87647E+01
    0.69408E-02    0.87761E+01
    0.70810E-02    0.87843E+01
    0.72240E-02    0.87890E+01
    0.73700E-02    0.87902E+01
    0.75189E-02    0.87878E+01
    0.76708E-02    0.87818E+01
    0.78257E-02    0.87719E+01
    0.79838E-02    0.87582E+01
    0.81451E-02    0.87404E+01
    0.83096E-02    0.87185E+01
    0.84775E-02    0.86925E+01
    0.86488E-02    0.86622E+01
    0.88235E-02    0.86276E+01
    0.90017E-02    0.85886E+01
    0.91836E-02    0.85453E+01
    0.93691E-02    0.84976E+01
    0.95583E-02    0.84455E+01
    0.97514E-02    0.83891E+01
    0.99484E-02    0.83285E+01
    0.10149E-01    0.82637E+01
    0.10354E-01    0.81949E+01
    0.10564E-01    0.81221E+01
    0.10777E-01    0.80456E+01
    0.10995E-01    0.79656E+01
    0.11217E-01    0.78817E+01
    0.11443E-01    0.77950E+01
    0.11675E-01    0.77062E+01
    0.11910E-01    0.76115E+01
    0.12151E-01    0.75128E+01
    0.12397E-01    0.74292E+01
    0.12647E-01    0.73533E+01
    0.12902E-01    0.72567E+01
    0.13163E-01    0.71478E+01
    0.13429E-01    0.70408E+01
    0.13700E-01    0.69324E+01
    0.13977E-01    0.68209E+01
    0.14259E-01    0.67076E+01
    0.14547E-01    0.65923E+01
    0.14841E-01    0.64749E+01
    0.15141E-01    0.63570E+01
    0.15447E-01    0.62361E+01
    0.15759E-01    0.61078E+01
    0.16077E-01    0.59783E+01
    0.16402E-01    0.58526E+01
    0.16734E-01    0.57264E+01
    0.17072E-01    0.55980E+01
    0.17416E-01    0.54688E+01
    0.17768E-01    0.53390E+01
    0.18127E-01    0.52085E+01
    0.18493E-01    0.50770E+01
    0.18867E-01    0.49457E+01
    0.19248E-01    0.48158E+01
    0.19637E-01    0.46857E+01
    0.20034E-01    0.45542E+01
    0.20438E-01    0.44228E+01
    0.20851E-01    0.42920E+01
    0.21272E-01    0.41617E+01
    0.21702E-01    0.40320E+01
    0.22141E-01    0.39031E+01
    0.22588E-01    0.37746E+01
    0.23044E-01    0.36469E+01
    0.23510E-01    0.35206E+01
    0.23985E-01    0.33958E+01
    0.24469E-01    0.32722E+01
    0.24964E-01    0.31502E+01
    0.25468E-01    0.30300E+01
    0.25982E-01    0.29119E+01
    0.26507E-01    0.27958E+01
    0.27043E-01    0.26820E+01
    0.27589E-01    0.25705E+01
    0.28146E-01    0.24615E+01
    0.28715E-01    0.23549E+01
    0.29295E-01    0.22509E+01
    0.29887E-01    0.21496E+01
    0.30490E-01    0.20511E+01
    0.31106E-01    0.19556E+01
    0.31735E-01    0.18635E+01
    0.32376E-01    0.17749E+01
    0.33030E-01    0.16899E+01
    0.33697E-01    0.16084E+01
    0.34378E-01    0.15304E+01
    0.35072E-01    0.14555E+01
    0.35781E-01    0.13837E+01
    0.36504E-01    0.13147E+01
    0.37241E-01    0.12484E+01
    0.37993E-01    0.11846E+01
    0.38761E-01    0.11235E+01
    0.39544E-01    0.10649E+01
    0.40343E-01    0.10089E+01
    0.41158E-01    0.95538E+00
    0.41989E-01    0.90431E+00
    0.42838E-01    0.85580E+00
    0.43703E-01    0.80995E+00
    0.44586E-01    0.76682E+00
    0.45486E-01    0.72637E+00
    0.46405E-01    0.68847E+00
    0.47343E-01    0.65293E+00
    0.48299E-01    0.61956E+00
    0.49275E-01    0.58819E+00
    0.50270E-01    0.55865E+00
    0.51286E-01    0.53074E+00
    0.52322E-01    0.50426E+00
    0.53379E-01    0.47903E+00
    0.54457E-01    0.45491E+00
    0.55557E-01    0.43180E+00
    0.56680E-01    0.40965E+00
    0.57825E-01    0.38843E+00
    0.58993E-01    0.36810E+00
    0.60184E-01    0.34860E+00
    0.61400E-01    0.32983E+00
    0.62641E-01    0.31174E+00
    0.63906E-01    0.29431E+00
    0.65197E-01    0.27752E+00
    0.66514E-01    0.26131E+00
    0.67858E-01    0.24559E+00
    0.69229E-01    0.23031E+00
    0.70627E-01    0.21550E+00
    0.72054E-01    0.20114E+00
    0.73510E-01    0.18726E+00
    0.74994E-01    0.17394E+00
    0.76509E-01    0.16125E+00
    0.78055E-01    0.14921E+00
    0.79632E-01    0.13778E+00
    0.81241E-01    0.12693E+00
    0.82882E-01    0.11670E+00
    0.84556E-01    0.10708E+00
    0.86264E-01    0.98102E-01
    0.88007E-01    0.89823E-01
    0.89785E-01    0.82267E-01
    0.91598E-01    0.75415E-01
    0.93449E-01    0.69220E-01
    0.95337E-01    0.63630E-01
    0.97263E-01    0.58596E-01
    0.99227E-01    0.54065E-01
    0.10123E+00    0.49989E-01
    0.10328E+00    0.46329E-01
    0.10536E+00    0.43031E-01
    0.10749E+00    0.40061E-01
    0.10966E+00    0.37377E-01
    0.11188E+00    0.34907E-01
    0.11414E+00    0.32605E-01
    0.11644E+00    0.30442E-01
    0.11880E+00    0.28391E-01
    0.12120E+00    0.26432E-01
    0.12365E+00    0.24530E-01
    0.12614E+00    0.22663E-01
    0.12869E+00    0.20833E-01
    0.13129E+00    0.19061E-01
    0.13394E+00    0.17370E-01
    0.13665E+00    0.15767E-01
    0.13941E+00    0.14263E-01
    0.14223E+00    0.12869E-01
    0.14510E+00    0.11590E-01
    0.14803E+00    0.10437E-01
    0.15102E+00    0.94154E-02
    0.15407E+00    0.85184E-02
    0.15718E+00    0.77334E-02
    0.16036E+00    0.70523E-02
    0.16360E+00    0.64652E-02
    0.16690E+00    0.59517E-02
    0.17028E+00    0.54903E-02
    0.17371E+00    0.50709E-02
    0.17722E+00    0.46826E-02
    0.18080E+00    0.43145E-02
    0.18446E+00    0.39584E-02
    0.18818E+00    0.36096E-02
    0.19198E+00    0.32728E-02
    0.19586E+00    0.29524E-02
    0.19982E+00    0.26498E-02
    0.20386E+00    0.23717E-02
    0.20797E+00    0.21229E-02
    0.21218E+00    0.19022E-02
    0.21646E+00    0.17107E-02
    0.22083E+00    0.15468E-02
    0.22530E+00    0.14061E-02
    0.22985E+00    0.12827E-02
    0.23449E+00    0.11722E-02
    0.23923E+00    0.10716E-02
    0.24406E+00    0.97614E-03
    0.24899E+00    0.88541E-03
    0.25402E+00    0.79827E-03
    0.25915E+00    0.71580E-03
    0.26439E+00    0.64006E-03
    0.26973E+00    0.57192E-03
    0.27518E+00    0.51135E-03
    0.28074E+00    0.45933E-03
    0.28641E+00    0.41422E-03
    0.29219E+00    0.37503E-03
    0.29810E+00    0.33977E-03
    0.30412E+00    0.30746E-03
    0.31026E+00    0.27763E-03
    0.31653E+00    0.24925E-03
    0.32292E+00    0.22306E-03
    0.32945E+00    0.19918E-03
    0.33610E+00    0.17799E-03
    0.34289E+00    0.15931E-03
    0.34982E+00    0.14309E-03
    0.35689E+00    0.12881E-03
    0.36409E+00    0.11592E-03
    0.37145E+00    0.10414E-03
    0.37895E+00    0.93335E-04
    0.38661E+00    0.83368E-04
    0.39442E+00    0.74452E-04
    0.40239E+00    0.66454E-04
    0.41052E+00    0.59464E-04
    0.41881E+00    0.53281E-04
    0.42727E+00    0.47731E-04
    0.43590E+00    0.42715E-04
    0.44471E+00    0.38154E-04
    0.45369E+00    0.34052E-04
    0.46286E+00    0.30371E-04
    0.47221E+00    0.27091E-04
    0.48174E+00    0.24215E-04
    0.49148E+00    0.21623E-04
    0.50141E+00    0.19294E-04
    0.51153E+00    0.17205E-04
    0.52187E+00    0.15334E-04
    0.53241E+00    0.13654E-04
    0.54317E+00    0.12169E-04
    0.55414E+00    0.10850E-04
    0.56533E+00    0.96647E-05
    0.57675E+00    0.85990E-05
    0.58840E+00    0.76509E-05
    0.60029E+00    0.68071E-05
    0.61242E+00    0.60559E-05
    0.62479E+00    0.53871E-05
    0.63741E+00    0.47914E-05
    0.65029E+00    0.42609E-05
    0.66342E+00    0.37883E-05
    0.67683E+00    0.33673E-05
    0.69050E+00    0.29922E-05
    0.70445E+00    0.26580E-05
    0.71868E+00    0.23606E-05
    0.73320E+00    0.20958E-05
    0.74801E+00    0.18603E-05
    0.76312E+00    0.16508E-05
    0.77854E+00    0.14645E-05
    0.79426E+00    0.12990E-05
    0.81031E+00    0.11519E-05
    0.82668E+00    0.10213E-05
    0.84338E+00    0.90533E-06
    0.86041E+00    0.80236E-06
    0.87780E+00    0.71097E-06
    0.89553E+00    0.62987E-06
    0.91362E+00    0.55791E-06
    0.93208E+00    0.49409E-06
    0.95091E+00    0.43748E-06
    0.97011E+00    0.38729E-06
    0.98971E+00    0.34279E-06
    0.10097E+01    0.30335E-06
    0.10301E+01    0.26840E-06
    0.10509E+01    0.23743E-06
    0.10721E+01    0.21000E-06
    0.10938E+01    0.18570E-06
    0.11159E+01    0.16419E-06
    0.11384E+01    0.14515E-06
    0.11614E+01    0.12830E-06
    0.11849E+01    0.11338E-06
