#           k/h    P           
    0.10000E-03    0.28214E+00
    0.10202E-03    0.28765E+00
    0.10408E-03    0.29328E+00
    0.10618E-03    0.29901E+00
    0.10833E-03    0.30486E+00
    0.11052E-03    0.31082E+00
    0.11275E-03    0.31689E+00
    0.11503E-03    0.32309E+00
    0.11735E-03    0.32941E+00
    0.11972E-03    0.33584E+00
    0.12214E-03    0.34241E+00
    0.12461E-03    0.34910E+00
    0.12712E-03    0.35593E+00
    0.12969E-03    0.36288E+00
    0.13231E-03    0.36997E+00
    0.13499E-03    0.37720E+00
    0.13771E-03    0.38458E+00
    0.14049E-03    0.39209E+00
    0.14333E-03    0.39975E+00
    0.14623E-03    0.40756E+00
    0.14918E-03    0.41553E+00
    0.15220E-03    0.42364E+00
    0.15527E-03    0.43192E+00
    0.15841E-03    0.44036E+00
    0.16161E-03    0.44896E+00
    0.16487E-03    0.45773E+00
    0.16820E-03    0.46667E+00
    0.17160E-03    0.47578E+00
    0.17507E-03    0.48507E+00
    0.17860E-03    0.49455E+00
    0.18221E-03    0.50420E+00
    0.18589E-03    0.51405E+00
    0.18965E-03    0.52408E+00
    0.19348E-03    0.53431E+00
    0.19739E-03    0.54474E+00
    0.20138E-03    0.55537E+00
    0.20544E-03    0.56621E+00
    0.20959E-03    0.57726E+00
    0.21383E-03    0.58852E+00
    0.21815E-03    0.60000E+00
    0.22255E-03    0.61170E+00
    0.22705E-03    0.62363E+00
    0.23164E-03    0.63580E+00
    0.23632E-03    0.64819E+00
    0.24109E-03    0.66083E+00
    0.24596E-03    0.67371E+00
    0.25093E-03    0.68684E+00
    0.25600E-03    0.70022E+00
    0.26117E-03    0.71387E+00
    0.26645E-03    0.72777E+00
    0.27183E-03    0.74195E+00
    0.27732E-03    0.75639E+00
    0.28292E-03    0.77112E+00
    0.28864E-03    0.78613E+00
    0.29447E-03    0.80143E+00
    0.30042E-03    0.81702E+00
    0.30649E-03    0.83292E+00
    0.31268E-03    0.84911E+00
    0.31899E-03    0.86562E+00
    0.32544E-03    0.88245E+00
    0.33201E-03    0.89960E+00
    0.33872E-03    0.91708E+00
    0.34556E-03    0.93489E+00
    0.35254E-03    0.95304E+00
    0.35966E-03    0.97154E+00
    0.36693E-03    0.99039E+00
    0.37434E-03    0.10096E+01
    0.38190E-03    0.10292E+01
    0.38962E-03    0.10491E+01
    0.39749E-03    0.10695E+01
    0.40552E-03    0.10902E+01
    0.41371E-03    0.11113E+01
    0.42207E-03    0.11328E+01
    0.43060E-03    0.11547E+01
    0.43929E-03    0.11770E+01
    0.44817E-03    0.11998E+01
    0.45722E-03    0.12229E+01
    0.46646E-03    0.12465E+01
    0.47588E-03    0.12706E+01
    0.48550E-03    0.12951E+01
    0.49530E-03    0.13201E+01
    0.50531E-03    0.13455E+01
    0.51552E-03    0.13714E+01
    0.52593E-03    0.13978E+01
    0.53656E-03    0.14246E+01
    0.54739E-03    0.14520E+01
    0.55845E-03    0.14798E+01
    0.56973E-03    0.15082E+01
    0.58124E-03    0.15371E+01
    0.59299E-03    0.15666E+01
    0.60496E-03    0.15965E+01
    0.61719E-03    0.16270E+01
    0.62965E-03    0.16581E+01
    0.64237E-03    0.16897E+01
    0.65535E-03    0.17219E+01
    0.66859E-03    0.17547E+01
    0.68210E-03    0.17881E+01
    0.69588E-03    0.18220E+01
    0.70993E-03    0.18566E+01
    0.72427E-03    0.18917E+01
    0.73891E-03    0.19275E+01
    0.75383E-03    0.19639E+01
    0.76906E-03    0.20010E+01
    0.78460E-03    0.20387E+01
    0.80045E-03    0.20770E+01
    0.81662E-03    0.21160E+01
    0.83311E-03    0.21557E+01
    0.84994E-03    0.21960E+01
    0.86711E-03    0.22370E+01
    0.88463E-03    0.22787E+01
    0.90250E-03    0.23211E+01
    0.92073E-03    0.23642E+01
    0.93933E-03    0.24080E+01
    0.95831E-03    0.24525E+01
    0.97767E-03    0.24977E+01
    0.99742E-03    0.25437E+01
    0.10176E-02    0.25904E+01
    0.10381E-02    0.26378E+01
    0.10591E-02    0.26859E+01
    0.10805E-02    0.27348E+01
    0.11023E-02    0.27844E+01
    0.11246E-02    0.28348E+01
    0.11473E-02    0.28859E+01
    0.11705E-02    0.29377E+01
    0.11941E-02    0.29903E+01
    0.12182E-02    0.30437E+01
    0.12429E-02    0.30978E+01
    0.12680E-02    0.31526E+01
    0.12936E-02    0.32082E+01
    0.13197E-02    0.32645E+01
    0.13464E-02    0.33215E+01
    0.13736E-02    0.33793E+01
    0.14013E-02    0.34377E+01
    0.14296E-02    0.34969E+01
    0.14585E-02    0.35568E+01
    0.14880E-02    0.36174E+01
    0.15180E-02    0.36786E+01
    0.15487E-02    0.37405E+01
    0.15800E-02    0.38031E+01
    0.16119E-02    0.38663E+01
    0.16445E-02    0.39301E+01
    0.16777E-02    0.39945E+01
    0.17116E-02    0.40594E+01
    0.17462E-02    0.41249E+01
    0.17814E-02    0.41909E+01
    0.18174E-02    0.42574E+01
    0.18541E-02    0.43244E+01
    0.18916E-02    0.43918E+01
    0.19298E-02    0.44596E+01
    0.19688E-02    0.45278E+01
    0.20086E-02    0.45962E+01
    0.20491E-02    0.46650E+01
    0.20905E-02    0.47340E+01
    0.21328E-02    0.48031E+01
    0.21758E-02    0.48724E+01
    0.22198E-02    0.49418E+01
    0.22646E-02    0.50112E+01
    0.23104E-02    0.50806E+01
    0.23571E-02    0.51499E+01
    0.24047E-02    0.52191E+01
    0.24533E-02    0.52880E+01
    0.25028E-02    0.53567E+01
    0.25534E-02    0.54251E+01
    0.26050E-02    0.54930E+01
    0.26576E-02    0.55604E+01
    0.27113E-02    0.56272E+01
    0.27660E-02    0.56934E+01
    0.28219E-02    0.57589E+01
    0.28789E-02    0.58235E+01
    0.29371E-02    0.58873E+01
    0.29964E-02    0.59501E+01
    0.30569E-02    0.60118E+01
    0.31187E-02    0.60723E+01
    0.31817E-02    0.61316E+01
    0.32460E-02    0.61896E+01
    0.33115E-02    0.62461E+01
    0.33784E-02    0.63012E+01
    0.34467E-02    0.63546E+01
    0.35163E-02    0.64063E+01
    0.35874E-02    0.64563E+01
    0.36598E-02    0.65045E+01
    0.37338E-02    0.65505E+01
    0.38092E-02    0.65942E+01
    0.38861E-02    0.66376E+01
    0.39646E-02    0.66801E+01
    0.40447E-02    0.67187E+01
    0.41264E-02    0.67539E+01
    0.42098E-02    0.67871E+01
    0.42948E-02    0.68180E+01
    0.43816E-02    0.68463E+01
    0.44701E-02    0.68721E+01
    0.45604E-02    0.68954E+01
    0.46525E-02    0.69160E+01
    0.47465E-02    0.69341E+01
    0.48424E-02    0.69495E+01
    0.49402E-02    0.69615E+01
    0.50400E-02    0.69707E+01
    0.51419E-02    0.69778E+01
    0.52457E-02    0.69823E+01
    0.53517E-02    0.69840E+01
    0.54598E-02    0.69829E+01
    0.55701E-02    0.69792E+01
    0.56826E-02    0.69727E+01
    0.57974E-02    0.69635E+01
    0.59145E-02    0.69516E+01
    0.60340E-02    0.69374E+01
    0.61559E-02    0.69204E+01
    0.62803E-02    0.69007E+01
    0.64072E-02    0.68783E+01
    0.65366E-02    0.68533E+01
    0.66686E-02    0.68257E+01
    0.68033E-02    0.67955E+01
    0.69408E-02    0.67628E+01
    0.70810E-02    0.67274E+01
    0.72240E-02    0.66894E+01
    0.73700E-02    0.66489E+01
    0.75189E-02    0.66058E+01
    0.76708E-02    0.65602E+01
    0.78257E-02    0.65120E+01
    0.79838E-02    0.64612E+01
    0.81451E-02    0.64079E+01
    0.83096E-02    0.63521E+01
    0.84775E-02    0.62938E+01
    0.86488E-02    0.62327E+01
    0.88235E-02    0.61694E+01
    0.90017E-02    0.61047E+01
    0.91836E-02    0.60350E+01
    0.93691E-02    0.59621E+01
