#           k/h    P           
    0.10000E-03    0.27499E+00
    0.10202E-03    0.28038E+00
    0.10408E-03    0.28587E+00
    0.10618E-03    0.29147E+00
    0.10833E-03    0.29718E+00
    0.11052E-03    0.30300E+00
    0.11275E-03    0.30894E+00
    0.11503E-03    0.31499E+00
    0.11735E-03    0.32116E+00
    0.11972E-03    0.32745E+00
    0.12214E-03    0.33386E+00
    0.12461E-03    0.34040E+00
    0.12712E-03    0.34707E+00
    0.12969E-03    0.35386E+00
    0.13231E-03    0.36079E+00
    0.13499E-03    0.36786E+00
    0.13771E-03    0.37506E+00
    0.14049E-03    0.38241E+00
    0.14333E-03    0.38990E+00
    0.14623E-03    0.39753E+00
    0.14918E-03    0.40532E+00
    0.15220E-03    0.41325E+00
    0.15527E-03    0.42135E+00
    0.15841E-03    0.42960E+00
    0.16161E-03    0.43801E+00
    0.16487E-03    0.44658E+00
    0.16820E-03    0.45532E+00
    0.17160E-03    0.46424E+00
    0.17507E-03    0.47333E+00
    0.17860E-03    0.48259E+00
    0.18221E-03    0.49204E+00
    0.18589E-03    0.50167E+00
    0.18965E-03    0.51149E+00
    0.19348E-03    0.52150E+00
    0.19739E-03    0.53171E+00
    0.20138E-03    0.54211E+00
    0.20544E-03    0.55272E+00
    0.20959E-03    0.56354E+00
    0.21383E-03    0.57456E+00
    0.21815E-03    0.58580E+00
    0.22255E-03    0.59727E+00
    0.22705E-03    0.60895E+00
    0.23164E-03    0.62086E+00
    0.23632E-03    0.63301E+00
    0.24109E-03    0.64539E+00
    0.24596E-03    0.65801E+00
    0.25093E-03    0.67088E+00
    0.25600E-03    0.68400E+00
    0.26117E-03    0.69737E+00
    0.26645E-03    0.71101E+00
    0.27183E-03    0.72491E+00
    0.27732E-03    0.73908E+00
    0.28292E-03    0.75352E+00
    0.28864E-03    0.76825E+00
    0.29447E-03    0.78326E+00
    0.30042E-03    0.79856E+00
    0.30649E-03    0.81416E+00
    0.31268E-03    0.83007E+00
    0.31899E-03    0.84628E+00
    0.32544E-03    0.86281E+00
    0.33201E-03    0.87966E+00
    0.33872E-03    0.89683E+00
    0.34556E-03    0.91434E+00
    0.35254E-03    0.93218E+00
    0.35966E-03    0.95038E+00
    0.36693E-03    0.96892E+00
    0.37434E-03    0.98782E+00
    0.38190E-03    0.10071E+01
    0.38962E-03    0.10267E+01
    0.39749E-03    0.10467E+01
    0.40552E-03    0.10671E+01
    0.41371E-03    0.10879E+01
    0.42207E-03    0.11091E+01
    0.43060E-03    0.11307E+01
    0.43929E-03    0.11528E+01
    0.44817E-03    0.11752E+01
    0.45722E-03    0.11981E+01
    0.46646E-03    0.12214E+01
    0.47588E-03    0.12452E+01
    0.48550E-03    0.12694E+01
    0.49530E-03    0.12941E+01
    0.50531E-03    0.13192E+01
    0.51552E-03    0.13448E+01
    0.52593E-03    0.13710E+01
    0.53656E-03    0.13976E+01
    0.54739E-03    0.14247E+01
    0.55845E-03    0.14524E+01
    0.56973E-03    0.14805E+01
    0.58124E-03    0.15092E+01
    0.59299E-03    0.15385E+01
    0.60496E-03    0.15683E+01
    0.61719E-03    0.15986E+01
    0.62965E-03    0.16296E+01
    0.64237E-03    0.16611E+01
    0.65535E-03    0.16932E+01
    0.66859E-03    0.17259E+01
    0.68210E-03    0.17592E+01
    0.69588E-03    0.17932E+01
    0.70993E-03    0.18277E+01
    0.72427E-03    0.18630E+01
    0.73891E-03    0.18988E+01
    0.75383E-03    0.19354E+01
    0.76906E-03    0.19726E+01
    0.78460E-03    0.20105E+01
    0.80045E-03    0.20491E+01
    0.81662E-03    0.20884E+01
    0.83311E-03    0.21284E+01
    0.84994E-03    0.21692E+01
    0.86711E-03    0.22107E+01
    0.88463E-03    0.22529E+01
    0.90250E-03    0.22960E+01
    0.92073E-03    0.23398E+01
    0.93933E-03    0.23843E+01
    0.95831E-03    0.24297E+01
    0.97767E-03    0.24759E+01
    0.99742E-03    0.25229E+01
    0.10176E-02    0.25708E+01
    0.10381E-02    0.26195E+01
    0.10591E-02    0.26690E+01
    0.10805E-02    0.27194E+01
    0.11023E-02    0.27707E+01
    0.11246E-02    0.28228E+01
    0.11473E-02    0.28759E+01
    0.11705E-02    0.29299E+01
    0.11941E-02    0.29847E+01
    0.12182E-02    0.30405E+01
    0.12429E-02    0.30973E+01
    0.12680E-02    0.31550E+01
    0.12936E-02    0.32136E+01
    0.13197E-02    0.32732E+01
    0.13464E-02    0.33338E+01
    0.13736E-02    0.33954E+01
    0.14013E-02    0.34579E+01
    0.14296E-02    0.35215E+01
    0.14585E-02    0.35860E+01
    0.14880E-02    0.36516E+01
    0.15180E-02    0.37182E+01
    0.15487E-02    0.37857E+01
    0.15800E-02    0.38544E+01
    0.16119E-02    0.39240E+01
    0.16445E-02    0.39947E+01
    0.16777E-02    0.40664E+01
    0.17116E-02    0.41391E+01
    0.17462E-02    0.42129E+01
    0.17814E-02    0.42877E+01
    0.18174E-02    0.43635E+01
    0.18541E-02    0.44404E+01
    0.18916E-02    0.45183E+01
    0.19298E-02    0.45972E+01
    0.19688E-02    0.46771E+01
    0.20086E-02    0.47580E+01
    0.20491E-02    0.48400E+01
    0.20905E-02    0.49229E+01
    0.21328E-02    0.50068E+01
    0.21758E-02    0.50917E+01
    0.22198E-02    0.51775E+01
    0.22646E-02    0.52643E+01
    0.23104E-02    0.53520E+01
    0.23571E-02    0.54406E+01
    0.24047E-02    0.55301E+01
    0.24533E-02    0.56204E+01
    0.25028E-02    0.57116E+01
    0.25534E-02    0.58036E+01
    0.26050E-02    0.58964E+01
    0.26576E-02    0.59899E+01
    0.27113E-02    0.60842E+01
    0.27660E-02    0.61791E+01
    0.28219E-02    0.62748E+01
