#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12091E+04    0.13156E+01    0.19633E-04    0.13156E+01    0.75064E-01   -0.90634E-08    0.19633E-04   -0.90634E-08    0.64217E-10
    44    0.12271E+04    0.12002E+01    0.18770E-04    0.12002E+01    0.80965E-01   -0.87333E-08    0.18770E-04   -0.87333E-08    0.61068E-10
    45    0.12455E+04    0.10718E+01    0.17960E-04    0.10718E+01    0.87206E-01   -0.85919E-08    0.17960E-04   -0.85919E-08    0.58122E-10
    46    0.12642E+04    0.92837E+00    0.17198E-04    0.92837E+00    0.93805E-01   -0.84077E-08    0.17198E-04   -0.84077E-08    0.55358E-10
    47    0.12830E+04    0.77087E+00    0.16478E-04    0.77087E+00    0.10072E+00   -0.81941E-08    0.16478E-04   -0.81941E-08    0.52764E-10
    48    0.13019E+04    0.60376E+00    0.15798E-04    0.60376E+00    0.10791E+00   -0.80262E-08    0.15798E-04   -0.80262E-08    0.50329E-10
    49    0.13211E+04    0.43094E+00    0.15154E-04    0.43094E+00    0.11531E+00   -0.79789E-08    0.15154E-04   -0.79789E-08    0.48040E-10
    50    0.13407E+04    0.24948E+00    0.14544E-04    0.24948E+00    0.12283E+00   -0.81273E-08    0.14544E-04   -0.81273E-08    0.45886E-10
    51    0.13605E+04    0.54993E-01    0.13964E-04    0.54993E-01    0.13042E+00   -0.85114E-08    0.13964E-04   -0.85114E-08    0.43856E-10
    52    0.13807E+04   -0.15721E+00    0.13414E-04   -0.15721E+00    0.13822E+00   -0.90323E-08    0.13414E-04   -0.90323E-08    0.41941E-10
    53    0.14010E+04   -0.39005E+00    0.12893E-04   -0.39005E+00    0.14644E+00   -0.95561E-08    0.12893E-04   -0.95561E-08    0.40135E-10
    54    0.14213E+04   -0.63847E+00    0.12401E-04   -0.63847E+00    0.15513E+00   -0.99491E-08    0.12401E-04   -0.99491E-08    0.38430E-10
    55    0.14416E+04   -0.89732E+00    0.11938E-04   -0.89732E+00    0.16435E+00   -0.10077E-07    0.11938E-04   -0.10077E-07    0.36817E-10
    56    0.14623E+04   -0.11677E+01    0.11503E-04   -0.11677E+01    0.17400E+00   -0.98535E-08    0.11503E-04   -0.98535E-08    0.35291E-10
