#           k/h    P           
    0.10000E-03    0.30212E+00
    0.10202E-03    0.30808E+00
    0.10408E-03    0.31416E+00
    0.10618E-03    0.32036E+00
    0.10833E-03    0.32669E+00
    0.11052E-03    0.33314E+00
    0.11275E-03    0.33971E+00
    0.11503E-03    0.34641E+00
    0.11735E-03    0.35325E+00
    0.11972E-03    0.36022E+00
    0.12214E-03    0.36732E+00
    0.12461E-03    0.37457E+00
    0.12712E-03    0.38196E+00
    0.12969E-03    0.38949E+00
    0.13231E-03    0.39717E+00
    0.13499E-03    0.40500E+00
    0.13771E-03    0.41299E+00
    0.14049E-03    0.42113E+00
    0.14333E-03    0.42943E+00
    0.14623E-03    0.43789E+00
    0.14918E-03    0.44652E+00
    0.15220E-03    0.45531E+00
    0.15527E-03    0.46428E+00
    0.15841E-03    0.47343E+00
    0.16161E-03    0.48275E+00
    0.16487E-03    0.49226E+00
    0.16820E-03    0.50195E+00
    0.17160E-03    0.51183E+00
    0.17507E-03    0.52190E+00
    0.17860E-03    0.53217E+00
    0.18221E-03    0.54264E+00
    0.18589E-03    0.55331E+00
    0.18965E-03    0.56419E+00
    0.19348E-03    0.57528E+00
    0.19739E-03    0.58659E+00
    0.20138E-03    0.59811E+00
    0.20544E-03    0.60986E+00
    0.20959E-03    0.62184E+00
    0.21383E-03    0.63405E+00
    0.21815E-03    0.64649E+00
    0.22255E-03    0.65917E+00
    0.22705E-03    0.67210E+00
    0.23164E-03    0.68528E+00
    0.23632E-03    0.69872E+00
    0.24109E-03    0.71241E+00
    0.24596E-03    0.72636E+00
    0.25093E-03    0.74058E+00
    0.25600E-03    0.75508E+00
    0.26117E-03    0.76985E+00
    0.26645E-03    0.78491E+00
    0.27183E-03    0.80025E+00
    0.27732E-03    0.81588E+00
    0.28292E-03    0.83182E+00
    0.28864E-03    0.84805E+00
    0.29447E-03    0.86459E+00
    0.30042E-03    0.88145E+00
    0.30649E-03    0.89863E+00
    0.31268E-03    0.91613E+00
    0.31899E-03    0.93395E+00
    0.32544E-03    0.95212E+00
    0.33201E-03    0.97062E+00
    0.33872E-03    0.98947E+00
    0.34556E-03    0.10087E+01
    0.35254E-03    0.10282E+01
    0.35966E-03    0.10482E+01
    0.36693E-03    0.10685E+01
    0.37434E-03    0.10891E+01
    0.38190E-03    0.11102E+01
    0.38962E-03    0.11316E+01
    0.39749E-03    0.11534E+01
    0.40552E-03    0.11757E+01
    0.41371E-03    0.11983E+01
    0.42207E-03    0.12213E+01
    0.43060E-03    0.12448E+01
    0.43929E-03    0.12687E+01
    0.44817E-03    0.12930E+01
    0.45722E-03    0.13177E+01
    0.46646E-03    0.13429E+01
    0.47588E-03    0.13685E+01
    0.48550E-03    0.13946E+01
    0.49530E-03    0.14211E+01
    0.50531E-03    0.14481E+01
    0.51552E-03    0.14756E+01
    0.52593E-03    0.15035E+01
    0.53656E-03    0.15319E+01
    0.54739E-03    0.15608E+01
    0.55845E-03    0.15902E+01
    0.56973E-03    0.16200E+01
    0.58124E-03    0.16504E+01
    0.59299E-03    0.16813E+01
