#           k/h    P           
    0.10000E-03    0.31210E+00
    0.10202E-03    0.31825E+00
    0.10408E-03    0.32453E+00
    0.10618E-03    0.33094E+00
    0.10833E-03    0.33747E+00
    0.11052E-03    0.34412E+00
    0.11275E-03    0.35091E+00
    0.11503E-03    0.35783E+00
    0.11735E-03    0.36489E+00
    0.11972E-03    0.37208E+00
    0.12214E-03    0.37942E+00
    0.12461E-03    0.38690E+00
    0.12712E-03    0.39452E+00
    0.12969E-03    0.40230E+00
    0.13231E-03    0.41023E+00
    0.13499E-03    0.41831E+00
    0.13771E-03    0.42655E+00
    0.14049E-03    0.43495E+00
    0.14333E-03    0.44352E+00
    0.14623E-03    0.45225E+00
    0.14918E-03    0.46116E+00
    0.15220E-03    0.47023E+00
    0.15527E-03    0.47949E+00
    0.15841E-03    0.48892E+00
    0.16161E-03    0.49854E+00
    0.16487E-03    0.50835E+00
    0.16820E-03    0.51834E+00
    0.17160E-03    0.52853E+00
    0.17507E-03    0.53892E+00
    0.17860E-03    0.54951E+00
    0.18221E-03    0.56031E+00
    0.18589E-03    0.57131E+00
    0.18965E-03    0.58253E+00
    0.19348E-03    0.59397E+00
    0.19739E-03    0.60562E+00
    0.20138E-03    0.61750E+00
    0.20544E-03    0.62961E+00
    0.20959E-03    0.64196E+00
    0.21383E-03    0.65454E+00
    0.21815E-03    0.66736E+00
    0.22255E-03    0.68043E+00
    0.22705E-03    0.69375E+00
    0.23164E-03    0.70733E+00
    0.23632E-03    0.72116E+00
    0.24109E-03    0.73526E+00
    0.24596E-03    0.74963E+00
    0.25093E-03    0.76427E+00
    0.25600E-03    0.77919E+00
    0.26117E-03    0.79440E+00
    0.26645E-03    0.80989E+00
    0.27183E-03    0.82567E+00
    0.27732E-03    0.84176E+00
    0.28292E-03    0.85814E+00
    0.28864E-03    0.87484E+00
    0.29447E-03    0.89184E+00
    0.30042E-03    0.90917E+00
    0.30649E-03    0.92682E+00
    0.31268E-03    0.94480E+00
    0.31899E-03    0.96312E+00
    0.32544E-03    0.98177E+00
    0.33201E-03    0.10008E+01
    0.33872E-03    0.10201E+01
    0.34556E-03    0.10398E+01
    0.35254E-03    0.10599E+01
    0.35966E-03    0.10803E+01
