#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.15707E+04    0.17490E+00    0.00000E+00   -0.10003E+01    0.13714E-06    0.80092E-03   -0.60372E-06
    55    0.15934E+04    0.18525E+00    0.00000E+00   -0.12992E+01    0.13649E-06    0.78604E-03   -0.62019E-06
    56    0.16165E+04    0.19608E+00    0.00000E+00   -0.16116E+01    0.13584E-06    0.77187E-03   -0.61459E-06
    57    0.16399E+04    0.20722E+00    0.00000E+00   -0.19370E+01    0.13517E-06    0.75832E-03   -0.59305E-06
    58    0.16636E+04    0.21860E+00    0.00000E+00   -0.22758E+01    0.13449E-06    0.74529E-03   -0.56452E-06
    59    0.16875E+04    0.23017E+00    0.00000E+00   -0.26283E+01    0.13380E-06    0.73265E-03   -0.53792E-06
    60    0.17117E+04    0.24189E+00    0.00000E+00   -0.29936E+01    0.13311E-06    0.72031E-03   -0.52216E-06
    61    0.17364E+04    0.25382E+00    0.00000E+00   -0.33708E+01    0.13241E-06    0.70816E-03   -0.52414E-06
    62    0.17611E+04    0.26597E+00    0.00000E+00   -0.37620E+01    0.13170E-06    0.69621E-03   -0.54278E-06
    63    0.17860E+04    0.27837E+00    0.00000E+00   -0.41697E+01    0.13099E-06    0.68449E-03   -0.57501E-06
    64    0.18113E+04    0.29113E+00    0.00000E+00   -0.45969E+01    0.13027E-06    0.67300E-03   -0.61775E-06
    65    0.18366E+04    0.30427E+00    0.00000E+00   -0.50456E+01    0.12955E-06    0.66177E-03   -0.66795E-06
    66    0.18622E+04    0.31778E+00    0.00000E+00   -0.55149E+01    0.12882E-06    0.65082E-03   -0.72197E-06
    67    0.18880E+04    0.33163E+00    0.00000E+00   -0.60001E+01    0.12810E-06    0.64019E-03   -0.77386E-06
    68    0.19142E+04    0.34578E+00    0.00000E+00   -0.64969E+01    0.12736E-06    0.62991E-03   -0.81711E-06
    69    0.19407E+04    0.36012E+00    0.00000E+00   -0.70010E+01    0.12663E-06    0.62001E-03   -0.84519E-06
    70    0.19677E+04    0.37464E+00    0.00000E+00   -0.75115E+01    0.12589E-06    0.61054E-03   -0.85162E-06
    71    0.19950E+04    0.38926E+00    0.00000E+00   -0.80290E+01    0.12516E-06    0.60150E-03   -0.83272E-06
    72    0.20226E+04    0.40399E+00    0.00000E+00   -0.85562E+01    0.12442E-06    0.59282E-03   -0.79616E-06
    73    0.20504E+04    0.41883E+00    0.00000E+00   -0.90959E+01    0.12368E-06    0.58440E-03   -0.75240E-06
    74    0.20783E+04    0.43380E+00    0.00000E+00   -0.96496E+01    0.12294E-06    0.57613E-03   -0.71190E-06
    75    0.21066E+04    0.44896E+00    0.00000E+00   -0.10218E+02    0.12220E-06    0.56792E-03   -0.68513E-06
    76    0.21350E+04    0.46433E+00    0.00000E+00   -0.10802E+02    0.12146E-06    0.55970E-03   -0.67988E-06
    77    0.21637E+04    0.47990E+00    0.00000E+00   -0.11400E+02    0.12072E-06    0.55150E-03   -0.69343E-06
    78    0.21927E+04    0.49568E+00    0.00000E+00   -0.12011E+02    0.11998E-06    0.54337E-03   -0.72043E-06
    79    0.22219E+04    0.51161E+00    0.00000E+00   -0.12629E+02    0.11925E-06    0.53539E-03   -0.75552E-06
    80    0.22515E+04    0.52767E+00    0.00000E+00   -0.13255E+02    0.11851E-06    0.52762E-03   -0.79336E-06
    81    0.22813E+04    0.54379E+00    0.00000E+00   -0.13886E+02    0.11778E-06    0.52010E-03   -0.82909E-06
    82    0.23115E+04    0.56000E+00    0.00000E+00   -0.14523E+02    0.11705E-06    0.51284E-03   -0.85984E-06
    83    0.23420E+04    0.57624E+00    0.00000E+00   -0.15166E+02    0.11632E-06    0.50583E-03   -0.88318E-06
    84    0.23728E+04    0.59250E+00    0.00000E+00   -0.15817E+02    0.11559E-06    0.49905E-03   -0.89672E-06
    85    0.24038E+04    0.60875E+00    0.00000E+00   -0.16476E+02    0.11486E-06    0.49251E-03   -0.89806E-06
    86    0.24350E+04    0.62499E+00    0.00000E+00   -0.17145E+02    0.11414E-06    0.48618E-03   -0.88589E-06
    87    0.24668E+04    0.64119E+00    0.00000E+00   -0.17821E+02    0.11342E-06    0.48004E-03   -0.86327E-06
    88    0.24986E+04    0.65736E+00    0.00000E+00   -0.18505E+02    0.11271E-06    0.47407E-03   -0.83435E-06
    89    0.25308E+04    0.67350E+00    0.00000E+00   -0.19196E+02    0.11200E-06    0.46823E-03   -0.80326E-06
    90    0.25632E+04    0.68957E+00    0.00000E+00   -0.19890E+02    0.11129E-06    0.46250E-03   -0.77415E-06
    91    0.25958E+04    0.70557E+00    0.00000E+00   -0.20589E+02    0.11058E-06    0.45686E-03   -0.75040E-06
    92    0.26287E+04    0.72148E+00    0.00000E+00   -0.21289E+02    0.10988E-06    0.45129E-03   -0.73234E-06
    93    0.26620E+04    0.73730E+00    0.00000E+00   -0.21993E+02    0.10918E-06    0.44580E-03   -0.71958E-06
    94    0.26953E+04    0.75297E+00    0.00000E+00   -0.22697E+02    0.10849E-06    0.44039E-03   -0.71170E-06
    95    0.27289E+04    0.76851E+00    0.00000E+00   -0.23403E+02    0.10779E-06    0.43505E-03   -0.70829E-06
    96    0.27626E+04    0.78389E+00    0.00000E+00   -0.24110E+02    0.10711E-06    0.42980E-03   -0.70894E-06
    97    0.27967E+04    0.79909E+00    0.00000E+00   -0.24817E+02    0.10642E-06    0.42462E-03   -0.71325E-06
    98    0.28310E+04    0.81410E+00    0.00000E+00   -0.25521E+02    0.10574E-06    0.41953E-03   -0.72080E-06
    99    0.28654E+04    0.82890E+00    0.00000E+00   -0.26226E+02    0.10507E-06    0.41451E-03   -0.73119E-06
   100    0.29001E+04    0.84346E+00    0.00000E+00   -0.26927E+02    0.10440E-06    0.40957E-03   -0.74400E-06
   101    0.29350E+04    0.85785E+00    0.00000E+00   -0.27627E+02    0.10373E-06    0.40472E-03   -0.75884E-06
   102    0.29704E+04    0.87192E+00    0.00000E+00   -0.28324E+02    0.10306E-06    0.39994E-03   -0.77530E-06
   103    0.30057E+04    0.88574E+00    0.00000E+00   -0.29018E+02    0.10240E-06    0.39524E-03   -0.79296E-06
   104    0.30412E+04    0.89930E+00    0.00000E+00   -0.29707E+02    0.10175E-06    0.39063E-03   -0.81142E-06
   105    0.30769E+04    0.91254E+00    0.00000E+00   -0.30391E+02    0.10110E-06    0.38609E-03   -0.83028E-06
   106    0.31128E+04    0.92551E+00    0.00000E+00   -0.31070E+02    0.10045E-06    0.38164E-03   -0.84913E-06
   107    0.31486E+04    0.93807E+00    0.00000E+00   -0.31742E+02    0.99810E-07    0.37726E-03   -0.86755E-06
   108    0.31848E+04    0.95030E+00    0.00000E+00   -0.32408E+02    0.99172E-07    0.37297E-03   -0.88515E-06
   109    0.32211E+04    0.96211E+00    0.00000E+00   -0.33067E+02    0.98539E-07    0.36876E-03   -0.90153E-06
   110    0.32574E+04    0.97350E+00    0.00000E+00   -0.33716E+02    0.97910E-07    0.36463E-03   -0.91627E-06
   111    0.32939E+04    0.98455E+00    0.00000E+00   -0.34358E+02    0.97287E-07    0.36058E-03   -0.92904E-06
   112    0.33305E+04    0.99518E+00    0.00000E+00   -0.34991E+02    0.96667E-07    0.35661E-03   -0.93986E-06
   113    0.33673E+04    0.10054E+01    0.00000E+00   -0.35614E+02    0.96053E-07    0.35271E-03   -0.94879E-06
   114    0.34042E+04    0.10151E+01    0.00000E+00   -0.36226E+02    0.95443E-07    0.34890E-03   -0.95592E-06
   115    0.34413E+04    0.10245E+01    0.00000E+00   -0.36827E+02    0.94838E-07    0.34515E-03   -0.96132E-06
   116    0.34783E+04    0.10333E+01    0.00000E+00   -0.37415E+02    0.94238E-07    0.34148E-03   -0.96507E-06
   117    0.35156E+04    0.10416E+01    0.00000E+00   -0.37991E+02    0.93642E-07    0.33788E-03   -0.96725E-06
   118    0.35530E+04    0.10496E+01    0.00000E+00   -0.38555E+02    0.93051E-07    0.33434E-03   -0.96794E-06
   119    0.35904E+04    0.10571E+01    0.00000E+00   -0.39104E+02    0.92464E-07    0.33087E-03   -0.96721E-06
   120    0.36279E+04    0.10640E+01    0.00000E+00   -0.39638E+02    0.91882E-07    0.32747E-03   -0.96515E-06
   121    0.36653E+04    0.10706E+01    0.00000E+00   -0.40158E+02    0.91304E-07    0.32412E-03   -0.96182E-06
   122    0.37028E+04    0.10765E+01    0.00000E+00   -0.40661E+02    0.90731E-07    0.32083E-03   -0.95732E-06
   123    0.37402E+04    0.10819E+01    0.00000E+00   -0.41149E+02    0.90163E-07    0.31760E-03   -0.95171E-06
   124    0.37778E+04    0.10868E+01    0.00000E+00   -0.41619E+02    0.89599E-07    0.31443E-03   -0.94508E-06
   125    0.38152E+04    0.10911E+01    0.00000E+00   -0.42071E+02    0.89039E-07    0.31130E-03   -0.93750E-06
   126    0.38527E+04    0.10950E+01    0.00000E+00   -0.42506E+02    0.88484E-07    0.30823E-03   -0.92905E-06
   127    0.38901E+04    0.10982E+01    0.00000E+00   -0.42922E+02    0.87934E-07    0.30521E-03   -0.91981E-06
   128    0.39274E+04    0.11010E+01    0.00000E+00   -0.43319E+02    0.87388E-07    0.30223E-03   -0.90985E-06
   129    0.39647E+04    0.11032E+01    0.00000E+00   -0.43696E+02    0.86846E-07    0.29930E-03   -0.89926E-06
   130    0.40020E+04    0.11048E+01    0.00000E+00   -0.44052E+02    0.86309E-07    0.29642E-03   -0.88810E-06
   131    0.40392E+04    0.11058E+01    0.00000E+00   -0.44388E+02    0.85776E-07    0.29357E-03   -0.87647E-06
   132    0.40764E+04    0.11063E+01    0.00000E+00   -0.44702E+02    0.85248E-07    0.29076E-03   -0.86442E-06
   133    0.41135E+04    0.11063E+01    0.00000E+00   -0.44995E+02    0.84724E-07    0.28799E-03   -0.85203E-06
   134    0.41504E+04    0.11057E+01    0.00000E+00   -0.45264E+02    0.84204E-07    0.28526E-03   -0.83938E-06
   135    0.41873E+04    0.11046E+01    0.00000E+00   -0.45511E+02    0.83688E-07    0.28257E-03   -0.82652E-06
   136    0.42239E+04    0.11029E+01    0.00000E+00   -0.45732E+02    0.83177E-07    0.27991E-03   -0.81354E-06
   137    0.42605E+04    0.11006E+01    0.00000E+00   -0.45930E+02    0.82670E-07    0.27729E-03   -0.80050E-06
   138    0.42969E+04    0.10979E+01    0.00000E+00   -0.46103E+02    0.82168E-07    0.27470E-03   -0.78747E-06
   139    0.43329E+04    0.10947E+01    0.00000E+00   -0.46251E+02    0.81669E-07    0.27215E-03   -0.77452E-06
   140    0.43690E+04    0.10908E+01    0.00000E+00   -0.46374E+02    0.81175E-07    0.26963E-03   -0.76173E-06
   141    0.44047E+04    0.10864E+01    0.00000E+00   -0.46470E+02    0.80685E-07    0.26714E-03   -0.74916E-06
   142    0.44403E+04    0.10816E+01    0.00000E+00   -0.46541E+02    0.80199E-07    0.26469E-03   -0.73689E-06
   143    0.44758E+04    0.10763E+01    0.00000E+00   -0.46585E+02    0.79717E-07    0.26226E-03   -0.72498E-06
   144    0.45109E+04    0.10705E+01    0.00000E+00   -0.46602E+02    0.79239E-07    0.25986E-03   -0.71350E-06
   145    0.45457E+04    0.10643E+01    0.00000E+00   -0.46592E+02    0.78765E-07    0.25750E-03   -0.70254E-06
   146    0.45805E+04    0.10575E+01    0.00000E+00   -0.46555E+02    0.78295E-07    0.25516E-03   -0.69215E-06
   147    0.46148E+04    0.10503E+01    0.00000E+00   -0.46488E+02    0.77829E-07    0.25284E-03   -0.68240E-06
   148    0.46488E+04    0.10427E+01    0.00000E+00   -0.46394E+02    0.77368E-07    0.25056E-03   -0.67337E-06
   149    0.46827E+04    0.10346E+01    0.00000E+00   -0.46271E+02    0.76910E-07    0.24830E-03   -0.66513E-06
   150    0.47161E+04    0.10262E+01    0.00000E+00   -0.46117E+02    0.76455E-07    0.24606E-03   -0.65775E-06
   151    0.47492E+04    0.10174E+01    0.00000E+00   -0.45935E+02    0.76005E-07    0.24385E-03   -0.65127E-06
   152    0.47820E+04    0.10081E+01    0.00000E+00   -0.45723E+02    0.75559E-07    0.24166E-03   -0.64565E-06
   153    0.48144E+04    0.99850E+00    0.00000E+00   -0.45480E+02    0.75116E-07    0.23949E-03   -0.64081E-06
   154    0.48464E+04    0.98859E+00    0.00000E+00   -0.45207E+02    0.74678E-07    0.23735E-03   -0.63668E-06
   155    0.48782E+04    0.97839E+00    0.00000E+00   -0.44905E+02    0.74243E-07    0.23523E-03   -0.63319E-06
   156    0.49093E+04    0.96791E+00    0.00000E+00   -0.44572E+02    0.73811E-07    0.23313E-03   -0.63027E-06
   157    0.49403E+04    0.95715E+00    0.00000E+00   -0.44209E+02    0.73384E-07    0.23105E-03   -0.62784E-06
   158    0.49708E+04    0.94619E+00    0.00000E+00   -0.43815E+02    0.72960E-07    0.22900E-03   -0.62582E-06
   159    0.50009E+04    0.93490E+00    0.00000E+00   -0.43391E+02    0.72539E-07    0.22697E-03   -0.62416E-06
   160    0.50306E+04    0.92344E+00    0.00000E+00   -0.42936E+02    0.72123E-07    0.22496E-03   -0.62278E-06
   161    0.50600E+04    0.91189E+00    0.00000E+00   -0.42450E+02    0.71709E-07    0.22297E-03   -0.62159E-06
   162    0.50888E+04    0.90011E+00    0.00000E+00   -0.41935E+02    0.71300E-07    0.22101E-03   -0.62054E-06
   163    0.51174E+04    0.88819E+00    0.00000E+00   -0.41388E+02    0.70893E-07    0.21906E-03   -0.61955E-06
   164    0.51454E+04    0.87620E+00    0.00000E+00   -0.40812E+02    0.70491E-07    0.21714E-03   -0.61854E-06
   165    0.51730E+04    0.86409E+00    0.00000E+00   -0.40204E+02    0.70091E-07    0.21524E-03   -0.61745E-06
   166    0.52002E+04    0.85200E+00    0.00000E+00   -0.39566E+02    0.69696E-07    0.21336E-03   -0.61620E-06
   167    0.52270E+04    0.83973E+00    0.00000E+00   -0.38898E+02    0.69303E-07    0.21150E-03   -0.61472E-06
   168    0.52531E+04    0.82766E+00    0.00000E+00   -0.38199E+02    0.68914E-07    0.20966E-03   -0.61293E-06
   169    0.52788E+04    0.81551E+00    0.00000E+00   -0.37469E+02    0.68528E-07    0.20784E-03   -0.61077E-06
   170    0.53041E+04    0.80349E+00    0.00000E+00   -0.36709E+02    0.68145E-07    0.20604E-03   -0.60817E-06
   171    0.53287E+04    0.79162E+00    0.00000E+00   -0.35918E+02    0.67766E-07    0.20426E-03   -0.60504E-06
   172    0.53527E+04    0.77984E+00    0.00000E+00   -0.35096E+02    0.67390E-07    0.20250E-03   -0.60133E-06
   173    0.53761E+04    0.76816E+00    0.00000E+00   -0.34244E+02    0.67017E-07    0.20076E-03   -0.59695E-06
   174    0.53990E+04    0.75688E+00    0.00000E+00   -0.33362E+02    0.66647E-07    0.19904E-03   -0.59184E-06
   175    0.54214E+04    0.74572E+00    0.00000E+00   -0.32449E+02    0.66280E-07    0.19734E-03   -0.58591E-06
   176    0.54430E+04    0.73490E+00    0.00000E+00   -0.31506E+02    0.65916E-07    0.19566E-03   -0.57913E-06
   177    0.54641E+04    0.72437E+00    0.00000E+00   -0.30534E+02    0.65556E-07    0.19399E-03   -0.57150E-06
   178    0.54846E+04    0.71435E+00    0.00000E+00   -0.29533E+02    0.65198E-07    0.19235E-03   -0.56306E-06
   179    0.55044E+04    0.70457E+00    0.00000E+00   -0.28501E+02    0.64844E-07    0.19072E-03   -0.55385E-06
