#           k/h    P           
    0.42098E-02    0.51310E+01
    0.42948E-02    0.50893E+01
    0.43816E-02    0.50442E+01
    0.44701E-02    0.49956E+01
    0.45604E-02    0.49440E+01
    0.46525E-02    0.48899E+01
    0.47465E-02    0.48308E+01
    0.48424E-02    0.47686E+01
    0.49402E-02    0.47154E+01
    0.50400E-02    0.46653E+01
    0.51419E-02    0.46017E+01
    0.52457E-02    0.45308E+01
    0.53517E-02    0.44607E+01
    0.54598E-02    0.43894E+01
    0.55701E-02    0.43163E+01
    0.56826E-02    0.42421E+01
    0.57974E-02    0.41674E+01
    0.59145E-02    0.40920E+01
    0.60340E-02    0.40159E+01
    0.61559E-02    0.39402E+01
    0.62803E-02    0.38655E+01
    0.64072E-02    0.37880E+01
    0.65366E-02    0.37070E+01
    0.66686E-02    0.36296E+01
    0.68033E-02    0.35563E+01
    0.69408E-02    0.34835E+01
    0.70810E-02    0.34113E+01
    0.72240E-02    0.33405E+01
    0.73700E-02    0.32712E+01
    0.75189E-02    0.32029E+01
    0.76708E-02    0.31358E+01
    0.78257E-02    0.30712E+01
    0.79838E-02    0.30094E+01
    0.81451E-02    0.29479E+01
    0.83096E-02    0.28865E+01
    0.84775E-02    0.28265E+01
    0.86488E-02    0.27678E+01
    0.88235E-02    0.27098E+01
    0.90017E-02    0.26529E+01
    0.91836E-02    0.25965E+01
    0.93691E-02    0.25399E+01
    0.95583E-02    0.24838E+01
    0.97514E-02    0.24285E+01
    0.99484E-02    0.23734E+01
    0.10149E-01    0.23182E+01
    0.10354E-01    0.22629E+01
    0.10564E-01    0.22077E+01
    0.10777E-01    0.21526E+01
    0.10995E-01    0.20971E+01
    0.11217E-01    0.20413E+01
    0.11443E-01    0.19855E+01
    0.11675E-01    0.19296E+01
    0.11910E-01    0.18737E+01
    0.12151E-01    0.18179E+01
    0.12397E-01    0.17623E+01
    0.12647E-01    0.17071E+01
    0.12902E-01    0.16524E+01
    0.13163E-01    0.15983E+01
    0.13429E-01    0.15449E+01
    0.13700E-01    0.14923E+01
    0.13977E-01    0.14406E+01
    0.14259E-01    0.13897E+01
    0.14547E-01    0.13398E+01
    0.14841E-01    0.12909E+01
    0.15141E-01    0.12430E+01
    0.15447E-01    0.11961E+01
    0.15759E-01    0.11502E+01
    0.16077E-01    0.11052E+01
    0.16402E-01    0.10613E+01
    0.16734E-01    0.10184E+01
    0.17072E-01    0.97641E+00
    0.17416E-01    0.93538E+00
    0.17768E-01    0.89531E+00
    0.18127E-01    0.85617E+00
    0.18493E-01    0.81796E+00
    0.18867E-01    0.78065E+00
    0.19248E-01    0.74424E+00
    0.19637E-01    0.70871E+00
    0.20034E-01    0.67404E+00
    0.20438E-01    0.64027E+00
    0.20851E-01    0.60740E+00
    0.21272E-01    0.57551E+00
    0.21702E-01    0.54465E+00
    0.22141E-01    0.51494E+00
    0.22588E-01    0.48646E+00
    0.23044E-01    0.45931E+00
    0.23510E-01    0.43356E+00
    0.23985E-01    0.40923E+00
    0.24469E-01    0.38628E+00
    0.24964E-01    0.36461E+00
    0.25468E-01    0.34406E+00
    0.25982E-01    0.32444E+00
    0.26507E-01    0.30554E+00
    0.27043E-01    0.28719E+00
    0.27589E-01    0.26928E+00
    0.28146E-01    0.25180E+00
    0.28715E-01    0.23484E+00
    0.29295E-01    0.21858E+00
    0.29887E-01    0.20321E+00
    0.30490E-01    0.18891E+00
    0.31106E-01    0.17580E+00
    0.31735E-01    0.16387E+00
    0.32376E-01    0.15300E+00
    0.33030E-01    0.14297E+00
    0.33697E-01    0.13355E+00
    0.34378E-01    0.12452E+00
    0.35072E-01    0.11577E+00
    0.35781E-01    0.10731E+00
    0.36504E-01    0.99237E-01
    0.37241E-01    0.91680E-01
    0.37993E-01    0.84743E-01
    0.38761E-01    0.78450E-01
    0.39544E-01    0.72743E-01
    0.40343E-01    0.67512E-01
    0.41158E-01    0.62646E-01
    0.41989E-01    0.58072E-01
    0.42838E-01    0.53776E-01
    0.43703E-01    0.49774E-01
    0.44586E-01    0.46089E-01
    0.45486E-01    0.42722E-01
    0.46405E-01    0.39629E-01
    0.47343E-01    0.36743E-01
    0.48299E-01    0.34024E-01
    0.49275E-01    0.31486E-01
    0.50270E-01    0.29136E-01
    0.51286E-01    0.26944E-01
    0.52322E-01    0.24904E-01
    0.53379E-01    0.23024E-01
    0.54457E-01    0.21311E-01
    0.55557E-01    0.19749E-01
    0.56680E-01    0.18294E-01
    0.57825E-01    0.16901E-01
    0.58993E-01    0.15567E-01
    0.60184E-01    0.14330E-01
    0.61400E-01    0.13232E-01
    0.62641E-01    0.12267E-01
    0.63906E-01    0.11378E-01
    0.65197E-01    0.10510E-01
    0.66514E-01    0.96591E-02
    0.67858E-01    0.88588E-02
    0.69229E-01    0.81247E-02
    0.70627E-01    0.74343E-02
    0.72054E-01    0.67665E-02
    0.73510E-01    0.61351E-02
    0.74994E-01    0.55664E-02
    0.76509E-01    0.50583E-02
    0.78055E-01    0.45877E-02
    0.79632E-01    0.41434E-02
    0.81241E-01    0.37314E-02
    0.82882E-01    0.33594E-02
    0.84556E-01    0.30298E-02
    0.86264E-01    0.27347E-02
    0.88007E-01    0.24594E-02
    0.89785E-01    0.22044E-02
    0.91598E-01    0.19849E-02
    0.93449E-01    0.17967E-02
    0.95337E-01    0.16210E-02
    0.97263E-01    0.14611E-02
    0.99227E-01    0.13268E-02
    0.10123E+00    0.12073E-02
    0.10328E+00    0.10967E-02
    0.10536E+00    0.10029E-02
    0.10749E+00    0.92000E-03
    0.10966E+00    0.83994E-03
    0.11188E+00    0.76789E-03
    0.11414E+00    0.70509E-03
    0.11644E+00    0.64659E-03
    0.11880E+00    0.58907E-03
    0.12120E+00    0.53650E-03
    0.12365E+00    0.48956E-03
    0.12614E+00    0.44220E-03
    0.12869E+00    0.39936E-03
    0.13129E+00    0.35899E-03
    0.13394E+00    0.32049E-03
    0.13665E+00    0.28740E-03
    0.13941E+00    0.25487E-03
    0.14223E+00    0.22639E-03
    0.14510E+00    0.20184E-03
    0.14803E+00    0.17904E-03
    0.15102E+00    0.15945E-03
    0.15407E+00    0.14291E-03
    0.15718E+00    0.12797E-03
    0.16036E+00    0.11565E-03
    0.16360E+00    0.10426E-03
    0.16690E+00    0.95190E-04
    0.17028E+00    0.86030E-04
    0.17371E+00    0.78632E-04
    0.17722E+00    0.71228E-04
    0.18080E+00    0.64509E-04
    0.18446E+00    0.58186E-04
    0.18818E+00    0.52218E-04
    0.19198E+00    0.46437E-04
    0.19586E+00    0.41496E-04
    0.19982E+00    0.36506E-04
    0.20386E+00    0.32487E-04
    0.20797E+00    0.28676E-04
    0.21218E+00    0.25492E-04
    0.21646E+00    0.22734E-04
    0.22083E+00    0.20359E-04
    0.22530E+00    0.18391E-04
    0.22985E+00    0.16528E-04
    0.23449E+00    0.14967E-04
    0.23923E+00    0.13496E-04
    0.24406E+00    0.12079E-04
    0.24899E+00    0.10810E-04
    0.25402E+00    0.96294E-05
    0.25915E+00    0.84831E-05
    0.26439E+00    0.75517E-05
    0.26973E+00    0.66726E-05
    0.27518E+00    0.59286E-05
    0.28074E+00    0.52729E-05
    0.28641E+00    0.47263E-05
    0.29219E+00    0.42506E-05
    0.29810E+00    0.38134E-05
    0.30412E+00    0.34025E-05
    0.31026E+00    0.30220E-05
    0.31653E+00    0.26855E-05
    0.32292E+00    0.23899E-05
    0.32945E+00    0.21155E-05
    0.33610E+00    0.18670E-05
    0.34289E+00    0.16652E-05
    0.34982E+00    0.14861E-05
    0.35689E+00    0.13263E-05
    0.36409E+00    0.11878E-05
    0.37145E+00    0.10564E-05
    0.37895E+00    0.93027E-06
    0.38661E+00    0.82375E-06
    0.39442E+00    0.73356E-06
    0.40239E+00    0.65168E-06
    0.41052E+00    0.57749E-06
    0.41881E+00    0.51186E-06
    0.42727E+00    0.45482E-06
    0.43590E+00    0.40425E-06
    0.44471E+00    0.35923E-06
    0.45369E+00    0.31911E-06
    0.46286E+00    0.28239E-06
    0.47221E+00    0.25016E-06
    0.48174E+00    0.22167E-06
    0.49148E+00    0.19641E-06
    0.50141E+00    0.17368E-06
    0.51153E+00    0.15439E-06
    0.52187E+00    0.13678E-06
    0.53241E+00    0.12093E-06
    0.54317E+00    0.10665E-06
    0.55414E+00    0.94795E-07
    0.56533E+00    0.84038E-07
    0.57675E+00    0.74011E-07
    0.58840E+00    0.64431E-07
    0.60029E+00    0.56471E-07
    0.61242E+00    0.49773E-07
    0.62479E+00    0.44066E-07
    0.63741E+00    0.39146E-07
    0.65029E+00    0.34853E-07
    0.66342E+00    0.31066E-07
    0.67683E+00    0.27690E-07
    0.69050E+00    0.24653E-07
    0.70445E+00    0.21906E-07
    0.71868E+00    0.19428E-07
    0.73320E+00    0.17203E-07
    0.74801E+00    0.15212E-07
    0.76312E+00    0.13435E-07
    0.77854E+00    0.11856E-07
    0.79426E+00    0.10456E-07
    0.81031E+00    0.92174E-08
    0.82668E+00    0.81246E-08
    0.84338E+00    0.71621E-08
    0.86041E+00    0.63156E-08
    0.87780E+00    0.55707E-08
    0.89553E+00    0.49150E-08
    0.91362E+00    0.43373E-08
    0.93208E+00    0.38282E-08
    0.95091E+00    0.33793E-08
    0.97011E+00    0.29832E-08
    0.98971E+00    0.26337E-08
    0.10097E+01    0.23251E-08
    0.10301E+01    0.20526E-08
    0.10509E+01    0.18118E-08
    0.10721E+01    0.15991E-08
    0.10938E+01    0.14112E-08
    0.11159E+01    0.12451E-08
    0.11384E+01    0.10984E-08
    0.11614E+01    0.96867E-09
    0.11849E+01    0.85407E-09
    0.12088E+01    0.75281E-09
    0.12333E+01    0.66334E-09
    0.12582E+01    0.58429E-09
    0.12836E+01    0.51448E-09
    0.13095E+01    0.45287E-09
    0.13360E+01    0.39855E-09
    0.13630E+01    0.35069E-09
    0.13905E+01    0.30854E-09
    0.14186E+01    0.27146E-09
    0.14472E+01    0.23884E-09
    0.14765E+01    0.21017E-09
    0.15063E+01    0.18497E-09
    0.15367E+01    0.16284E-09
    0.15678E+01    0.14340E-09
    0.15994E+01    0.12631E-09
    0.16318E+01    0.11129E-09
    0.16647E+01    0.98064E-10
    0.16984E+01    0.86421E-10
    0.17327E+01    0.76164E-10
    0.17677E+01    0.67124E-10
    0.18034E+01    0.59154E-10
    0.18398E+01    0.52125E-10
    0.18770E+01    0.45923E-10
    0.19149E+01    0.40451E-10
    0.19536E+01    0.35623E-10
    0.19930E+01    0.31365E-10
    0.20333E+01    0.27609E-10
    0.20744E+01    0.24298E-10
    0.21163E+01    0.21379E-10
    0.21590E+01    0.18807E-10
    0.22026E+01    0.16540E-10
    0.22471E+01    0.14543E-10
    0.22925E+01    0.12784E-10
    0.23388E+01    0.11235E-10
    0.23861E+01    0.98715E-11
    0.24343E+01    0.86716E-11
    0.24835E+01    0.76159E-11
