#    L    TT             EE             TE             PP             TP          
    75    0.21066E+04    0.44896E+00   -0.10218E+02    0.55544E+07    0.95343E+04
    76    0.21350E+04    0.46433E+00   -0.10802E+02    0.55227E+07    0.93987E+04
    77    0.21637E+04    0.47990E+00   -0.11400E+02    0.54909E+07    0.92632E+04
    78    0.21927E+04    0.49568E+00   -0.12011E+02    0.54591E+07    0.91291E+04
    79    0.22219E+04    0.51161E+00   -0.12629E+02    0.54274E+07    0.89972E+04
    80    0.22515E+04    0.52767E+00   -0.13255E+02    0.53956E+07    0.88686E+04
    81    0.22813E+04    0.54379E+00   -0.13886E+02    0.53638E+07    0.87442E+04
    82    0.23115E+04    0.56000E+00   -0.14523E+02    0.53321E+07    0.86241E+04
    83    0.23420E+04    0.57624E+00   -0.15166E+02    0.53004E+07    0.85080E+04
    84    0.23728E+04    0.59250E+00   -0.15817E+02    0.52688E+07    0.83958E+04
    85    0.24038E+04    0.60875E+00   -0.16476E+02    0.52372E+07    0.82874E+04
    86    0.24350E+04    0.62499E+00   -0.17145E+02    0.52057E+07    0.81826E+04
    87    0.24668E+04    0.64119E+00   -0.17821E+02    0.51743E+07    0.80809E+04
    88    0.24986E+04    0.65736E+00   -0.18505E+02    0.51430E+07    0.79819E+04
    89    0.25308E+04    0.67350E+00   -0.19196E+02    0.51118E+07    0.78852E+04
    90    0.25632E+04    0.68957E+00   -0.19890E+02    0.50807E+07    0.77901E+04
    91    0.25958E+04    0.70557E+00   -0.20589E+02    0.50497E+07    0.76964E+04
    92    0.26287E+04    0.72148E+00   -0.21289E+02    0.50188E+07    0.76039E+04
    93    0.26620E+04    0.73730E+00   -0.21993E+02    0.49880E+07    0.75127E+04
    94    0.26953E+04    0.75297E+00   -0.22697E+02    0.49574E+07    0.74228E+04
    95    0.27289E+04    0.76851E+00   -0.23403E+02    0.49269E+07    0.73341E+04
    96    0.27626E+04    0.78389E+00   -0.24110E+02    0.48966E+07    0.72467E+04
    97    0.27967E+04    0.79909E+00   -0.24817E+02    0.48663E+07    0.71606E+04
    98    0.28310E+04    0.81410E+00   -0.25521E+02    0.48363E+07    0.70758E+04
    99    0.28654E+04    0.82890E+00   -0.26226E+02    0.48063E+07    0.69922E+04
   100    0.29001E+04    0.84346E+00   -0.26927E+02    0.47765E+07    0.69100E+04
   101    0.29350E+04    0.85785E+00   -0.27627E+02    0.47469E+07    0.68291E+04
   102    0.29704E+04    0.87192E+00   -0.28324E+02    0.47174E+07    0.67494E+04
   103    0.30057E+04    0.88574E+00   -0.29018E+02    0.46881E+07    0.66711E+04
   104    0.30412E+04    0.89930E+00   -0.29707E+02    0.46590E+07    0.65941E+04
   105    0.30769E+04    0.91254E+00   -0.30391E+02    0.46300E+07    0.65184E+04
   106    0.31128E+04    0.92551E+00   -0.31070E+02    0.46012E+07    0.64441E+04
   107    0.31486E+04    0.93807E+00   -0.31742E+02    0.45726E+07    0.63710E+04
   108    0.31848E+04    0.95030E+00   -0.32408E+02    0.45442E+07    0.62993E+04
   109    0.32211E+04    0.96211E+00   -0.33067E+02    0.45159E+07    0.62290E+04
   110    0.32574E+04    0.97350E+00   -0.33716E+02    0.44879E+07    0.61600E+04
   111    0.32939E+04    0.98455E+00   -0.34358E+02    0.44600E+07    0.60923E+04
   112    0.33305E+04    0.99518E+00   -0.34991E+02    0.44323E+07    0.60259E+04
   113    0.33673E+04    0.10054E+01   -0.35614E+02    0.44048E+07    0.59609E+04
   114    0.34042E+04    0.10151E+01   -0.36226E+02    0.43776E+07    0.58970E+04
   115    0.34413E+04    0.10245E+01   -0.36827E+02    0.43505E+07    0.58344E+04
   116    0.34783E+04    0.10333E+01   -0.37415E+02    0.43236E+07    0.57730E+04
   117    0.35156E+04    0.10416E+01   -0.37991E+02    0.42968E+07    0.57127E+04
   118    0.35530E+04    0.10496E+01   -0.38555E+02    0.42703E+07    0.56536E+04
   119    0.35904E+04    0.10571E+01   -0.39104E+02    0.42440E+07    0.55955E+04
   120    0.36279E+04    0.10640E+01   -0.39638E+02    0.42179E+07    0.55384E+04
   121    0.36653E+04    0.10706E+01   -0.40158E+02    0.41919E+07    0.54824E+04
   122    0.37028E+04    0.10765E+01   -0.40661E+02    0.41662E+07    0.54273E+04
   123    0.37402E+04    0.10819E+01   -0.41149E+02    0.41406E+07    0.53732E+04
   124    0.37778E+04    0.10868E+01   -0.41619E+02    0.41153E+07    0.53200E+04
   125    0.38152E+04    0.10911E+01   -0.42071E+02    0.40901E+07    0.52677E+04
   126    0.38527E+04    0.10950E+01   -0.42506E+02    0.40651E+07    0.52162E+04
   127    0.38901E+04    0.10982E+01   -0.42922E+02    0.40403E+07    0.51656E+04
   128    0.39274E+04    0.11010E+01   -0.43319E+02    0.40157E+07    0.51157E+04
   129    0.39647E+04    0.11032E+01   -0.43696E+02    0.39913E+07    0.50665E+04
   130    0.40020E+04    0.11048E+01   -0.44052E+02    0.39671E+07    0.50181E+04
   131    0.40392E+04    0.11058E+01   -0.44388E+02    0.39431E+07    0.49703E+04
   132    0.40764E+04    0.11063E+01   -0.44702E+02    0.39192E+07    0.49232E+04
   133    0.41135E+04    0.11063E+01   -0.44995E+02    0.38956E+07    0.48767E+04
   134    0.41504E+04    0.11057E+01   -0.45264E+02    0.38721E+07    0.48309E+04
   135    0.41873E+04    0.11046E+01   -0.45511E+02    0.38488E+07    0.47857E+04
   136    0.42239E+04    0.11029E+01   -0.45732E+02    0.38257E+07    0.47410E+04
   137    0.42605E+04    0.11006E+01   -0.45930E+02    0.38028E+07    0.46970E+04
   138    0.42969E+04    0.10979E+01   -0.46103E+02    0.37801E+07    0.46536E+04
   139    0.43329E+04    0.10947E+01   -0.46251E+02    0.37575E+07    0.46107E+04
   140    0.43690E+04    0.10908E+01   -0.46374E+02    0.37352E+07    0.45684E+04
   141    0.44047E+04    0.10864E+01   -0.46470E+02    0.37130E+07    0.45265E+04
   142    0.44403E+04    0.10816E+01   -0.46541E+02    0.36910E+07    0.44853E+04
   143    0.44758E+04    0.10763E+01   -0.46585E+02    0.36692E+07    0.44445E+04
   144    0.45109E+04    0.10705E+01   -0.46602E+02    0.36475E+07    0.44042E+04
   145    0.45457E+04    0.10643E+01   -0.46592E+02    0.36261E+07    0.43644E+04
   146    0.45805E+04    0.10575E+01   -0.46555E+02    0.36048E+07    0.43250E+04
   147    0.46148E+04    0.10503E+01   -0.46488E+02    0.35837E+07    0.42861E+04
   148    0.46488E+04    0.10427E+01   -0.46394E+02    0.35627E+07    0.42476E+04
   149    0.46827E+04    0.10346E+01   -0.46271E+02    0.35420E+07    0.42096E+04
   150    0.47161E+04    0.10262E+01   -0.46117E+02    0.35214E+07    0.41719E+04
   151    0.47492E+04    0.10174E+01   -0.45935E+02    0.35009E+07    0.41347E+04
   152    0.47820E+04    0.10081E+01   -0.45723E+02    0.34807E+07    0.40978E+04
   153    0.48144E+04    0.99850E+00   -0.45480E+02    0.34606E+07    0.40613E+04
   154    0.48464E+04    0.98859E+00   -0.45207E+02    0.34407E+07    0.40252E+04
   155    0.48782E+04    0.97839E+00   -0.44905E+02    0.34209E+07    0.39895E+04
   156    0.49093E+04    0.96791E+00   -0.44572E+02    0.34013E+07    0.39542E+04
   157    0.49403E+04    0.95715E+00   -0.44209E+02    0.33819E+07    0.39192E+04
   158    0.49708E+04    0.94619E+00   -0.43815E+02    0.33626E+07    0.38846E+04
   159    0.50009E+04    0.93490E+00   -0.43391E+02    0.33435E+07    0.38504E+04
   160    0.50306E+04    0.92344E+00   -0.42936E+02    0.33245E+07    0.38165E+04
