#           k/h    P           
    0.10000E-03    0.28832E+00
    0.10202E-03    0.29402E+00
    0.10408E-03    0.29983E+00
    0.10618E-03    0.30575E+00
    0.10833E-03    0.31179E+00
    0.11052E-03    0.31795E+00
    0.11275E-03    0.32423E+00
    0.11503E-03    0.33063E+00
    0.11735E-03    0.33716E+00
    0.11972E-03    0.34382E+00
    0.12214E-03    0.35061E+00
    0.12461E-03    0.35753E+00
    0.12712E-03    0.36459E+00
    0.12969E-03    0.37179E+00
    0.13231E-03    0.37913E+00
    0.13499E-03    0.38661E+00
    0.13771E-03    0.39425E+00
    0.14049E-03    0.40203E+00
    0.14333E-03    0.40996E+00
    0.14623E-03    0.41805E+00
    0.14918E-03    0.42630E+00
    0.15220E-03    0.43472E+00
    0.15527E-03    0.44329E+00
    0.15841E-03    0.45204E+00
    0.16161E-03    0.46096E+00
    0.16487E-03    0.47005E+00
    0.16820E-03    0.47932E+00
    0.17160E-03    0.48878E+00
    0.17507E-03    0.49842E+00
    0.17860E-03    0.50824E+00
    0.18221E-03    0.51827E+00
    0.18589E-03    0.52848E+00
    0.18965E-03    0.53890E+00
    0.19348E-03    0.54952E+00
    0.19739E-03    0.56035E+00
    0.20138E-03    0.57139E+00
    0.20544E-03    0.58265E+00
    0.20959E-03    0.59413E+00
    0.21383E-03    0.60583E+00
    0.21815E-03    0.61776E+00
    0.22255E-03    0.62992E+00
    0.22705E-03    0.64232E+00
    0.23164E-03    0.65496E+00
    0.23632E-03    0.66785E+00
    0.24109E-03    0.68099E+00
    0.24596E-03    0.69438E+00
    0.25093E-03    0.70804E+00
    0.25600E-03    0.72196E+00
    0.26117E-03    0.73615E+00
    0.26645E-03    0.75062E+00
    0.27183E-03    0.76537E+00
    0.27732E-03    0.78040E+00
    0.28292E-03    0.79572E+00
    0.28864E-03    0.81134E+00
    0.29447E-03    0.82727E+00
    0.30042E-03    0.84350E+00
    0.30649E-03    0.86004E+00
    0.31268E-03    0.87690E+00
    0.31899E-03    0.89409E+00
    0.32544E-03    0.91161E+00
    0.33201E-03    0.92946E+00
    0.33872E-03    0.94766E+00
    0.34556E-03    0.96621E+00
    0.35254E-03    0.98511E+00
    0.35966E-03    0.10044E+01
    0.36693E-03    0.10240E+01
    0.37434E-03    0.10440E+01
    0.38190E-03    0.10644E+01
    0.38962E-03    0.10852E+01
    0.39749E-03    0.11063E+01
    0.40552E-03    0.11279E+01
    0.41371E-03    0.11499E+01
    0.42207E-03    0.11722E+01
    0.43060E-03    0.11951E+01
    0.43929E-03    0.12183E+01
    0.44817E-03    0.12420E+01
    0.45722E-03    0.12661E+01
    0.46646E-03    0.12906E+01
    0.47588E-03    0.13157E+01
    0.48550E-03    0.13412E+01
    0.49530E-03    0.13671E+01
    0.50531E-03    0.13936E+01
    0.51552E-03    0.14205E+01
    0.52593E-03    0.14479E+01
    0.53656E-03    0.14758E+01
    0.54739E-03    0.15043E+01
    0.55845E-03    0.15332E+01
    0.56973E-03    0.15627E+01
    0.58124E-03    0.15927E+01
    0.59299E-03    0.16232E+01
    0.60496E-03    0.16543E+01
    0.61719E-03    0.16860E+01
    0.62965E-03    0.17182E+01
    0.64237E-03    0.17509E+01
    0.65535E-03    0.17843E+01
    0.66859E-03    0.18182E+01
    0.68210E-03    0.18527E+01
    0.69588E-03    0.18878E+01
    0.70993E-03    0.19236E+01
    0.72427E-03    0.19599E+01
    0.73891E-03    0.19968E+01
    0.75383E-03    0.20344E+01
    0.76906E-03    0.20726E+01
    0.78460E-03    0.21114E+01
    0.80045E-03    0.21509E+01
    0.81662E-03    0.21910E+01
    0.83311E-03    0.22317E+01
    0.84994E-03    0.22731E+01
    0.86711E-03    0.23152E+01
    0.88463E-03    0.23579E+01
    0.90250E-03    0.24013E+01
    0.92073E-03    0.24454E+01
    0.93933E-03    0.24901E+01
    0.95831E-03    0.25355E+01
    0.97767E-03    0.25815E+01
    0.99742E-03    0.26282E+01
    0.10176E-02    0.26756E+01
    0.10381E-02    0.27237E+01
    0.10591E-02    0.27724E+01
    0.10805E-02    0.28218E+01
    0.11023E-02    0.28718E+01
    0.11246E-02    0.29225E+01
    0.11473E-02    0.29739E+01
    0.11705E-02    0.30259E+01
    0.11941E-02    0.30785E+01
    0.12182E-02    0.31317E+01
    0.12429E-02    0.31856E+01
    0.12680E-02    0.32400E+01
    0.12936E-02    0.32950E+01
    0.13197E-02    0.33506E+01
    0.13464E-02    0.34068E+01
    0.13736E-02    0.34635E+01
    0.14013E-02    0.35207E+01
    0.14296E-02    0.35784E+01
    0.14585E-02    0.36365E+01
    0.14880E-02    0.36951E+01
    0.15180E-02    0.37541E+01
    0.15487E-02    0.38134E+01
    0.15800E-02    0.38732E+01
    0.16119E-02    0.39332E+01
    0.16445E-02    0.39935E+01
    0.16777E-02    0.40540E+01
    0.17116E-02    0.41147E+01
    0.17462E-02    0.41755E+01
    0.17814E-02    0.42365E+01
    0.18174E-02    0.42974E+01
    0.18541E-02    0.43583E+01
    0.18916E-02    0.44192E+01
    0.19298E-02    0.44799E+01
    0.19688E-02    0.45404E+01
    0.20086E-02    0.46006E+01
    0.20491E-02    0.46605E+01
    0.20905E-02    0.47200E+01
    0.21328E-02    0.47789E+01
    0.21758E-02    0.48372E+01
    0.22198E-02    0.48949E+01
    0.22646E-02    0.49518E+01
    0.23104E-02    0.50078E+01
    0.23571E-02    0.50629E+01
    0.24047E-02    0.51169E+01
    0.24533E-02    0.51698E+01
    0.25028E-02    0.52214E+01
    0.25534E-02    0.52716E+01
    0.26050E-02    0.53203E+01
    0.26576E-02    0.53675E+01
    0.27113E-02    0.54129E+01
    0.27660E-02    0.54564E+01
    0.28219E-02    0.54980E+01
    0.28789E-02    0.55376E+01
    0.29371E-02    0.55749E+01
    0.29964E-02    0.56099E+01
    0.30569E-02    0.56425E+01
    0.31187E-02    0.56725E+01
    0.31817E-02    0.56998E+01
    0.32460E-02    0.57244E+01
    0.33115E-02    0.57460E+01
    0.33784E-02    0.57646E+01
    0.34467E-02    0.57801E+01
    0.35163E-02    0.57923E+01
    0.35874E-02    0.58012E+01
    0.36598E-02    0.58068E+01
    0.37338E-02    0.58088E+01
    0.38092E-02    0.58072E+01
    0.38861E-02    0.58021E+01
    0.39646E-02    0.57932E+01
    0.40447E-02    0.57807E+01
    0.41264E-02    0.57644E+01
    0.42098E-02    0.57443E+01
    0.42948E-02    0.57205E+01
    0.43816E-02    0.56929E+01
    0.44701E-02    0.56616E+01
    0.45604E-02    0.56266E+01
    0.46525E-02    0.55880E+01
    0.47465E-02    0.55459E+01
    0.48424E-02    0.55003E+01
    0.49402E-02    0.54511E+01
    0.50400E-02    0.53990E+01
    0.51419E-02    0.53446E+01
    0.52457E-02    0.52849E+01
    0.53517E-02    0.52219E+01
    0.54598E-02    0.51695E+01
    0.55701E-02    0.51218E+01
    0.56826E-02    0.50589E+01
    0.57974E-02    0.49875E+01
    0.59145E-02    0.49173E+01
    0.60340E-02    0.48461E+01
    0.61559E-02    0.47730E+01
    0.62803E-02    0.46988E+01
    0.64072E-02    0.46241E+01
    0.65366E-02    0.45487E+01
    0.66686E-02    0.44726E+01
    0.68033E-02    0.43967E+01
    0.69408E-02    0.43221E+01
    0.70810E-02    0.42439E+01
    0.72240E-02    0.41612E+01
    0.73700E-02    0.40823E+01
    0.75189E-02    0.40081E+01
    0.76708E-02    0.39340E+01
    0.78257E-02    0.38601E+01
    0.79838E-02    0.37874E+01
    0.81451E-02    0.37157E+01
    0.83096E-02    0.36446E+01
    0.84775E-02    0.35741E+01
    0.86488E-02    0.35059E+01
    0.88235E-02    0.34404E+01
    0.90017E-02    0.33744E+01
    0.91836E-02    0.33077E+01
    0.93691E-02    0.32419E+01
    0.95583E-02    0.31768E+01
    0.97514E-02    0.31119E+01
    0.99484E-02    0.30476E+01
    0.10149E-01    0.29833E+01
    0.10354E-01    0.29181E+01
    0.10564E-01    0.28531E+01
    0.10777E-01    0.27887E+01
    0.10995E-01    0.27242E+01
    0.11217E-01    0.26594E+01
    0.11443E-01    0.25943E+01
    0.11675E-01    0.25293E+01
    0.11910E-01    0.24644E+01
    0.12151E-01    0.23991E+01
    0.12397E-01    0.23336E+01
    0.12647E-01    0.22682E+01
    0.12902E-01    0.22029E+01
    0.13163E-01    0.21379E+01
    0.13429E-01    0.20731E+01
    0.13700E-01    0.20088E+01
    0.13977E-01    0.19451E+01
    0.14259E-01    0.18820E+01
    0.14547E-01    0.18197E+01
    0.14841E-01    0.17583E+01
    0.15141E-01    0.16977E+01
    0.15447E-01    0.16381E+01
    0.15759E-01    0.15795E+01
    0.16077E-01    0.15218E+01
    0.16402E-01    0.14652E+01
    0.16734E-01    0.14097E+01
    0.17072E-01    0.13553E+01
    0.17416E-01    0.13019E+01
    0.17768E-01    0.12498E+01
    0.18127E-01    0.11988E+01
    0.18493E-01    0.11489E+01
    0.18867E-01    0.11002E+01
    0.19248E-01    0.10526E+01
    0.19637E-01    0.10062E+01
    0.20034E-01    0.96088E+00
    0.20438E-01    0.91659E+00
    0.20851E-01    0.87333E+00
    0.21272E-01    0.83106E+00
    0.21702E-01    0.78979E+00
    0.22141E-01    0.74952E+00
    0.22588E-01    0.71033E+00
    0.23044E-01    0.67231E+00
    0.23510E-01    0.63559E+00
    0.23985E-01    0.60031E+00
    0.24469E-01    0.56661E+00
    0.24964E-01    0.53461E+00
    0.25468E-01    0.50438E+00
    0.25982E-01    0.47589E+00
    0.26507E-01    0.44905E+00
    0.27043E-01    0.42369E+00
    0.27589E-01    0.39958E+00
    0.28146E-01    0.37646E+00
    0.28715E-01    0.35411E+00
    0.29295E-01    0.33236E+00
    0.29887E-01    0.31116E+00
    0.30490E-01    0.29058E+00
    0.31106E-01    0.27078E+00
    0.31735E-01    0.25199E+00
    0.32376E-01    0.23440E+00
    0.33030E-01    0.21818E+00
    0.33697E-01    0.20332E+00
    0.34378E-01    0.18974E+00
    0.35072E-01    0.17724E+00
    0.35781E-01    0.16557E+00
    0.36504E-01    0.15452E+00
    0.37241E-01    0.14394E+00
    0.37993E-01    0.13381E+00
    0.38761E-01    0.12418E+00
    0.39544E-01    0.11513E+00
    0.40343E-01    0.10675E+00
    0.41158E-01    0.99044E-01
    0.41989E-01    0.91982E-01
    0.42838E-01    0.85480E-01
    0.43703E-01    0.79454E-01
    0.44586E-01    0.73841E-01
    0.45486E-01    0.68610E-01
    0.46405E-01    0.63746E-01
    0.47343E-01    0.59244E-01
    0.48299E-01    0.55088E-01
    0.49275E-01    0.51259E-01
    0.50270E-01    0.47729E-01
    0.51286E-01    0.44464E-01
    0.52322E-01    0.41394E-01
    0.53379E-01    0.38478E-01
    0.54457E-01    0.35697E-01
    0.55557E-01    0.33049E-01
    0.56680E-01    0.30571E-01
    0.57825E-01    0.28306E-01
    0.58993E-01    0.26252E-01
    0.60184E-01    0.24358E-01
    0.61400E-01    0.22554E-01
    0.62641E-01    0.20812E-01
    0.63906E-01    0.19167E-01
    0.65197E-01    0.17668E-01
    0.66514E-01    0.16319E-01
    0.67858E-01    0.15071E-01
    0.69229E-01    0.13874E-01
    0.70627E-01    0.12721E-01
    0.72054E-01    0.11639E-01
    0.73510E-01    0.10635E-01
    0.74994E-01    0.96905E-02
    0.76509E-01    0.87932E-02
    0.78055E-01    0.79532E-02
    0.79632E-01    0.71868E-02
    0.81241E-01    0.64974E-02
    0.82882E-01    0.58771E-02
    0.84556E-01    0.53109E-02
    0.86264E-01    0.47838E-02
    0.88007E-01    0.42990E-02
    0.89785E-01    0.38740E-02
    0.91598E-01    0.35069E-02
    0.93449E-01    0.31721E-02
    0.95337E-01    0.28616E-02
    0.97263E-01    0.25911E-02
    0.99227E-01    0.23588E-02
    0.10123E+00    0.21464E-02
    0.10328E+00    0.19543E-02
    0.10536E+00    0.17887E-02
    0.10749E+00    0.16393E-02
    0.10966E+00    0.15006E-02
    0.11188E+00    0.13765E-02
    0.11414E+00    0.12655E-02
    0.11644E+00    0.11621E-02
    0.11880E+00    0.10611E-02
    0.12120E+00    0.96736E-03
    0.12365E+00    0.88375E-03
    0.12614E+00    0.80072E-03
    0.12869E+00    0.72222E-03
    0.13129E+00    0.65141E-03
    0.13394E+00    0.58290E-03
    0.13665E+00    0.52149E-03
    0.13941E+00    0.46523E-03
    0.14223E+00    0.41287E-03
    0.14510E+00    0.36773E-03
    0.14803E+00    0.32805E-03
    0.15102E+00    0.29180E-03
    0.15407E+00    0.26156E-03
    0.15718E+00    0.23531E-03
    0.16036E+00    0.21202E-03
    0.16360E+00    0.19242E-03
    0.16690E+00    0.17452E-03
    0.17028E+00    0.15942E-03
    0.17371E+00    0.14469E-03
    0.17722E+00    0.13178E-03
    0.18080E+00    0.11954E-03
    0.18446E+00    0.10763E-03
    0.18818E+00    0.96882E-04
    0.19198E+00    0.86393E-04
    0.19586E+00    0.76852E-04
    0.19982E+00    0.68193E-04
    0.20386E+00    0.60355E-04
    0.20797E+00    0.53492E-04
    0.21218E+00    0.47621E-04
    0.21646E+00    0.42447E-04
    0.22083E+00    0.38110E-04
    0.22530E+00    0.34408E-04
    0.22985E+00    0.30955E-04
    0.23449E+00    0.28084E-04
    0.23923E+00    0.25257E-04
    0.24406E+00    0.22746E-04
    0.24899E+00    0.20324E-04
    0.25402E+00    0.18092E-04
    0.25915E+00    0.16030E-04
    0.26439E+00    0.14240E-04
    0.26973E+00    0.12580E-04
    0.27518E+00    0.11181E-04
    0.28074E+00    0.99950E-05
    0.28641E+00    0.89422E-05
    0.29219E+00    0.80067E-05
    0.29810E+00    0.72154E-05
    0.30412E+00    0.64570E-05
    0.31026E+00    0.57471E-05
    0.31653E+00    0.51055E-05
    0.32292E+00    0.45208E-05
    0.32945E+00    0.40167E-05
    0.33610E+00    0.35644E-05
    0.34289E+00    0.31775E-05
    0.34982E+00    0.28336E-05
    0.35689E+00    0.25223E-05
    0.36409E+00    0.22519E-05
    0.37145E+00    0.20057E-05
    0.37895E+00    0.17820E-05
    0.38661E+00    0.15774E-05
    0.39442E+00    0.13966E-05
    0.40239E+00    0.12446E-05
    0.41052E+00    0.11068E-05
    0.41881E+00    0.98274E-06
    0.42727E+00    0.87315E-06
    0.43590E+00    0.77698E-06
    0.44471E+00    0.68994E-06
    0.45369E+00    0.61093E-06
    0.46286E+00    0.54003E-06
    0.47221E+00    0.47929E-06
    0.48174E+00    0.42621E-06
    0.49148E+00    0.37934E-06
    0.50141E+00    0.33645E-06
    0.51153E+00    0.29818E-06
    0.52187E+00    0.26419E-06
    0.53241E+00    0.23419E-06
    0.54317E+00    0.20728E-06
    0.55414E+00    0.18386E-06
    0.56533E+00    0.16261E-06
    0.57675E+00    0.14348E-06
    0.58840E+00    0.12705E-06
    0.60029E+00    0.11250E-06
    0.61242E+00    0.99622E-07
    0.62479E+00    0.88212E-07
    0.63741E+00    0.78100E-07
