#    L    TT             EE             BB             TE          
    91    0.25981E+04    0.70760E+00    0.25426E-02   -0.20579E+02
    92    0.26311E+04    0.72354E+00    0.25990E-02   -0.21279E+02
    93    0.26643E+04    0.73939E+00    0.26561E-02   -0.21981E+02
    94    0.26977E+04    0.75510E+00    0.27138E-02   -0.22684E+02
    95    0.27313E+04    0.77067E+00    0.27722E-02   -0.23389E+02
    96    0.27650E+04    0.78608E+00    0.28313E-02   -0.24094E+02
    97    0.27991E+04    0.80131E+00    0.28911E-02   -0.24800E+02
    98    0.28334E+04    0.81636E+00    0.29516E-02   -0.25503E+02
    99    0.28678E+04    0.83119E+00    0.30128E-02   -0.26206E+02
   100    0.29026E+04    0.84578E+00    0.30746E-02   -0.26906E+02
   101    0.29374E+04    0.86021E+00    0.31372E-02   -0.27604E+02
   102    0.29728E+04    0.87431E+00    0.32005E-02   -0.28300E+02
   103    0.30081E+04    0.88817E+00    0.32645E-02   -0.28992E+02
   104    0.30436E+04    0.90177E+00    0.33292E-02   -0.29679E+02
   105    0.30793E+04    0.91504E+00    0.33946E-02   -0.30361E+02
   106    0.31152E+04    0.92805E+00    0.34607E-02   -0.31038E+02
   107    0.31510E+04    0.94065E+00    0.35275E-02   -0.31708E+02
   108    0.31871E+04    0.95292E+00    0.35951E-02   -0.32372E+02
   109    0.32234E+04    0.96477E+00    0.36633E-02   -0.33029E+02
   110    0.32598E+04    0.97620E+00    0.37324E-02   -0.33676E+02
   111    0.32963E+04    0.98729E+00    0.38021E-02   -0.34316E+02
   112    0.33329E+04    0.99796E+00    0.38726E-02   -0.34947E+02
   113    0.33697E+04    0.10082E+01    0.39439E-02   -0.35567E+02
   114    0.34065E+04    0.10180E+01    0.40160E-02   -0.36177E+02
   115    0.34436E+04    0.10274E+01    0.40889E-02   -0.36775E+02
   116    0.34806E+04    0.10363E+01    0.41625E-02   -0.37362E+02
   117    0.35178E+04    0.10446E+01    0.42370E-02   -0.37935E+02
   118    0.35552E+04    0.10527E+01    0.43123E-02   -0.38496E+02
   119    0.35926E+04    0.10603E+01    0.43884E-02   -0.39042E+02
   120    0.36300E+04    0.10672E+01    0.44653E-02   -0.39574E+02
   121    0.36674E+04    0.10738E+01    0.45431E-02   -0.40091E+02
   122    0.37048E+04    0.10798E+01    0.46217E-02   -0.40592E+02
   123    0.37422E+04    0.10852E+01    0.47012E-02   -0.41077E+02
   124    0.37797E+04    0.10902E+01    0.47815E-02   -0.41544E+02
   125    0.38171E+04    0.10946E+01    0.48626E-02   -0.41993E+02
   126    0.38545E+04    0.10986E+01    0.49446E-02   -0.42425E+02
   127    0.38919E+04    0.11019E+01    0.50274E-02   -0.42839E+02
   128    0.39291E+04    0.11047E+01    0.51111E-02   -0.43233E+02
   129    0.39664E+04    0.11070E+01    0.51956E-02   -0.43607E+02
   130    0.40036E+04    0.11086E+01    0.52810E-02   -0.43960E+02
   131    0.40408E+04    0.11098E+01    0.53673E-02   -0.44293E+02
   132    0.40779E+04    0.11104E+01    0.54545E-02   -0.44603E+02
   133    0.41149E+04    0.11104E+01    0.55425E-02   -0.44894E+02
   134    0.41518E+04    0.11100E+01    0.56315E-02   -0.45159E+02
   135    0.41886E+04    0.11089E+01    0.57214E-02   -0.45403E+02
   136    0.42252E+04    0.11073E+01    0.58122E-02   -0.45621E+02
   137    0.42616E+04    0.11052E+01    0.59039E-02   -0.45816E+02
   138    0.42980E+04    0.11025E+01    0.59965E-02   -0.45986E+02
   139    0.43339E+04    0.10994E+01    0.60902E-02   -0.46130E+02
   140    0.43699E+04    0.10957E+01    0.61847E-02   -0.46250E+02
   141    0.44055E+04    0.10915E+01    0.62803E-02   -0.46344E+02
   142    0.44410E+04    0.10868E+01    0.63767E-02   -0.46411E+02
   143    0.44764E+04    0.10816E+01    0.64742E-02   -0.46452E+02
   144    0.45114E+04    0.10759E+01    0.65726E-02   -0.46466E+02
   145    0.45461E+04    0.10699E+01    0.66719E-02   -0.46453E+02
   146    0.45808E+04    0.10632E+01    0.67722E-02   -0.46412E+02
   147    0.46150E+04    0.10562E+01    0.68735E-02   -0.46343E+02
   148    0.46490E+04    0.10487E+01    0.69757E-02   -0.46246E+02
   149    0.46827E+04    0.10408E+01    0.70789E-02   -0.46120E+02
   150    0.47160E+04    0.10326E+01    0.71830E-02   -0.45963E+02
   151    0.47490E+04    0.10240E+01    0.72881E-02   -0.45778E+02
   152    0.47816E+04    0.10149E+01    0.73942E-02   -0.45563E+02
   153    0.48140E+04    0.10054E+01    0.75012E-02   -0.45317E+02
   154    0.48459E+04    0.99573E+00    0.76092E-02   -0.45042E+02
   155    0.48775E+04    0.98573E+00    0.77182E-02   -0.44737E+02
   156    0.49086E+04    0.97545E+00    0.78281E-02   -0.44402E+02
   157    0.49394E+04    0.96491E+00    0.79390E-02   -0.44036E+02
   158    0.49698E+04    0.95417E+00    0.80510E-02   -0.43640E+02
   159    0.49998E+04    0.94311E+00    0.81639E-02   -0.43213E+02
   160    0.50294E+04    0.93188E+00    0.82778E-02   -0.42755E+02
   161    0.50585E+04    0.92057E+00    0.83927E-02   -0.42268E+02
   162    0.50873E+04    0.90904E+00    0.85085E-02   -0.41750E+02
   163    0.51157E+04    0.89737E+00    0.86254E-02   -0.41202E+02
   164    0.51435E+04    0.88564E+00    0.87433E-02   -0.40624E+02
