#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.910382E-05   0.506753E+06   0.506753E+06   0.675665E+06   0.675665E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.213349E+00
   0.941169E-05   0.506753E+06   0.506753E+06   0.675665E+06   0.675664E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.220564E+00
   0.972997E-05   0.506753E+06   0.506753E+06   0.675664E+06   0.675664E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.228023E+00
   0.100590E-04   0.506753E+06   0.506753E+06   0.675664E+06   0.675663E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.235734E+00
   0.103992E-04   0.506753E+06   0.506753E+06   0.675663E+06   0.675663E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.243706E+00
   0.107508E-04   0.506753E+06   0.506753E+06   0.675663E+06   0.675662E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.251947E+00
   0.111144E-04   0.506753E+06   0.506753E+06   0.675662E+06   0.675662E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.260467E+00
   0.114903E-04   0.506753E+06   0.506753E+06   0.675662E+06   0.675661E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.269276E+00
   0.118788E-04   0.506753E+06   0.506752E+06   0.675661E+06   0.675660E+06   0.511613E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.278382E+00
   0.122805E-04   0.506753E+06   0.506752E+06   0.675660E+06   0.675660E+06   0.511612E+06   0.506815E+06   0.506753E+06   0.515082E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.287796E+00
   0.126958E-04   0.506752E+06   0.506752E+06   0.675660E+06   0.675659E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.297528E+00
   0.131252E-04   0.506752E+06   0.506752E+06   0.675659E+06   0.675658E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.307590E+00
   0.135690E-04   0.506752E+06   0.506752E+06   0.675658E+06   0.675658E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.317991E+00
   0.140279E-04   0.506752E+06   0.506752E+06   0.675657E+06   0.675657E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.328745E+00
   0.145023E-04   0.506752E+06   0.506752E+06   0.675656E+06   0.675656E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.339862E+00
   0.149927E-04   0.506752E+06   0.506752E+06   0.675656E+06   0.675655E+06   0.511612E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.351355E+00
   0.154997E-04   0.506752E+06   0.506752E+06   0.675654E+06   0.675654E+06   0.511611E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.363237E+00
   0.160239E-04   0.506752E+06   0.506752E+06   0.675653E+06   0.675652E+06   0.511611E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602460E+00   0.505185E+06   0.505185E+06   0.375521E+00
   0.165657E-04   0.506752E+06   0.506752E+06   0.675652E+06   0.675651E+06   0.511611E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505185E+06   0.505185E+06   0.388220E+00
   0.171260E-04   0.506752E+06   0.506752E+06   0.675651E+06   0.675650E+06   0.511611E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505185E+06   0.505185E+06   0.401348E+00
   0.177051E-04   0.506752E+06   0.506752E+06   0.675650E+06   0.675648E+06   0.511611E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.414921E+00
   0.183038E-04   0.506752E+06   0.506752E+06   0.675648E+06   0.675647E+06   0.511610E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.428952E+00
   0.189228E-04   0.506752E+06   0.506752E+06   0.675647E+06   0.675645E+06   0.511610E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.443458E+00
   0.195627E-04   0.506752E+06   0.506752E+06   0.675645E+06   0.675644E+06   0.511610E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.458454E+00
   0.202243E-04   0.506752E+06   0.506752E+06   0.675643E+06   0.675642E+06   0.511610E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.473958E+00
   0.209082E-04   0.506752E+06   0.506752E+06   0.675642E+06   0.675640E+06   0.511609E+06   0.506815E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.489985E+00
   0.216153E-04   0.506752E+06   0.506752E+06   0.675640E+06   0.675638E+06   0.511609E+06   0.506814E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.506555E+00
   0.223462E-04   0.506752E+06   0.506752E+06   0.675637E+06   0.675635E+06   0.511609E+06   0.506814E+06   0.506752E+06   0.515081E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.523685E+00
   0.231019E-04   0.506752E+06   0.506752E+06   0.675635E+06   0.675633E+06   0.511608E+06   0.506814E+06   0.506752E+06   0.515080E+06  -0.602459E+00   0.505184E+06   0.505184E+06   0.541395E+00
   0.238832E-04   0.506752E+06   0.506752E+06   0.675633E+06   0.675630E+06   0.511608E+06   0.506814E+06   0.506752E+06   0.515080E+06  -0.602458E+00   0.505184E+06   0.505184E+06   0.559703E+00
   0.246908E-04   0.506752E+06   0.506752E+06   0.675630E+06   0.675628E+06   0.511607E+06   0.506814E+06   0.506752E+06   0.515080E+06  -0.602458E+00   0.505184E+06   0.505184E+06   0.578631E+00
   0.255258E-04   0.506752E+06   0.506752E+06   0.675627E+06   0.675625E+06   0.511607E+06   0.506814E+06   0.506752E+06   0.515080E+06  -0.602458E+00   0.505184E+06   0.505184E+06   0.598198E+00
   0.263890E-04   0.506752E+06   0.506751E+06   0.675624E+06   0.675622E+06   0.511606E+06   0.506814E+06   0.506752E+06   0.515080E+06  -0.602458E+00   0.505184E+06   0.505184E+06   0.618427E+00
   0.272814E-04   0.506751E+06   0.506751E+06   0.675621E+06   0.675618E+06   0.511606E+06   0.506814E+06   0.506751E+06   0.515080E+06  -0.602458E+00   0.505184E+06   0.505184E+06   0.639340E+00
