#    L    TT             EE             BB             TE          
    91    0.24547E+04    0.64263E+00    0.26599E-02   -0.17503E+02
    92    0.24846E+04    0.65817E+00    0.27191E-02   -0.18142E+02
    93    0.25149E+04    0.67371E+00    0.27790E-02   -0.18786E+02
    94    0.25452E+04    0.68921E+00    0.28396E-02   -0.19436E+02
    95    0.25758E+04    0.70467E+00    0.29010E-02   -0.20090E+02
    96    0.26065E+04    0.72007E+00    0.29630E-02   -0.20748E+02
    97    0.26375E+04    0.73540E+00    0.30258E-02   -0.21409E+02
    98    0.26688E+04    0.75065E+00    0.30893E-02   -0.22072E+02
    99    0.27001E+04    0.76577E+00    0.31535E-02   -0.22739E+02
   100    0.27318E+04    0.78076E+00    0.32184E-02   -0.23405E+02
   101    0.27636E+04    0.79569E+00    0.32841E-02   -0.24073E+02
   102    0.27959E+04    0.81039E+00    0.33505E-02   -0.24742E+02
   103    0.28282E+04    0.82495E+00    0.34176E-02   -0.25412E+02
   104    0.28606E+04    0.83935E+00    0.34855E-02   -0.26079E+02
   105    0.28933E+04    0.85353E+00    0.35541E-02   -0.26745E+02
   106    0.29261E+04    0.86755E+00    0.36235E-02   -0.27410E+02
   107    0.29589E+04    0.88127E+00    0.36935E-02   -0.28072E+02
   108    0.29921E+04    0.89475E+00    0.37644E-02   -0.28731E+02
   109    0.30254E+04    0.90792E+00    0.38359E-02   -0.29386E+02
   110    0.30588E+04    0.92078E+00    0.39083E-02   -0.30036E+02
   111    0.30923E+04    0.93340E+00    0.39814E-02   -0.30681E+02
   112    0.31261E+04    0.94570E+00    0.40553E-02   -0.31322E+02
   113    0.31600E+04    0.95768E+00    0.41299E-02   -0.31956E+02
   114    0.31940E+04    0.96928E+00    0.42054E-02   -0.32583E+02
   115    0.32283E+04    0.98063E+00    0.42817E-02   -0.33203E+02
   116    0.32626E+04    0.99153E+00    0.43588E-02   -0.33815E+02
   117    0.32971E+04    0.10020E+01    0.44367E-02   -0.34419E+02
   118    0.33319E+04    0.10123E+01    0.45155E-02   -0.35014E+02
   119    0.33666E+04    0.10222E+01    0.45951E-02   -0.35599E+02
   120    0.34015E+04    0.10315E+01    0.46756E-02   -0.36174E+02
   121    0.34364E+04    0.10406E+01    0.47569E-02   -0.36739E+02
   122    0.34714E+04    0.10492E+01    0.48391E-02   -0.37293E+02
   123    0.35064E+04    0.10573E+01    0.49221E-02   -0.37835E+02
   124    0.35415E+04    0.10650E+01    0.50060E-02   -0.38364E+02
   125    0.35767E+04    0.10723E+01    0.50908E-02   -0.38881E+02
   126    0.36119E+04    0.10792E+01    0.51764E-02   -0.39385E+02
   127    0.36471E+04    0.10855E+01    0.52629E-02   -0.39875E+02
   128    0.36823E+04    0.10915E+01    0.53503E-02   -0.40352E+02
   129    0.37176E+04    0.10969E+01    0.54386E-02   -0.40814E+02
   130    0.37529E+04    0.11019E+01    0.55278E-02   -0.41260E+02
