#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12909E+04    0.15089E+01    0.23517E-04    0.15089E+01    0.72745E-01   -0.60446E-08    0.23517E-04   -0.60446E-08    0.75957E-10
    44    0.13099E+04    0.14033E+01    0.22542E-04    0.14033E+01    0.78532E-01   -0.51277E-08    0.22542E-04   -0.51277E-08    0.72383E-10
    45    0.13294E+04    0.12875E+01    0.21622E-04    0.12875E+01    0.84635E-01   -0.49087E-08    0.21622E-04   -0.49087E-08    0.69033E-10
    46    0.13491E+04    0.11602E+01    0.20753E-04    0.11602E+01    0.91064E-01   -0.53186E-08    0.20753E-04   -0.53186E-08    0.65887E-10
    47    0.13690E+04    0.10210E+01    0.19931E-04    0.10210E+01    0.97798E-01   -0.61981E-08    0.19931E-04   -0.61981E-08    0.62929E-10
    48    0.13890E+04    0.87240E+00    0.19152E-04    0.87240E+00    0.10481E+00   -0.73650E-08    0.19152E-04   -0.73650E-08    0.60149E-10
    49    0.14091E+04    0.71634E+00    0.18412E-04    0.71634E+00    0.11206E+00   -0.86372E-08    0.18412E-04   -0.86372E-08    0.57531E-10
    50    0.14296E+04    0.54796E+00    0.17710E-04    0.54796E+00    0.11950E+00   -0.98325E-08    0.17710E-04   -0.98325E-08    0.55065E-10
    51    0.14503E+04    0.36156E+00    0.17043E-04    0.36156E+00    0.12707E+00   -0.10798E-07    0.17043E-04   -0.10798E-07    0.52737E-10
    52    0.14714E+04    0.15374E+00    0.16409E-04    0.15374E+00    0.13488E+00   -0.11500E-07    0.16409E-04   -0.11500E-07    0.50538E-10
    53    0.14924E+04   -0.76484E-01    0.15807E-04   -0.76484E-01    0.14312E+00   -0.11934E-07    0.15807E-04   -0.11934E-07    0.48461E-10
    54    0.15134E+04   -0.32211E+00    0.15238E-04   -0.32211E+00    0.15180E+00   -0.12095E-07    0.15238E-04   -0.12095E-07    0.46496E-10
    55    0.15345E+04   -0.57604E+00    0.14699E-04   -0.57604E+00    0.16094E+00   -0.11977E-07    0.14699E-04   -0.11977E-07    0.44637E-10
    56    0.15559E+04   -0.83789E+00    0.14191E-04   -0.83789E+00    0.17042E+00   -0.11591E-07    0.14191E-04   -0.11591E-07    0.42874E-10
    57    0.15776E+04   -0.11078E+01    0.13711E-04   -0.11078E+01    0.18010E+00   -0.11005E-07    0.13711E-04   -0.11005E-07    0.41202E-10
    58    0.15995E+04   -0.13875E+01    0.13256E-04   -0.13875E+01    0.18999E+00   -0.10301E-07    0.13256E-04   -0.10301E-07    0.39615E-10
    59    0.16217E+04   -0.16783E+01    0.12824E-04   -0.16783E+01    0.20008E+00   -0.95611E-08    0.12824E-04   -0.95611E-08    0.38109E-10
    60    0.16441E+04   -0.19806E+01    0.12412E-04   -0.19806E+01    0.21042E+00   -0.88673E-08    0.12412E-04   -0.88673E-08    0.36677E-10
    61    0.16670E+04   -0.22945E+01    0.12017E-04   -0.22945E+01    0.22107E+00   -0.82934E-08    0.12017E-04   -0.82934E-08    0.35316E-10
    62    0.16898E+04   -0.26222E+01    0.11639E-04   -0.26222E+01    0.23204E+00   -0.78790E-08    0.11639E-04   -0.78790E-08    0.34020E-10
    63    0.17128E+04   -0.29663E+01    0.11276E-04   -0.29663E+01    0.24329E+00   -0.76551E-08    0.11276E-04   -0.76551E-08    0.32786E-10
    64    0.17361E+04   -0.33296E+01    0.10928E-04   -0.33296E+01    0.25485E+00   -0.76527E-08    0.10928E-04   -0.76527E-08    0.31611E-10
    65    0.17595E+04   -0.37142E+01    0.10592E-04   -0.37142E+01    0.26670E+00   -0.79026E-08    0.10592E-04   -0.79026E-08    0.30490E-10
    66    0.17831E+04   -0.41192E+01    0.10268E-04   -0.41192E+01    0.27880E+00   -0.84083E-08    0.10268E-04   -0.84083E-08    0.29421E-10
    67    0.18068E+04   -0.45395E+01    0.99564E-05   -0.45395E+01    0.29114E+00   -0.90622E-08    0.99564E-05   -0.90622E-08    0.28400E-10
    68    0.18309E+04   -0.49708E+01    0.96574E-05   -0.49708E+01    0.30375E+00   -0.97291E-08    0.96574E-05   -0.97291E-08    0.27426E-10
    69    0.18552E+04   -0.54084E+01    0.93714E-05   -0.54084E+01    0.31657E+00   -0.10274E-07    0.93714E-05   -0.10274E-07    0.26495E-10
    70    0.18799E+04   -0.58512E+01    0.90988E-05   -0.58512E+01    0.32964E+00   -0.10561E-07    0.90988E-05   -0.10561E-07    0.25605E-10
    71    0.19049E+04   -0.62996E+01    0.88398E-05   -0.62996E+01    0.34295E+00   -0.10496E-07    0.88398E-05   -0.10496E-07    0.24753E-10
    72    0.19300E+04   -0.67563E+01    0.85932E-05   -0.67563E+01    0.35645E+00   -0.10143E-07    0.85932E-05   -0.10143E-07    0.23938E-10
    73    0.19554E+04   -0.72240E+01    0.83578E-05   -0.72240E+01    0.37013E+00   -0.96068E-08    0.83578E-05   -0.96068E-08    0.23157E-10
    74    0.19809E+04   -0.77042E+01    0.81322E-05   -0.77042E+01    0.38396E+00   -0.89918E-08    0.81322E-05   -0.89918E-08    0.22410E-10
    75    0.20067E+04   -0.81976E+01    0.79151E-05   -0.81976E+01    0.39796E+00   -0.84026E-08    0.79151E-05   -0.84026E-08    0.21694E-10
    76    0.20326E+04   -0.87052E+01    0.77054E-05   -0.87052E+01    0.41214E+00   -0.79296E-08    0.77054E-05   -0.79296E-08    0.21007E-10
    77    0.20588E+04   -0.92267E+01    0.75024E-05   -0.92267E+01    0.42649E+00   -0.76055E-08    0.75024E-05   -0.76055E-08    0.20348E-10
    78    0.20854E+04   -0.97631E+01    0.73059E-05   -0.97631E+01    0.44107E+00   -0.74487E-08    0.73059E-05   -0.74487E-08    0.19715E-10
    79    0.21121E+04   -0.10310E+02    0.71155E-05   -0.10310E+02    0.45584E+00   -0.74776E-08    0.71155E-05   -0.74776E-08    0.19108E-10
    80    0.21391E+04   -0.10868E+02    0.69308E-05   -0.10868E+02    0.47082E+00   -0.77106E-08    0.69308E-05   -0.77106E-08    0.18525E-10
    81    0.21662E+04   -0.11437E+02    0.67516E-05   -0.11437E+02    0.48598E+00   -0.81452E-08    0.67516E-05   -0.81452E-08    0.17965E-10
    82    0.21937E+04   -0.12016E+02    0.65781E-05   -0.12016E+02    0.50130E+00   -0.86950E-08    0.65781E-05   -0.86950E-08    0.17427E-10
    83    0.22214E+04   -0.12603E+02    0.64107E-05   -0.12603E+02    0.51672E+00   -0.92527E-08    0.64107E-05   -0.92527E-08    0.16909E-10
    84    0.22494E+04   -0.13197E+02    0.62497E-05   -0.13197E+02    0.53220E+00   -0.97111E-08    0.62497E-05   -0.97111E-08    0.16411E-10
    85    0.22776E+04   -0.13796E+02    0.60954E-05   -0.13796E+02    0.54768E+00   -0.99627E-08    0.60954E-05   -0.99627E-08    0.15932E-10
