#           k/h    P           
    0.10000E-03    0.35033E+00
    0.10202E-03    0.35724E+00
    0.10408E-03    0.36428E+00
    0.10618E-03    0.37145E+00
    0.10833E-03    0.37877E+00
    0.11052E-03    0.38624E+00
    0.11275E-03    0.39384E+00
    0.11503E-03    0.40160E+00
    0.11735E-03    0.40951E+00
    0.11972E-03    0.41757E+00
    0.12214E-03    0.42579E+00
    0.12461E-03    0.43417E+00
    0.12712E-03    0.44271E+00
    0.12969E-03    0.45142E+00
    0.13231E-03    0.46029E+00
    0.13499E-03    0.46935E+00
    0.13771E-03    0.47857E+00
    0.14049E-03    0.48798E+00
    0.14333E-03    0.49757E+00
    0.14623E-03    0.50734E+00
    0.14918E-03    0.51730E+00
    0.15220E-03    0.52746E+00
    0.15527E-03    0.53781E+00
    0.15841E-03    0.54837E+00
    0.16161E-03    0.55912E+00
    0.16487E-03    0.57009E+00
    0.16820E-03    0.58126E+00
    0.17160E-03    0.59265E+00
    0.17507E-03    0.60426E+00
    0.17860E-03    0.61609E+00
    0.18221E-03    0.62815E+00
    0.18589E-03    0.64044E+00
    0.18965E-03    0.65296E+00
    0.19348E-03    0.66573E+00
    0.19739E-03    0.67873E+00
    0.20138E-03    0.69199E+00
    0.20544E-03    0.70550E+00
    0.20959E-03    0.71926E+00
    0.21383E-03    0.73328E+00
    0.21815E-03    0.74757E+00
    0.22255E-03    0.76213E+00
    0.22705E-03    0.77696E+00
    0.23164E-03    0.79207E+00
    0.23632E-03    0.80747E+00
    0.24109E-03    0.82315E+00
    0.24596E-03    0.83913E+00
    0.25093E-03    0.85540E+00
    0.25600E-03    0.87197E+00
    0.26117E-03    0.88886E+00
    0.26645E-03    0.90605E+00
    0.27183E-03    0.92356E+00
    0.27732E-03    0.94140E+00
    0.28292E-03    0.95956E+00
    0.28864E-03    0.97805E+00
    0.29447E-03    0.99687E+00
    0.30042E-03    0.10160E+01
    0.30649E-03    0.10356E+01
    0.31268E-03    0.10554E+01
    0.31899E-03    0.10756E+01
    0.32544E-03    0.10962E+01
    0.33201E-03    0.11172E+01
    0.33872E-03    0.11385E+01
    0.34556E-03    0.11602E+01
    0.35254E-03    0.11823E+01
    0.35966E-03    0.12047E+01
    0.36693E-03    0.12275E+01
    0.37434E-03    0.12508E+01
    0.38190E-03    0.12744E+01
    0.38962E-03    0.12984E+01
    0.39749E-03    0.13229E+01
    0.40552E-03    0.13477E+01
    0.41371E-03    0.13730E+01
    0.42207E-03    0.13987E+01
    0.43060E-03    0.14248E+01
    0.43929E-03    0.14513E+01
    0.44817E-03    0.14782E+01
    0.45722E-03    0.15056E+01
    0.46646E-03    0.15334E+01
    0.47588E-03    0.15616E+01
    0.48550E-03    0.15903E+01
    0.49530E-03    0.16193E+01
    0.50531E-03    0.16489E+01
    0.51552E-03    0.16788E+01
    0.52593E-03    0.17092E+01
    0.53656E-03    0.17401E+01
    0.54739E-03    0.17713E+01
    0.55845E-03    0.18030E+01
