#           k/h    P           
    0.10000E-03    0.31521E+00
    0.10202E-03    0.32142E+00
    0.10408E-03    0.32776E+00
    0.10618E-03    0.33422E+00
    0.10833E-03    0.34081E+00
    0.11052E-03    0.34753E+00
    0.11275E-03    0.35438E+00
    0.11503E-03    0.36136E+00
    0.11735E-03    0.36848E+00
    0.11972E-03    0.37574E+00
    0.12214E-03    0.38314E+00
    0.12461E-03    0.39069E+00
    0.12712E-03    0.39838E+00
    0.12969E-03    0.40623E+00
    0.13231E-03    0.41422E+00
    0.13499E-03    0.42238E+00
    0.13771E-03    0.43069E+00
    0.14049E-03    0.43916E+00
    0.14333E-03    0.44780E+00
    0.14623E-03    0.45661E+00
    0.14918E-03    0.46559E+00
    0.15220E-03    0.47474E+00
    0.15527E-03    0.48407E+00
    0.15841E-03    0.49358E+00
    0.16161E-03    0.50327E+00
    0.16487E-03    0.51316E+00
    0.16820E-03    0.52323E+00
    0.17160E-03    0.53350E+00
    0.17507E-03    0.54397E+00
    0.17860E-03    0.55464E+00
    0.18221E-03    0.56551E+00
    0.18589E-03    0.57660E+00
    0.18965E-03    0.58789E+00
    0.19348E-03    0.59941E+00
    0.19739E-03    0.61114E+00
    0.20138E-03    0.62310E+00
    0.20544E-03    0.63529E+00
    0.20959E-03    0.64772E+00
    0.21383E-03    0.66037E+00
    0.21815E-03    0.67328E+00
    0.22255E-03    0.68642E+00
    0.22705E-03    0.69982E+00
    0.23164E-03    0.71347E+00
    0.23632E-03    0.72738E+00
    0.24109E-03    0.74155E+00
    0.24596E-03    0.75599E+00
    0.25093E-03    0.77070E+00
    0.25600E-03    0.78568E+00
    0.26117E-03    0.80095E+00
    0.26645E-03    0.81651E+00
    0.27183E-03    0.83235E+00
    0.27732E-03    0.84849E+00
    0.28292E-03    0.86493E+00
    0.28864E-03    0.88167E+00
    0.29447E-03    0.89872E+00
    0.30042E-03    0.91609E+00
    0.30649E-03    0.93377E+00
    0.31268E-03    0.95178E+00
    0.31899E-03    0.97012E+00
    0.32544E-03    0.98879E+00
    0.33201E-03    0.10078E+01
    0.33872E-03    0.10271E+01
    0.34556E-03    0.10468E+01
    0.35254E-03    0.10669E+01
    0.35966E-03    0.10873E+01
    0.36693E-03    0.11081E+01
    0.37434E-03    0.11292E+01
    0.38190E-03    0.11507E+01
    0.38962E-03    0.11726E+01
    0.39749E-03    0.11949E+01
    0.40552E-03    0.12175E+01
    0.41371E-03    0.12405E+01
    0.42207E-03    0.12640E+01
    0.43060E-03    0.12878E+01
    0.43929E-03    0.13120E+01
    0.44817E-03    0.13366E+01
    0.45722E-03    0.13617E+01
    0.46646E-03    0.13871E+01
    0.47588E-03    0.14130E+01
    0.48550E-03    0.14393E+01
    0.49530E-03    0.14660E+01
    0.50531E-03    0.14931E+01
    0.51552E-03    0.15206E+01
    0.52593E-03    0.15486E+01
    0.53656E-03    0.15770E+01
    0.54739E-03    0.16059E+01
    0.55845E-03    0.16351E+01
    0.56973E-03    0.16648E+01
    0.58124E-03    0.16949E+01
    0.59299E-03    0.17255E+01
    0.60496E-03    0.17564E+01
    0.61719E-03    0.17879E+01
    0.62965E-03    0.18197E+01
    0.64237E-03    0.18519E+01
    0.65535E-03    0.18846E+01
    0.66859E-03    0.19177E+01
    0.68210E-03    0.19511E+01
    0.69588E-03    0.19850E+01
    0.70993E-03    0.20193E+01
    0.72427E-03    0.20540E+01
    0.73891E-03    0.20890E+01
    0.75383E-03    0.21244E+01
    0.76906E-03    0.21602E+01
    0.78460E-03    0.21963E+01
    0.80045E-03    0.22328E+01
    0.81662E-03    0.22695E+01
    0.83311E-03    0.23066E+01
    0.84994E-03    0.23439E+01
    0.86711E-03    0.23815E+01
    0.88463E-03    0.24194E+01
    0.90250E-03    0.24575E+01
    0.92073E-03    0.24957E+01
    0.93933E-03    0.25342E+01
    0.95831E-03    0.25728E+01
    0.97767E-03    0.26115E+01
    0.99742E-03    0.26503E+01
    0.10176E-02    0.26891E+01
    0.10381E-02    0.27280E+01
    0.10591E-02    0.27668E+01
    0.10805E-02    0.28055E+01
    0.11023E-02    0.28442E+01
    0.11246E-02    0.28827E+01
    0.11473E-02    0.29210E+01
    0.11705E-02    0.29590E+01
    0.11941E-02    0.29967E+01
    0.12182E-02    0.30341E+01
    0.12429E-02    0.30710E+01
    0.12680E-02    0.31075E+01
    0.12936E-02    0.31434E+01
    0.13197E-02    0.31787E+01
    0.13464E-02    0.32132E+01
    0.13736E-02    0.32470E+01
    0.14013E-02    0.32800E+01
    0.14296E-02    0.33121E+01
    0.14585E-02    0.33431E+01
    0.14880E-02    0.33730E+01
    0.15180E-02    0.34018E+01
    0.15487E-02    0.34292E+01
    0.15800E-02    0.34553E+01
    0.16119E-02    0.34800E+01
    0.16445E-02    0.35030E+01
    0.16777E-02    0.35244E+01
    0.17116E-02    0.35441E+01
    0.17462E-02    0.35618E+01
    0.17814E-02    0.35776E+01
    0.18174E-02    0.35913E+01
    0.18541E-02    0.36028E+01
    0.18916E-02    0.36119E+01
    0.19298E-02    0.36187E+01
    0.19688E-02    0.36230E+01
    0.20086E-02    0.36247E+01
    0.20491E-02    0.36236E+01
    0.20905E-02    0.36198E+01
    0.21328E-02    0.36130E+01
