#           k/h    P           
    0.42098E-02    0.53823E+01
    0.42948E-02    0.54736E+01
    0.43816E-02    0.55660E+01
    0.44701E-02    0.56595E+01
    0.45604E-02    0.57541E+01
    0.46525E-02    0.58498E+01
    0.47465E-02    0.59466E+01
    0.48424E-02    0.60444E+01
    0.49402E-02    0.61433E+01
    0.50400E-02    0.62432E+01
    0.51419E-02    0.63441E+01
    0.52457E-02    0.64461E+01
    0.53517E-02    0.65491E+01
    0.54598E-02    0.66531E+01
    0.55701E-02    0.67580E+01
    0.56826E-02    0.68639E+01
    0.57974E-02    0.69707E+01
    0.59145E-02    0.70785E+01
    0.60340E-02    0.71871E+01
    0.61559E-02    0.72966E+01
    0.62803E-02    0.74070E+01
    0.64072E-02    0.75181E+01
    0.65366E-02    0.76301E+01
    0.66686E-02    0.77428E+01
    0.68033E-02    0.78561E+01
    0.69408E-02    0.79702E+01
    0.70810E-02    0.80848E+01
    0.72240E-02    0.82000E+01
    0.73700E-02    0.83158E+01
    0.75189E-02    0.84320E+01
    0.76708E-02    0.85486E+01
    0.78257E-02    0.86655E+01
    0.79838E-02    0.87828E+01
    0.81451E-02    0.89002E+01
    0.83096E-02    0.90178E+01
    0.84775E-02    0.91354E+01
    0.86488E-02    0.92530E+01
    0.88235E-02    0.93704E+01
    0.90017E-02    0.94877E+01
    0.91836E-02    0.96047E+01
    0.93691E-02    0.97212E+01
    0.95583E-02    0.98373E+01
    0.97514E-02    0.99528E+01
    0.99484E-02    0.10068E+02
    0.10149E-01    0.10182E+02
    0.10354E-01    0.10295E+02
    0.10564E-01    0.10407E+02
    0.10777E-01    0.10518E+02
    0.10995E-01    0.10627E+02
    0.11217E-01    0.10736E+02
    0.11443E-01    0.10842E+02
    0.11675E-01    0.10947E+02
    0.11910E-01    0.11051E+02
    0.12151E-01    0.11152E+02
    0.12397E-01    0.11252E+02
    0.12647E-01    0.11349E+02
    0.12902E-01    0.11444E+02
    0.13163E-01    0.11536E+02
    0.13429E-01    0.11625E+02
    0.13700E-01    0.11712E+02
    0.13977E-01    0.11796E+02
    0.14259E-01    0.11876E+02
    0.14547E-01    0.11953E+02
    0.14841E-01    0.12027E+02
    0.15141E-01    0.12096E+02
    0.15447E-01    0.12162E+02
    0.15759E-01    0.12223E+02
    0.16077E-01    0.12280E+02
    0.16402E-01    0.12332E+02
    0.16734E-01    0.12379E+02
    0.17072E-01    0.12422E+02
    0.17416E-01    0.12459E+02
    0.17768E-01    0.12491E+02
    0.18127E-01    0.12517E+02
    0.18493E-01    0.12538E+02
    0.18867E-01    0.12552E+02
    0.19248E-01    0.12561E+02
    0.19637E-01    0.12563E+02
    0.20034E-01    0.12558E+02
    0.20438E-01    0.12547E+02
    0.20851E-01    0.12529E+02
    0.21272E-01    0.12504E+02
    0.21702E-01    0.12472E+02
    0.22141E-01    0.12432E+02
    0.22588E-01    0.12385E+02
    0.23044E-01    0.12331E+02
    0.23510E-01    0.12269E+02
    0.23985E-01    0.12200E+02
    0.24469E-01    0.12122E+02
    0.24964E-01    0.12038E+02
    0.25468E-01    0.11945E+02
    0.25982E-01    0.11845E+02
    0.26507E-01    0.11737E+02
    0.27043E-01    0.11622E+02
    0.27589E-01    0.11499E+02
    0.28146E-01    0.11369E+02
    0.28715E-01    0.11232E+02
    0.29295E-01    0.11087E+02
    0.29887E-01    0.10936E+02
    0.30490E-01    0.10778E+02
    0.31106E-01    0.10615E+02
    0.31735E-01    0.10445E+02
    0.32376E-01    0.10269E+02
    0.33030E-01    0.10088E+02
    0.33697E-01    0.99025E+01
    0.34378E-01    0.97122E+01
    0.35072E-01    0.95178E+01
    0.35781E-01    0.93198E+01
    0.36504E-01    0.91186E+01
    0.37241E-01    0.89147E+01
    0.37993E-01    0.87087E+01
    0.38761E-01    0.85010E+01
    0.39544E-01    0.82921E+01
    0.40343E-01    0.80826E+01
    0.41158E-01    0.78729E+01
    0.41989E-01    0.76636E+01
    0.42838E-01    0.74551E+01
    0.43703E-01    0.72480E+01
    0.44586E-01    0.70426E+01
    0.45486E-01    0.68395E+01
    0.46405E-01    0.66391E+01
    0.47343E-01    0.64416E+01
    0.48299E-01    0.62474E+01
    0.49275E-01    0.60567E+01
    0.50270E-01    0.58700E+01
    0.51286E-01    0.56872E+01
    0.52322E-01    0.55087E+01
    0.53379E-01    0.53345E+01
    0.54457E-01    0.51646E+01
    0.55557E-01    0.49990E+01
    0.56680E-01    0.48377E+01
    0.57825E-01    0.46806E+01
    0.58993E-01    0.45275E+01
    0.60184E-01    0.43783E+01
    0.61400E-01    0.42328E+01
    0.62641E-01    0.40905E+01
    0.63906E-01    0.39509E+01
    0.65197E-01    0.38147E+01
    0.66514E-01    0.36810E+01
    0.67858E-01    0.35496E+01
    0.69229E-01    0.34202E+01
    0.70627E-01    0.32925E+01
    0.72054E-01    0.31662E+01
    0.73510E-01    0.30415E+01
    0.74994E-01    0.29179E+01
    0.76509E-01    0.27954E+01
    0.78055E-01    0.26740E+01
    0.79632E-01    0.25539E+01
    0.81241E-01    0.24352E+01
    0.82882E-01    0.23182E+01
    0.84556E-01    0.22031E+01
    0.86264E-01    0.20903E+01
    0.88007E-01    0.19801E+01
    0.89785E-01    0.18730E+01
    0.91598E-01    0.17695E+01
    0.93449E-01    0.16699E+01
    0.95337E-01    0.15746E+01
    0.97263E-01    0.14841E+01
    0.99227E-01    0.13986E+01
    0.10123E+00    0.13184E+01
    0.10328E+00    0.12435E+01
    0.10536E+00    0.11740E+01
    0.10749E+00    0.11099E+01
    0.10966E+00    0.10510E+01
    0.11188E+00    0.99702E+00
    0.11414E+00    0.94756E+00
    0.11644E+00    0.90218E+00
    0.11880E+00    0.86037E+00
    0.12120E+00    0.82155E+00
    0.12365E+00    0.78511E+00
    0.12614E+00    0.75047E+00
    0.12869E+00    0.71704E+00
    0.13129E+00    0.68430E+00
    0.13394E+00    0.65183E+00
    0.13665E+00    0.61934E+00
    0.13941E+00    0.58665E+00
    0.14223E+00    0.55378E+00
    0.14510E+00    0.52086E+00
    0.14803E+00    0.48814E+00
    0.15102E+00    0.45600E+00
    0.15407E+00    0.42487E+00
    0.15718E+00    0.39519E+00
    0.16036E+00    0.36736E+00
    0.16360E+00    0.34170E+00
    0.16690E+00    0.31840E+00
    0.17028E+00    0.29754E+00
    0.17371E+00    0.27905E+00
    0.17722E+00    0.26275E+00
    0.18080E+00    0.24832E+00
    0.18446E+00    0.23538E+00
    0.18818E+00    0.22350E+00
    0.19198E+00    0.21226E+00
    0.19586E+00    0.20129E+00
    0.19982E+00    0.19029E+00
    0.20386E+00    0.17910E+00
    0.20797E+00    0.16770E+00
    0.21218E+00    0.15620E+00
    0.21646E+00    0.14480E+00
    0.22083E+00    0.13380E+00
    0.22530E+00    0.12348E+00
    0.22985E+00    0.11407E+00
    0.23449E+00    0.10570E+00
    0.23923E+00    0.98397E-01
    0.24406E+00    0.92077E-01
    0.24899E+00    0.86548E-01
    0.25402E+00    0.81565E-01
    0.25915E+00    0.76878E-01
    0.26439E+00    0.72278E-01
    0.26973E+00    0.67639E-01
    0.27518E+00    0.62942E-01
    0.28074E+00    0.58255E-01
    0.28641E+00    0.53707E-01
    0.29219E+00    0.49438E-01
    0.29810E+00    0.45557E-01
    0.30412E+00    0.42118E-01
    0.31026E+00    0.39106E-01
    0.31653E+00    0.36451E-01
    0.32292E+00    0.34046E-01
    0.32945E+00    0.31782E-01
    0.33610E+00    0.29579E-01
