#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.13086E+04    0.13660E+01    0.21424E-04    0.13660E+01    0.88330E-01   -0.90595E-08    0.21424E-04   -0.90595E-08    0.74618E-10
    44    0.13279E+04    0.12265E+01    0.20471E-04    0.12265E+01    0.95288E-01   -0.84513E-08    0.20471E-04   -0.84513E-08    0.71015E-10
    45    0.13477E+04    0.10754E+01    0.19574E-04    0.10754E+01    0.10253E+00   -0.90645E-08    0.19574E-04   -0.90645E-08    0.67640E-10
    46    0.13678E+04    0.91150E+00    0.18728E-04    0.91150E+00    0.11004E+00   -0.10790E-07    0.18728E-04   -0.10790E-07    0.64473E-10
    47    0.13881E+04    0.73435E+00    0.17930E-04    0.73435E+00    0.11784E+00   -0.13225E-07    0.17930E-04   -0.13225E-07    0.61499E-10
    48    0.14085E+04    0.54634E+00    0.17176E-04    0.54634E+00    0.12596E+00   -0.15892E-07    0.17176E-04   -0.15892E-07    0.58704E-10
    49    0.14291E+04    0.34929E+00    0.16466E-04    0.34929E+00    0.13440E+00   -0.18315E-07    0.16466E-04   -0.18315E-07    0.56076E-10
    50    0.14502E+04    0.13821E+00    0.15795E-04    0.13821E+00    0.14317E+00   -0.20018E-07    0.15795E-04   -0.20018E-07    0.53601E-10
    51    0.14714E+04   -0.92694E-01    0.15163E-04   -0.92694E-01    0.15226E+00   -0.20643E-07    0.15163E-04   -0.20643E-07    0.51267E-10
    52    0.14930E+04   -0.34694E+00    0.14567E-04   -0.34694E+00    0.16173E+00   -0.20317E-07    0.14567E-04   -0.20317E-07    0.49065E-10
    53    0.15147E+04   -0.62563E+00    0.14005E-04   -0.62563E+00    0.17172E+00   -0.19287E-07    0.14005E-04   -0.19287E-07    0.46986E-10
    54    0.15363E+04   -0.92190E+00    0.13475E-04   -0.92190E+00    0.18218E+00   -0.17799E-07    0.13475E-04   -0.17799E-07    0.45021E-10
    55    0.15582E+04   -0.12287E+01    0.12974E-04   -0.12287E+01    0.19307E+00   -0.16100E-07    0.12974E-04   -0.16100E-07    0.43163E-10
    56    0.15804E+04   -0.15459E+01    0.12501E-04   -0.15459E+01    0.20423E+00   -0.14418E-07    0.12501E-04   -0.14418E-07    0.41403E-10
    57    0.16030E+04   -0.18741E+01    0.12054E-04   -0.18741E+01    0.21554E+00   -0.12902E-07    0.12054E-04   -0.12902E-07    0.39735E-10
    58    0.16259E+04   -0.22152E+01    0.11629E-04   -0.22152E+01    0.22700E+00   -0.11682E-07    0.11629E-04   -0.11682E-07    0.38155E-10
    59    0.16491E+04   -0.25713E+01    0.11224E-04   -0.25713E+01    0.23863E+00   -0.10889E-07    0.11224E-04   -0.10889E-07    0.36655E-10
    60    0.16725E+04   -0.29429E+01    0.10836E-04   -0.29429E+01    0.25048E+00   -0.10653E-07    0.10836E-04   -0.10653E-07    0.35231E-10
    61    0.16964E+04   -0.33303E+01    0.10465E-04   -0.33303E+01    0.26264E+00   -0.11043E-07    0.10465E-04   -0.11043E-07    0.33878E-10
