#           k/h    P           
    0.42098E-02    0.85399E+01
    0.42948E-02    0.86642E+01
    0.43816E-02    0.87887E+01
    0.44701E-02    0.89134E+01
    0.45604E-02    0.90383E+01
    0.46525E-02    0.91631E+01
    0.47465E-02    0.92878E+01
    0.48424E-02    0.94124E+01
    0.49402E-02    0.95367E+01
    0.50400E-02    0.96605E+01
    0.51419E-02    0.97839E+01
    0.52457E-02    0.99066E+01
    0.53517E-02    0.10029E+02
    0.54598E-02    0.10150E+02
    0.55701E-02    0.10270E+02
    0.56826E-02    0.10389E+02
    0.57974E-02    0.10507E+02
    0.59145E-02    0.10623E+02
    0.60340E-02    0.10738E+02
    0.61559E-02    0.10851E+02
    0.62803E-02    0.10962E+02
    0.64072E-02    0.11071E+02
    0.65366E-02    0.11178E+02
    0.66686E-02    0.11283E+02
    0.68033E-02    0.11385E+02
    0.69408E-02    0.11485E+02
    0.70810E-02    0.11581E+02
    0.72240E-02    0.11675E+02
    0.73700E-02    0.11765E+02
    0.75189E-02    0.11852E+02
    0.76708E-02    0.11936E+02
    0.78257E-02    0.12016E+02
    0.79838E-02    0.12092E+02
    0.81451E-02    0.12164E+02
    0.83096E-02    0.12231E+02
    0.84775E-02    0.12294E+02
    0.86488E-02    0.12352E+02
    0.88235E-02    0.12406E+02
    0.90017E-02    0.12454E+02
    0.91836E-02    0.12498E+02
    0.93691E-02    0.12536E+02
    0.95583E-02    0.12568E+02
    0.97514E-02    0.12595E+02
    0.99484E-02    0.12616E+02
    0.10149E-01    0.12630E+02
    0.10354E-01    0.12639E+02
    0.10564E-01    0.12642E+02
    0.10777E-01    0.12638E+02
    0.10995E-01    0.12628E+02
    0.11217E-01    0.12611E+02
    0.11443E-01    0.12587E+02
    0.11675E-01    0.12557E+02
    0.11910E-01    0.12520E+02
    0.12151E-01    0.12476E+02
    0.12397E-01    0.12425E+02
    0.12647E-01    0.12368E+02
    0.12902E-01    0.12304E+02
    0.13163E-01    0.12233E+02
    0.13429E-01    0.12155E+02
    0.13700E-01    0.12070E+02
    0.13977E-01    0.11979E+02
    0.14259E-01    0.11881E+02
    0.14547E-01    0.11776E+02
    0.14841E-01    0.11666E+02
    0.15141E-01    0.11548E+02
    0.15447E-01    0.11425E+02
    0.15759E-01    0.11296E+02
    0.16077E-01    0.11161E+02
    0.16402E-01    0.11020E+02
    0.16734E-01    0.10873E+02
    0.17072E-01    0.10721E+02
    0.17416E-01    0.10564E+02
    0.17768E-01    0.10402E+02
    0.18127E-01    0.10235E+02
    0.18493E-01    0.10064E+02
    0.18867E-01    0.98888E+01
    0.19248E-01    0.97093E+01
    0.19637E-01    0.95260E+01
    0.20034E-01    0.93392E+01
    0.20438E-01    0.91491E+01
    0.20851E-01    0.89561E+01
    0.21272E-01    0.87603E+01
    0.21702E-01    0.85620E+01
    0.22141E-01    0.83616E+01
    0.22588E-01    0.81594E+01
    0.23044E-01    0.79557E+01
    0.23510E-01    0.77508E+01
    0.23985E-01    0.75450E+01
    0.24469E-01    0.73386E+01
    0.24964E-01    0.71321E+01
    0.25468E-01    0.69257E+01
    0.25982E-01    0.67198E+01
    0.26507E-01    0.65148E+01
    0.27043E-01    0.63109E+01
    0.27589E-01    0.61085E+01
    0.28146E-01    0.59080E+01
    0.28715E-01    0.57096E+01
    0.29295E-01    0.55137E+01
    0.29887E-01    0.53205E+01
    0.30490E-01    0.51303E+01
    0.31106E-01    0.49434E+01
    0.31735E-01    0.47600E+01
    0.32376E-01    0.45803E+01
    0.33030E-01    0.44044E+01
    0.33697E-01    0.42327E+01
    0.34378E-01    0.40651E+01
    0.35072E-01    0.39020E+01
    0.35781E-01    0.37434E+01
    0.36504E-01    0.35894E+01
    0.37241E-01    0.34403E+01
    0.37993E-01    0.32962E+01
    0.38761E-01    0.31571E+01
    0.39544E-01    0.30232E+01
    0.40343E-01    0.28946E+01
    0.41158E-01    0.27712E+01
