#    L    TT             EE             BB             TE          
    91    0.25469E+04    0.72357E+00    0.20434E-02   -0.20680E+02
    92    0.25799E+04    0.73959E+00    0.20887E-02   -0.21384E+02
    93    0.26132E+04    0.75545E+00    0.21345E-02   -0.22091E+02
    94    0.26467E+04    0.77113E+00    0.21808E-02   -0.22797E+02
    95    0.26805E+04    0.78662E+00    0.22277E-02   -0.23503E+02
    96    0.27143E+04    0.80190E+00    0.22752E-02   -0.24210E+02
    97    0.27486E+04    0.81696E+00    0.23232E-02   -0.24916E+02
    98    0.27832E+04    0.83179E+00    0.23718E-02   -0.25618E+02
    99    0.28179E+04    0.84635E+00    0.24209E-02   -0.26320E+02
   100    0.28529E+04    0.86064E+00    0.24707E-02   -0.27017E+02
   101    0.28881E+04    0.87472E+00    0.25210E-02   -0.27712E+02
   102    0.29239E+04    0.88843E+00    0.25719E-02   -0.28403E+02
   103    0.29596E+04    0.90186E+00    0.26233E-02   -0.29090E+02
   104    0.29955E+04    0.91500E+00    0.26754E-02   -0.29771E+02
   105    0.30316E+04    0.92778E+00    0.27280E-02   -0.30446E+02
   106    0.30679E+04    0.94026E+00    0.27812E-02   -0.31115E+02
   107    0.31042E+04    0.95231E+00    0.28351E-02   -0.31777E+02
   108    0.31408E+04    0.96398E+00    0.28895E-02   -0.32432E+02
   109    0.31776E+04    0.97521E+00    0.29445E-02   -0.33078E+02
   110    0.32145E+04    0.98600E+00    0.30001E-02   -0.33714E+02
   111    0.32515E+04    0.99641E+00    0.30564E-02   -0.34342E+02
   112    0.32886E+04    0.10064E+01    0.31133E-02   -0.34960E+02
   113    0.33260E+04    0.10159E+01    0.31708E-02   -0.35567E+02
   114    0.33634E+04    0.10249E+01    0.32290E-02   -0.36161E+02
   115    0.34010E+04    0.10336E+01    0.32878E-02   -0.36744E+02
   116    0.34386E+04    0.10416E+01    0.33474E-02   -0.37314E+02
   117    0.34765E+04    0.10492E+01    0.34076E-02   -0.37870E+02
   118    0.35145E+04    0.10564E+01    0.34684E-02   -0.38412E+02
   119    0.35524E+04    0.10631E+01    0.35300E-02   -0.38939E+02
   120    0.35905E+04    0.10692E+01    0.35923E-02   -0.39450E+02
   121    0.36285E+04    0.10749E+01    0.36553E-02   -0.39945E+02
   122    0.36665E+04    0.10799E+01    0.37190E-02   -0.40424E+02
   123    0.37046E+04    0.10844E+01    0.37834E-02   -0.40885E+02
   124    0.37427E+04    0.10884E+01    0.38485E-02   -0.41327E+02
