#           k/h    P           
    0.10000E-03    0.25160E+00
    0.10202E-03    0.25657E+00
    0.10408E-03    0.26164E+00
    0.10618E-03    0.26681E+00
    0.10833E-03    0.27209E+00
    0.11052E-03    0.27747E+00
    0.11275E-03    0.28295E+00
    0.11503E-03    0.28855E+00
    0.11735E-03    0.29425E+00
    0.11972E-03    0.30007E+00
    0.12214E-03    0.30600E+00
    0.12461E-03    0.31205E+00
    0.12712E-03    0.31822E+00
    0.12969E-03    0.32451E+00
    0.13231E-03    0.33092E+00
    0.13499E-03    0.33746E+00
    0.13771E-03    0.34413E+00
    0.14049E-03    0.35094E+00
    0.14333E-03    0.35787E+00
    0.14623E-03    0.36495E+00
    0.14918E-03    0.37216E+00
    0.15220E-03    0.37951E+00
    0.15527E-03    0.38702E+00
    0.15841E-03    0.39466E+00
    0.16161E-03    0.40246E+00
    0.16487E-03    0.41042E+00
    0.16820E-03    0.41853E+00
    0.17160E-03    0.42680E+00
    0.17507E-03    0.43524E+00
    0.17860E-03    0.44384E+00
    0.18221E-03    0.45261E+00
    0.18589E-03    0.46155E+00
    0.18965E-03    0.47067E+00
    0.19348E-03    0.47997E+00
    0.19739E-03    0.48946E+00
    0.20138E-03    0.49913E+00
    0.20544E-03    0.50899E+00
    0.20959E-03    0.51905E+00
    0.21383E-03    0.52930E+00
    0.21815E-03    0.53976E+00
    0.22255E-03    0.55042E+00
    0.22705E-03    0.56130E+00
    0.23164E-03    0.57238E+00
    0.23632E-03    0.58369E+00
    0.24109E-03    0.59522E+00
    0.24596E-03    0.60698E+00
    0.25093E-03    0.61897E+00
    0.25600E-03    0.63119E+00
    0.26117E-03    0.64366E+00
    0.26645E-03    0.65637E+00
    0.27183E-03    0.66933E+00
    0.27732E-03    0.68255E+00
    0.28292E-03    0.69603E+00
    0.28864E-03    0.70977E+00
    0.29447E-03    0.72378E+00
    0.30042E-03    0.73807E+00
    0.30649E-03    0.75264E+00
    0.31268E-03    0.76750E+00
    0.31899E-03    0.78265E+00
    0.32544E-03    0.79809E+00
    0.33201E-03    0.81384E+00
    0.33872E-03    0.82990E+00
    0.34556E-03    0.84628E+00
    0.35254E-03    0.86298E+00
    0.35966E-03    0.88000E+00
    0.36693E-03    0.89736E+00
    0.37434E-03    0.91506E+00
    0.38190E-03    0.93311E+00
    0.38962E-03    0.95151E+00
    0.39749E-03    0.97028E+00
    0.40552E-03    0.98941E+00
    0.41371E-03    0.10089E+01
    0.42207E-03    0.10288E+01
    0.43060E-03    0.10491E+01
    0.43929E-03    0.10698E+01
    0.44817E-03    0.10908E+01
    0.45722E-03    0.11123E+01
    0.46646E-03    0.11342E+01
    0.47588E-03    0.11566E+01
    0.48550E-03    0.11793E+01
    0.49530E-03    0.12026E+01
    0.50531E-03    0.12262E+01
    0.51552E-03    0.12504E+01
    0.52593E-03    0.12750E+01
    0.53656E-03    0.13001E+01
    0.54739E-03    0.13256E+01
    0.55845E-03    0.13517E+01
    0.56973E-03    0.13783E+01
    0.58124E-03    0.14054E+01
    0.59299E-03    0.14330E+01
    0.60496E-03    0.14612E+01
    0.61719E-03    0.14899E+01
    0.62965E-03    0.15191E+01
    0.64237E-03    0.15489E+01
    0.65535E-03    0.15794E+01
    0.66859E-03    0.16103E+01
    0.68210E-03    0.16419E+01
    0.69588E-03    0.16741E+01
    0.70993E-03    0.17069E+01
    0.72427E-03    0.17404E+01
    0.73891E-03    0.17745E+01
    0.75383E-03    0.18092E+01
    0.76906E-03    0.18446E+01
    0.78460E-03    0.18807E+01
    0.80045E-03    0.19175E+01
    0.81662E-03    0.19550E+01
    0.83311E-03    0.19932E+01
    0.84994E-03    0.20321E+01
    0.86711E-03    0.20718E+01
    0.88463E-03    0.21122E+01
    0.90250E-03    0.21534E+01
    0.92073E-03    0.21953E+01
    0.93933E-03    0.22381E+01
    0.95831E-03    0.22816E+01
    0.97767E-03    0.23260E+01
    0.99742E-03    0.23712E+01
    0.10176E-02    0.24173E+01
    0.10381E-02    0.24642E+01
    0.10591E-02    0.25120E+01
    0.10805E-02    0.25607E+01
    0.11023E-02    0.26102E+01
    0.11246E-02    0.26607E+01
    0.11473E-02    0.27122E+01
    0.11705E-02    0.27646E+01
    0.11941E-02    0.28179E+01
    0.12182E-02    0.28722E+01
    0.12429E-02    0.29275E+01
    0.12680E-02    0.29838E+01
    0.12936E-02    0.30411E+01
    0.13197E-02    0.30995E+01
    0.13464E-02    0.31589E+01
    0.13736E-02    0.32194E+01
    0.14013E-02    0.32809E+01
