#           k/h    P           
    0.42098E-02    0.85442E+01
    0.42948E-02    0.86685E+01
    0.43816E-02    0.87931E+01
    0.44701E-02    0.89179E+01
    0.45604E-02    0.90428E+01
    0.46525E-02    0.91677E+01
    0.47465E-02    0.92925E+01
    0.48424E-02    0.94171E+01
    0.49402E-02    0.95415E+01
    0.50400E-02    0.96654E+01
    0.51419E-02    0.97888E+01
    0.52457E-02    0.99116E+01
    0.53517E-02    0.10034E+02
    0.54598E-02    0.10155E+02
    0.55701E-02    0.10275E+02
    0.56826E-02    0.10394E+02
    0.57974E-02    0.10512E+02
    0.59145E-02    0.10628E+02
    0.60340E-02    0.10743E+02
    0.61559E-02    0.10856E+02
    0.62803E-02    0.10968E+02
    0.64072E-02    0.11077E+02
    0.65366E-02    0.11184E+02
    0.66686E-02    0.11289E+02
    0.68033E-02    0.11391E+02
    0.69408E-02    0.11491E+02
    0.70810E-02    0.11587E+02
    0.72240E-02    0.11681E+02
    0.73700E-02    0.11772E+02
    0.75189E-02    0.11859E+02
    0.76708E-02    0.11942E+02
    0.78257E-02    0.12022E+02
    0.79838E-02    0.12098E+02
    0.81451E-02    0.12170E+02
    0.83096E-02    0.12238E+02
    0.84775E-02    0.12301E+02
    0.86488E-02    0.12359E+02
    0.88235E-02    0.12413E+02
    0.90017E-02    0.12461E+02
    0.91836E-02    0.12505E+02
    0.93691E-02    0.12543E+02
    0.95583E-02    0.12575E+02
    0.97514E-02    0.12602E+02
    0.99484E-02    0.12623E+02
    0.10149E-01    0.12638E+02
    0.10354E-01    0.12647E+02
    0.10564E-01    0.12649E+02
    0.10777E-01    0.12646E+02
    0.10995E-01    0.12635E+02
    0.11217E-01    0.12619E+02
    0.11443E-01    0.12595E+02
    0.11675E-01    0.12565E+02
    0.11910E-01    0.12528E+02
    0.12151E-01    0.12484E+02
    0.12397E-01    0.12434E+02
    0.12647E-01    0.12376E+02
    0.12902E-01    0.12312E+02
    0.13163E-01    0.12241E+02
    0.13429E-01    0.12163E+02
    0.13700E-01    0.12079E+02
    0.13977E-01    0.11987E+02
    0.14259E-01    0.11890E+02
    0.14547E-01    0.11785E+02
    0.14841E-01    0.11674E+02
    0.15141E-01    0.11557E+02
    0.15447E-01    0.11434E+02
    0.15759E-01    0.11305E+02
    0.16077E-01    0.11169E+02
    0.16402E-01    0.11028E+02
    0.16734E-01    0.10882E+02
    0.17072E-01    0.10730E+02
    0.17416E-01    0.10573E+02
    0.17768E-01    0.10411E+02
    0.18127E-01    0.10244E+02
    0.18493E-01    0.10073E+02
    0.18867E-01    0.98975E+01
    0.19248E-01    0.97180E+01
    0.19637E-01    0.95347E+01
    0.20034E-01    0.93479E+01
    0.20438E-01    0.91577E+01
    0.20851E-01    0.89646E+01
    0.21272E-01    0.87687E+01
    0.21702E-01    0.85704E+01
    0.22141E-01    0.83699E+01
    0.22588E-01    0.81676E+01
    0.23044E-01    0.79638E+01
    0.23510E-01    0.77588E+01
    0.23985E-01    0.75529E+01
    0.24469E-01    0.73464E+01
    0.24964E-01    0.71398E+01
    0.25468E-01    0.69333E+01
    0.25982E-01    0.67273E+01
    0.26507E-01    0.65221E+01
    0.27043E-01    0.63180E+01
    0.27589E-01    0.61155E+01
    0.28146E-01    0.59149E+01
    0.28715E-01    0.57164E+01
    0.29295E-01    0.55203E+01
    0.29887E-01    0.53270E+01
    0.30490E-01    0.51367E+01
    0.31106E-01    0.49496E+01
    0.31735E-01    0.47660E+01
    0.32376E-01    0.45861E+01
    0.33030E-01    0.44102E+01
    0.33697E-01    0.42382E+01
    0.34378E-01    0.40706E+01
    0.35072E-01    0.39073E+01
    0.35781E-01    0.37485E+01
    0.36504E-01    0.35945E+01
    0.37241E-01    0.34452E+01
    0.37993E-01    0.33009E+01
    0.38761E-01    0.31617E+01
    0.39544E-01    0.30277E+01
    0.40343E-01    0.28989E+01
    0.41158E-01    0.27755E+01
    0.41989E-01    0.26574E+01
    0.42838E-01    0.25447E+01
    0.43703E-01    0.24372E+01
    0.44586E-01    0.23348E+01
    0.45486E-01    0.22373E+01
    0.46405E-01    0.21445E+01
    0.47343E-01    0.20560E+01
    0.48299E-01    0.19717E+01
    0.49275E-01    0.18912E+01
    0.50270E-01    0.18140E+01
    0.51286E-01    0.17401E+01
    0.52322E-01    0.16690E+01
    0.53379E-01    0.16006E+01
    0.54457E-01    0.15347E+01
    0.55557E-01    0.14710E+01
    0.56680E-01    0.14094E+01
    0.57825E-01    0.13499E+01
    0.58993E-01    0.12921E+01
    0.60184E-01    0.12360E+01
    0.61400E-01    0.11813E+01
    0.62641E-01    0.11280E+01
    0.63906E-01    0.10759E+01
    0.65197E-01    0.10248E+01
    0.66514E-01    0.97468E+00
    0.67858E-01    0.92547E+00
    0.69229E-01    0.87718E+00
    0.70627E-01    0.82982E+00
    0.72054E-01    0.78347E+00
    0.73510E-01    0.73819E+00
    0.74994E-01    0.69398E+00
    0.76509E-01    0.65107E+00
    0.78055E-01    0.60948E+00
    0.79632E-01    0.56937E+00
    0.81241E-01    0.53087E+00
    0.82882E-01    0.49417E+00
    0.84556E-01    0.45942E+00
    0.86264E-01    0.42676E+00
    0.88007E-01    0.39623E+00
    0.89785E-01    0.36784E+00
    0.91598E-01    0.34156E+00
    0.93449E-01    0.31734E+00
    0.95337E-01    0.29514E+00
    0.97263E-01    0.27495E+00
    0.99227E-01    0.25671E+00
    0.10123E+00    0.24031E+00
    0.10328E+00    0.22555E+00
    0.10536E+00    0.21217E+00
    0.10749E+00    0.19990E+00
    0.10966E+00    0.18849E+00
    0.11188E+00    0.17776E+00
    0.11414E+00    0.16762E+00
    0.11644E+00    0.15796E+00
    0.11880E+00    0.14870E+00
    0.12120E+00    0.13973E+00
    0.12365E+00    0.13094E+00
    0.12614E+00    0.12226E+00
    0.12869E+00    0.11369E+00
    0.13129E+00    0.10525E+00
    0.13394E+00    0.97006E-01
    0.13665E+00    0.89041E-01
    0.13941E+00    0.81473E-01
    0.14223E+00    0.74417E-01
    0.14510E+00    0.67941E-01
    0.14803E+00    0.62048E-01
    0.15102E+00    0.56718E-01
    0.15407E+00    0.51951E-01
    0.15718E+00    0.47760E-01
    0.16036E+00    0.44124E-01
    0.16360E+00    0.40958E-01
    0.16690E+00    0.38140E-01
    0.17028E+00    0.35566E-01
    0.17371E+00    0.33168E-01
    0.17722E+00    0.30898E-01
    0.18080E+00    0.28718E-01
    0.18446E+00    0.26602E-01
    0.18818E+00    0.24525E-01
    0.19198E+00    0.22474E-01
    0.19586E+00    0.20469E-01
    0.19982E+00    0.18569E-01
    0.20386E+00    0.16822E-01
    0.20797E+00    0.15238E-01
    0.21218E+00    0.13821E-01
    0.21646E+00    0.12584E-01
    0.22083E+00    0.11523E-01
    0.22530E+00    0.10604E-01
    0.22985E+00    0.97833E-02
    0.23449E+00    0.90283E-02
    0.23923E+00    0.83211E-02
    0.24406E+00    0.76530E-02
    0.24899E+00    0.70064E-02
    0.25402E+00    0.63742E-02
    0.25915E+00    0.57730E-02
    0.26439E+00    0.52155E-02
    0.26973E+00    0.47081E-02
    0.27518E+00    0.42590E-02
    0.28074E+00    0.38706E-02
    0.28641E+00    0.35333E-02
    0.29219E+00    0.32298E-02
    0.29810E+00    0.29530E-02
    0.30412E+00    0.26982E-02
    0.31026E+00    0.24556E-02
    0.31653E+00    0.22253E-02
    0.32292E+00    0.20095E-02
    0.32945E+00    0.18111E-02
    0.33610E+00    0.16340E-02
    0.34289E+00    0.14800E-02
    0.34982E+00    0.13426E-02
    0.35689E+00    0.12191E-02
    0.36409E+00    0.11073E-02
    0.37145E+00    0.10035E-02
    0.37895E+00    0.90689E-03
    0.38661E+00    0.81716E-03
    0.39442E+00    0.73554E-03
    0.40239E+00    0.66372E-03
    0.41052E+00    0.59908E-03
    0.41881E+00    0.54144E-03
    0.42727E+00    0.48932E-03
    0.43590E+00    0.44164E-03
    0.44471E+00    0.39767E-03
    0.45369E+00    0.35755E-03
    0.46286E+00    0.32182E-03
    0.47221E+00    0.28957E-03
    0.48174E+00    0.26080E-03
    0.49148E+00    0.23481E-03
    0.50141E+00    0.21125E-03
    0.51153E+00    0.18972E-03
    0.52187E+00    0.17045E-03
    0.53241E+00    0.15300E-03
    0.54317E+00    0.13741E-03
    0.55414E+00    0.12346E-03
    0.56533E+00    0.11073E-03
    0.57675E+00    0.99353E-04
    0.58840E+00    0.89044E-04
    0.60029E+00    0.79793E-04
    0.61242E+00    0.71490E-04
    0.62479E+00    0.64039E-04
    0.63741E+00    0.57352E-04
    0.65029E+00    0.51351E-04
    0.66342E+00    0.45966E-04
    0.67683E+00    0.41134E-04
    0.69050E+00    0.36799E-04
    0.70445E+00    0.32910E-04
    0.71868E+00    0.29422E-04
    0.73320E+00    0.26294E-04
    0.74801E+00    0.23491E-04
    0.76312E+00    0.20980E-04
    0.77854E+00    0.18732E-04
    0.79426E+00    0.16719E-04
    0.81031E+00    0.14918E-04
    0.82668E+00    0.13308E-04
    0.84338E+00    0.11867E-04
    0.86041E+00    0.10580E-04
    0.87780E+00    0.94305E-05
    0.89553E+00    0.84034E-05
    0.91362E+00    0.74863E-05
    0.93208E+00    0.66675E-05
    0.95091E+00    0.59369E-05
    0.97011E+00    0.52849E-05
    0.98971E+00    0.47034E-05
    0.10097E+01    0.41849E-05
    0.10301E+01    0.37225E-05
    0.10509E+01    0.33105E-05
    0.10721E+01    0.29433E-05
    0.10938E+01    0.26162E-05
    0.11159E+01    0.23249E-05
    0.11384E+01    0.20656E-05
    0.11614E+01    0.18347E-05
    0.11849E+01    0.16293E-05
    0.12088E+01    0.14466E-05
    0.12333E+01    0.12840E-05
    0.12582E+01    0.11395E-05
    0.12836E+01    0.10110E-05
    0.13095E+01    0.89680E-06
    0.13360E+01    0.79534E-06
    0.13630E+01    0.70520E-06
    0.13905E+01    0.62516E-06
    0.14186E+01    0.55408E-06
    0.14472E+01    0.49099E-06
    0.14765E+01    0.43500E-06
    0.15063E+01    0.38532E-06
    0.15367E+01    0.34124E-06
    0.15678E+01    0.30215E-06
    0.15994E+01    0.26749E-06
    0.16318E+01    0.23676E-06
    0.16647E+01    0.20953E-06
    0.16984E+01    0.18539E-06
    0.17327E+01    0.16400E-06
    0.17677E+01    0.14506E-06
    0.18034E+01    0.12828E-06
    0.18398E+01    0.11342E-06
    0.18770E+01    0.10026E-06
    0.19149E+01    0.88613E-07
    0.19536E+01    0.78306E-07
    0.19930E+01    0.69185E-07
    0.20333E+01    0.61116E-07
    0.20744E+01    0.53979E-07
    0.21163E+01    0.47668E-07
    0.21590E+01    0.42088E-07
    0.22026E+01    0.37155E-07
    0.22471E+01    0.32796E-07
    0.22925E+01    0.28944E-07
    0.23388E+01    0.25540E-07
    0.23861E+01    0.22534E-07
    0.24343E+01    0.19879E-07
    0.24835E+01    0.17534E-07
    0.25336E+01    0.15464E-07
    0.25848E+01    0.13636E-07
    0.26370E+01    0.12023E-07
    0.26903E+01    0.10599E-07
    0.27447E+01    0.93428E-08
    0.28001E+01    0.82342E-08
    0.28567E+01    0.72562E-08
    0.29144E+01    0.63936E-08
    0.29733E+01    0.56327E-08
    0.30333E+01    0.49618E-08
    0.30946E+01    0.43703E-08
    0.31571E+01    0.38488E-08
    0.32209E+01    0.33892E-08
    0.32860E+01    0.29841E-08
    0.33523E+01    0.26271E-08
    0.34201E+01    0.23126E-08
    0.34892E+01    0.20355E-08
    0.35596E+01    0.17915E-08
    0.36316E+01    0.15765E-08
    0.37049E+01    0.13872E-08
    0.37798E+01    0.12205E-08
    0.38561E+01    0.10737E-08
    0.39340E+01    0.94447E-09
    0.40135E+01    0.83071E-09
    0.40946E+01    0.73058E-09
    0.41773E+01    0.64245E-09
    0.42617E+01    0.56489E-09
    0.43478E+01    0.49664E-09
    0.44356E+01    0.43659E-09
    0.45252E+01    0.38376E-09
    0.46166E+01    0.33730E-09
    0.47099E+01    0.29643E-09
    0.48050E+01    0.26049E-09
    0.49021E+01    0.22888E-09
    0.50011E+01    0.20110E-09
    0.51021E+01    0.17667E-09
    0.52052E+01    0.15520E-09
    0.53104E+01    0.13633E-09
    0.54176E+01    0.11974E-09
    0.55271E+01    0.10516E-09
    0.56387E+01    0.92357E-10
    0.57526E+01    0.81103E-10
    0.58689E+01    0.71215E-10
    0.59874E+01    0.62529E-10
    0.61084E+01    0.54899E-10
    0.62318E+01    0.48197E-10
    0.63577E+01    0.42310E-10
    0.64861E+01    0.37141E-10
    0.66171E+01    0.32600E-10
    0.67508E+01    0.28613E-10
    0.68872E+01    0.25112E-10
    0.70263E+01    0.22038E-10
    0.71682E+01    0.19339E-10
    0.73130E+01    0.16969E-10
    0.74608E+01    0.14888E-10
    0.76115E+01    0.13062E-10
    0.77653E+01    0.11459E-10
    0.79221E+01    0.10051E-10
    0.80822E+01    0.88159E-11
    0.82454E+01    0.77319E-11
    0.84120E+01    0.67808E-11
    0.85819E+01    0.59464E-11
    0.87553E+01    0.52144E-11
    0.89322E+01    0.45723E-11
    0.91126E+01    0.40092E-11
    0.92967E+01    0.35153E-11
    0.94845E+01    0.30822E-11
    0.96761E+01    0.27025E-11
    0.98716E+01    0.23695E-11
    0.10071E+02    0.20775E-11
    0.10274E+02    0.18215E-11
    0.10482E+02    0.15969E-11
    0.10694E+02    0.14000E-11
    0.10910E+02    0.12273E-11
    0.11130E+02    0.10758E-11
    0.11355E+02    0.94295E-12
    0.11584E+02    0.82645E-12
    0.11818E+02    0.72429E-12
    0.12057E+02    0.63471E-12
    0.12301E+02    0.55616E-12
    0.12549E+02    0.48731E-12
    0.12803E+02    0.42695E-12
    0.13061E+02    0.37405E-12
    0.13325E+02    0.32768E-12
    0.13594E+02    0.28705E-12
    0.13869E+02    0.25145E-12
    0.14149E+02    0.22026E-12
    0.14435E+02    0.19294E-12
    0.14727E+02    0.16900E-12
    0.15024E+02    0.14802E-12
    0.15328E+02    0.12965E-12
    0.15637E+02    0.11355E-12
    0.15953E+02    0.99450E-13
    0.16275E+02    0.87097E-13
    0.16604E+02    0.76276E-13
    0.16940E+02    0.66797E-13
    0.17282E+02    0.58494E-13
    0.17631E+02    0.51221E-13
    0.17987E+02    0.44851E-13
    0.18351E+02    0.39271E-13
    0.18721E+02    0.34384E-13
    0.19099E+02    0.30105E-13
    0.19485E+02    0.26358E-13
    0.19879E+02    0.23076E-13
    0.20280E+02    0.20203E-13
    0.20690E+02    0.17687E-13
    0.21108E+02    0.15484E-13
    0.21535E+02    0.13555E-13
    0.21970E+02    0.11867E-13
    0.22413E+02    0.10388E-13
    0.22866E+02    0.90940E-14
    0.23328E+02    0.79608E-14
    0.23799E+02    0.69687E-14
    0.24280E+02    0.61001E-14
    0.24771E+02    0.53396E-14
    0.25271E+02    0.46739E-14
    0.25782E+02    0.40910E-14
    0.26302E+02    0.35807E-14
    0.26834E+02    0.31340E-14
    0.27376E+02    0.27429E-14
    0.27929E+02    0.24006E-14
    0.28493E+02    0.21008E-14
    0.29069E+02    0.18384E-14
    0.29656E+02    0.16087E-14
    0.30255E+02    0.14076E-14
    0.30866E+02    0.12316E-14
    0.31490E+02    0.10775E-14
    0.32126E+02    0.94265E-15
    0.32775E+02    0.82461E-15
    0.33437E+02    0.72131E-15
    0.34112E+02    0.63094E-15
    0.34801E+02    0.55187E-15
    0.35504E+02    0.48271E-15
    0.36222E+02    0.42222E-15
    0.36953E+02    0.36932E-15
    0.37700E+02    0.32306E-15
    0.38462E+02    0.28261E-15
    0.39239E+02    0.24724E-15
    0.40031E+02    0.21630E-15
    0.40840E+02    0.18925E-15
    0.41665E+02    0.16557E-15
    0.42507E+02    0.14486E-15
    0.43365E+02    0.12673E-15
    0.44241E+02    0.11087E-15
    0.45135E+02    0.96981E-16
    0.46047E+02    0.84824E-16
    0.46977E+02    0.74183E-16
    0.47926E+02    0.64867E-16
    0.48894E+02    0.56713E-16
    0.49882E+02    0.49579E-16
    0.50890E+02    0.43338E-16
    0.51918E+02    0.37880E-16
    0.52966E+02    0.33109E-16
    0.54036E+02    0.28937E-16
    0.55128E+02    0.25291E-16
    0.56242E+02    0.22105E-16
    0.57378E+02    0.19321E-16
    0.58537E+02    0.16889E-16
    0.59720E+02    0.14764E-16
    0.60926E+02    0.12907E-16
    0.62157E+02    0.11284E-16
    0.63412E+02    0.98660E-17
    0.64693E+02    0.86264E-17
    0.66000E+02    0.75428E-17
    0.67334E+02    0.65955E-17
    0.68694E+02    0.57674E-17
    0.70082E+02    0.50433E-17
    0.71497E+02    0.44103E-17
    0.72942E+02    0.38566E-17
    0.74415E+02    0.33724E-17
    0.75918E+02    0.29488E-17
    0.77452E+02    0.25783E-17
    0.79017E+02    0.22540E-17
    0.80613E+02    0.19703E-17
    0.82241E+02    0.17221E-17
    0.83903E+02    0.15048E-17
    0.85598E+02    0.13147E-17
    0.87327E+02    0.11484E-17
    0.89091E+02    0.10029E-17
    0.90891E+02    0.87571E-18
    0.92727E+02    0.76458E-18
    0.94600E+02    0.66751E-18
    0.96511E+02    0.58276E-18
    0.98461E+02    0.50879E-18
    0.10045E+03    0.44424E-18
    0.10248E+03    0.38794E-18
    0.10455E+03    0.33882E-18
    0.10666E+03    0.29599E-18
    0.10882E+03    0.25862E-18
    0.11101E+03    0.22600E-18
    0.11326E+03    0.19751E-18
    0.11554E+03    0.17262E-18
    0.11788E+03    0.15086E-18
    0.12026E+03    0.13183E-18
    0.12269E+03    0.11519E-18
    0.12517E+03    0.10063E-18
    0.12770E+03    0.87885E-19
    0.13028E+03    0.76736E-19
    0.13291E+03    0.66984E-19
    0.13559E+03    0.58460E-19
    0.13833E+03    0.51013E-19
    0.14113E+03    0.44513E-19
    0.14398E+03    0.38839E-19
    0.14689E+03    0.33891E-19
    0.14985E+03    0.29576E-19
    0.15288E+03    0.25815E-19
    0.15597E+03    0.22538E-19
    0.15912E+03    0.19682E-19
    0.16233E+03    0.17192E-19
    0.16561E+03    0.15020E-19
    0.16896E+03    0.13124E-19
    0.17237E+03    0.11468E-19
    0.17585E+03    0.10021E-19
    0.17941E+03    0.87560E-20
    0.18303E+03    0.76496E-20
    0.18673E+03    0.66816E-20
    0.19050E+03    0.58346E-20
    0.19435E+03    0.50933E-20
    0.19828E+03    0.44448E-20
    0.20228E+03    0.38778E-20
    0.20637E+03    0.33822E-20
    0.21054E+03    0.29494E-20
    0.21479E+03    0.25715E-20
    0.21913E+03    0.22416E-20
    0.22356E+03    0.19539E-20
    0.22807E+03    0.17030E-20
    0.23268E+03    0.14842E-20
