#    L    TT             EE             TE             PP             TP          
    75    0.20585E+04    0.46270E+00   -0.10239E+02    0.52932E+07    0.85338E+04
    76    0.20865E+04    0.47848E+00   -0.10835E+02    0.52573E+07    0.84024E+04
    77    0.21147E+04    0.49445E+00   -0.11443E+02    0.52214E+07    0.82729E+04
    78    0.21434E+04    0.51061E+00   -0.12062E+02    0.51856E+07    0.81462E+04
    79    0.21723E+04    0.52684E+00   -0.12686E+02    0.51498E+07    0.80235E+04
    80    0.22016E+04    0.54310E+00   -0.13315E+02    0.51141E+07    0.79061E+04
    81    0.22312E+04    0.55931E+00   -0.13948E+02    0.50785E+07    0.77945E+04
    82    0.22613E+04    0.57551E+00   -0.14585E+02    0.50431E+07    0.76880E+04
    83    0.22916E+04    0.59171E+00   -0.15228E+02    0.50077E+07    0.75854E+04
    84    0.23223E+04    0.60794E+00   -0.15879E+02    0.49725E+07    0.74854E+04
    85    0.23532E+04    0.62421E+00   -0.16540E+02    0.49374E+07    0.73868E+04
    86    0.23844E+04    0.64054E+00   -0.17213E+02    0.49024E+07    0.72887E+04
    87    0.24160E+04    0.65690E+00   -0.17895E+02    0.48676E+07    0.71912E+04
    88    0.24477E+04    0.67328E+00   -0.18585E+02    0.48330E+07    0.70947E+04
    89    0.24798E+04    0.68962E+00   -0.19283E+02    0.47986E+07    0.69998E+04
    90    0.25122E+04    0.70588E+00   -0.19985E+02    0.47643E+07    0.69067E+04
    91    0.25448E+04    0.72201E+00   -0.20688E+02    0.47302E+07    0.68159E+04
    92    0.25778E+04    0.73801E+00   -0.21394E+02    0.46964E+07    0.67273E+04
    93    0.26111E+04    0.75385E+00   -0.22101E+02    0.46627E+07    0.66410E+04
    94    0.26446E+04    0.76950E+00   -0.22809E+02    0.46292E+07    0.65568E+04
    95    0.26783E+04    0.78497E+00   -0.23517E+02    0.45959E+07    0.64747E+04
    96    0.27122E+04    0.80022E+00   -0.24224E+02    0.45628E+07    0.63947E+04
    97    0.27465E+04    0.81526E+00   -0.24931E+02    0.45299E+07    0.63165E+04
    98    0.27811E+04    0.83007E+00   -0.25635E+02    0.44972E+07    0.62403E+04
    99    0.28158E+04    0.84460E+00   -0.26338E+02    0.44648E+07    0.61658E+04
   100    0.28508E+04    0.85887E+00   -0.27037E+02    0.44325E+07    0.60932E+04
   101    0.28860E+04    0.87292E+00   -0.27734E+02    0.44005E+07    0.60222E+04
   102    0.29217E+04    0.88662E+00   -0.28426E+02    0.43686E+07    0.59528E+04
   103    0.29574E+04    0.90002E+00   -0.29115E+02    0.43371E+07    0.58849E+04
   104    0.29933E+04    0.91314E+00   -0.29797E+02    0.43057E+07    0.58186E+04
   105    0.30294E+04    0.92588E+00   -0.30474E+02    0.42745E+07    0.57537E+04
   106    0.30658E+04    0.93834E+00   -0.31145E+02    0.42436E+07    0.56901E+04
   107    0.31021E+04    0.95036E+00   -0.31808E+02    0.42130E+07    0.56278E+04
   108    0.31387E+04    0.96200E+00   -0.32465E+02    0.41825E+07    0.55668E+04
   109    0.31755E+04    0.97320E+00   -0.33113E+02    0.41524E+07    0.55068E+04
   110    0.32124E+04    0.98396E+00   -0.33751E+02    0.41224E+07    0.54480E+04
   111    0.32494E+04    0.99434E+00   -0.34381E+02    0.40927E+07    0.53902E+04
   112    0.32866E+04    0.10043E+01   -0.35001E+02    0.40633E+07    0.53335E+04
   113    0.33239E+04    0.10138E+01   -0.35610E+02    0.40340E+07    0.52777E+04
   114    0.33614E+04    0.10228E+01   -0.36207E+02    0.40051E+07    0.52228E+04
   115    0.33990E+04    0.10314E+01   -0.36792E+02    0.39764E+07    0.51690E+04
   116    0.34366E+04    0.10394E+01   -0.37364E+02    0.39479E+07    0.51160E+04
   117    0.34745E+04    0.10469E+01   -0.37922E+02    0.39197E+07    0.50640E+04
   118    0.35125E+04    0.10541E+01   -0.38467E+02    0.38917E+07    0.50128E+04
   119    0.35505E+04    0.10607E+01   -0.38996E+02    0.38639E+07    0.49626E+04
   120    0.35886E+04    0.10667E+01   -0.39510E+02    0.38364E+07    0.49132E+04
   121    0.36266E+04    0.10724E+01   -0.40007E+02    0.38091E+07    0.48646E+04
   122    0.36647E+04    0.10774E+01   -0.40488E+02    0.37821E+07    0.48168E+04
