#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.15363E+04    0.18218E+00    0.00000E+00   -0.92190E+00    0.13371E-06    0.73435E-03   -0.96766E-06
    55    0.15582E+04    0.19307E+00    0.00000E+00   -0.12287E+01    0.13294E-06    0.72004E-03   -0.89352E-06
    56    0.15804E+04    0.20423E+00    0.00000E+00   -0.15459E+01    0.13216E-06    0.70631E-03   -0.81470E-06
    57    0.16030E+04    0.21554E+00    0.00000E+00   -0.18741E+01    0.13137E-06    0.69308E-03   -0.74087E-06
    58    0.16259E+04    0.22700E+00    0.00000E+00   -0.22152E+01    0.13057E-06    0.68028E-03   -0.68156E-06
    59    0.16491E+04    0.23863E+00    0.00000E+00   -0.25713E+01    0.12976E-06    0.66780E-03   -0.64627E-06
    60    0.16725E+04    0.25048E+00    0.00000E+00   -0.29429E+01    0.12895E-06    0.65558E-03   -0.64449E-06
    61    0.16964E+04    0.26264E+00    0.00000E+00   -0.33303E+01    0.12813E-06    0.64354E-03   -0.68161E-06
    62    0.17203E+04    0.27513E+00    0.00000E+00   -0.37337E+01    0.12731E-06    0.63172E-03   -0.74670E-06
    63    0.17444E+04    0.28794E+00    0.00000E+00   -0.41533E+01    0.12648E-06    0.62018E-03   -0.82474E-06
    64    0.17689E+04    0.30112E+00    0.00000E+00   -0.45895E+01    0.12565E-06    0.60896E-03   -0.90075E-06
    65    0.17935E+04    0.31467E+00    0.00000E+00   -0.50421E+01    0.12481E-06    0.59813E-03   -0.95977E-06
    66    0.18185E+04    0.32856E+00    0.00000E+00   -0.55086E+01    0.12398E-06    0.58772E-03   -0.99029E-06
    67    0.18437E+04    0.34274E+00    0.00000E+00   -0.59864E+01    0.12314E-06    0.57772E-03   -0.99450E-06
    68    0.18694E+04    0.35721E+00    0.00000E+00   -0.64743E+01    0.12231E-06    0.56810E-03   -0.97799E-06
    69    0.18955E+04    0.37185E+00    0.00000E+00   -0.69710E+01    0.12147E-06    0.55882E-03   -0.94638E-06
    70    0.19219E+04    0.38666E+00    0.00000E+00   -0.74785E+01    0.12063E-06    0.54985E-03   -0.90524E-06
    71    0.19487E+04    0.40160E+00    0.00000E+00   -0.79996E+01    0.11979E-06    0.54117E-03   -0.86034E-06
    72    0.19758E+04    0.41665E+00    0.00000E+00   -0.85360E+01    0.11896E-06    0.53272E-03   -0.81813E-06
    73    0.20031E+04    0.43182E+00    0.00000E+00   -0.90886E+01    0.11812E-06    0.52447E-03   -0.78525E-06
    74    0.20307E+04    0.44715E+00    0.00000E+00   -0.96568E+01    0.11729E-06    0.51635E-03   -0.76830E-06
    75    0.20585E+04    0.46270E+00    0.00000E+00   -0.10239E+02    0.11645E-06    0.50833E-03   -0.77391E-06
    76    0.20865E+04    0.47848E+00    0.00000E+00   -0.10835E+02    0.11562E-06    0.50037E-03   -0.80573E-06
    77    0.21147E+04    0.49445E+00    0.00000E+00   -0.11443E+02    0.11480E-06    0.49253E-03   -0.85567E-06
    78    0.21434E+04    0.51061E+00    0.00000E+00   -0.12062E+02    0.11397E-06    0.48487E-03   -0.91269E-06
    79    0.21723E+04    0.52684E+00    0.00000E+00   -0.12686E+02    0.11315E-06    0.47746E-03   -0.96577E-06
    80    0.22016E+04    0.54310E+00    0.00000E+00   -0.13315E+02    0.11233E-06    0.47036E-03   -0.10039E-05
    81    0.22312E+04    0.55931E+00    0.00000E+00   -0.13948E+02    0.11151E-06    0.46361E-03   -0.10190E-05
    82    0.22613E+04    0.57551E+00    0.00000E+00   -0.14585E+02    0.11070E-06    0.45718E-03   -0.10147E-05
    83    0.22916E+04    0.59171E+00    0.00000E+00   -0.15228E+02    0.10989E-06    0.45098E-03   -0.99755E-06
    84    0.23223E+04    0.60794E+00    0.00000E+00   -0.15879E+02    0.10909E-06    0.44494E-03   -0.97405E-06
