#           k/h    P           
    0.10000E-03    0.25019E+00
    0.10202E-03    0.25514E+00
    0.10408E-03    0.26018E+00
    0.10618E-03    0.26533E+00
    0.10833E-03    0.27057E+00
    0.11052E-03    0.27592E+00
    0.11275E-03    0.28138E+00
    0.11503E-03    0.28694E+00
    0.11735E-03    0.29261E+00
    0.11972E-03    0.29839E+00
    0.12214E-03    0.30429E+00
    0.12461E-03    0.31031E+00
    0.12712E-03    0.31644E+00
    0.12969E-03    0.32270E+00
    0.13231E-03    0.32908E+00
    0.13499E-03    0.33558E+00
    0.13771E-03    0.34221E+00
    0.14049E-03    0.34898E+00
    0.14333E-03    0.35588E+00
    0.14623E-03    0.36291E+00
    0.14918E-03    0.37008E+00
    0.15220E-03    0.37740E+00
    0.15527E-03    0.38486E+00
    0.15841E-03    0.39246E+00
    0.16161E-03    0.40022E+00
    0.16487E-03    0.40813E+00
    0.16820E-03    0.41620E+00
    0.17160E-03    0.42442E+00
    0.17507E-03    0.43281E+00
    0.17860E-03    0.44136E+00
    0.18221E-03    0.45008E+00
    0.18589E-03    0.45898E+00
    0.18965E-03    0.46805E+00
    0.19348E-03    0.47730E+00
    0.19739E-03    0.48673E+00
    0.20138E-03    0.49634E+00
    0.20544E-03    0.50615E+00
    0.20959E-03    0.51615E+00
    0.21383E-03    0.52635E+00
    0.21815E-03    0.53675E+00
    0.22255E-03    0.54735E+00
    0.22705E-03    0.55817E+00
    0.23164E-03    0.56919E+00
    0.23632E-03    0.58044E+00
    0.24109E-03    0.59190E+00
    0.24596E-03    0.60359E+00
    0.25093E-03    0.61551E+00
    0.25600E-03    0.62767E+00
    0.26117E-03    0.64007E+00
    0.26645E-03    0.65271E+00
    0.27183E-03    0.66560E+00
    0.27732E-03    0.67874E+00
    0.28292E-03    0.69214E+00
    0.28864E-03    0.70581E+00
    0.29447E-03    0.71974E+00
    0.30042E-03    0.73395E+00
    0.30649E-03    0.74844E+00
    0.31268E-03    0.76322E+00
    0.31899E-03    0.77828E+00
    0.32544E-03    0.79364E+00
    0.33201E-03    0.80931E+00
    0.33872E-03    0.82528E+00
    0.34556E-03    0.84156E+00
    0.35254E-03    0.85816E+00
    0.35966E-03    0.87510E+00
    0.36693E-03    0.89236E+00
    0.37434E-03    0.90996E+00
    0.38190E-03    0.92791E+00
    0.38962E-03    0.94621E+00
    0.39749E-03    0.96487E+00
    0.40552E-03    0.98389E+00
    0.41371E-03    0.10033E+01
    0.42207E-03    0.10231E+01
    0.43060E-03    0.10432E+01
    0.43929E-03    0.10638E+01
    0.44817E-03    0.10847E+01
    0.45722E-03    0.11061E+01
    0.46646E-03    0.11279E+01
    0.47588E-03    0.11501E+01
    0.48550E-03    0.11728E+01
    0.49530E-03    0.11959E+01
    0.50531E-03    0.12194E+01
    0.51552E-03    0.12434E+01
    0.52593E-03    0.12679E+01
    0.53656E-03    0.12928E+01
    0.54739E-03    0.13183E+01
    0.55845E-03    0.13442E+01
    0.56973E-03    0.13706E+01
    0.58124E-03    0.13976E+01
    0.59299E-03    0.14250E+01
    0.60496E-03    0.14530E+01
    0.61719E-03    0.14816E+01
    0.62965E-03    0.15107E+01
    0.64237E-03    0.15403E+01
    0.65535E-03    0.15705E+01
    0.66859E-03    0.16014E+01
    0.68210E-03    0.16328E+01
    0.69588E-03    0.16648E+01
    0.70993E-03    0.16974E+01
    0.72427E-03    0.17307E+01
    0.73891E-03    0.17646E+01
    0.75383E-03    0.17991E+01
    0.76906E-03    0.18343E+01
    0.78460E-03    0.18702E+01
    0.80045E-03    0.19068E+01
    0.81662E-03    0.19441E+01
    0.83311E-03    0.19821E+01
    0.84994E-03    0.20208E+01
    0.86711E-03    0.20602E+01
    0.88463E-03    0.21004E+01
    0.90250E-03    0.21414E+01
    0.92073E-03    0.21831E+01
    0.93933E-03    0.22256E+01
    0.95831E-03    0.22689E+01
    0.97767E-03    0.23130E+01
    0.99742E-03    0.23580E+01
    0.10176E-02    0.24038E+01
    0.10381E-02    0.24505E+01
    0.10591E-02    0.24980E+01
    0.10805E-02    0.25464E+01
    0.11023E-02    0.25957E+01
    0.11246E-02    0.26459E+01
    0.11473E-02    0.26971E+01
    0.11705E-02    0.27491E+01
    0.11941E-02    0.28022E+01
    0.12182E-02    0.28562E+01
    0.12429E-02    0.29112E+01
    0.12680E-02    0.29672E+01
    0.12936E-02    0.30242E+01
    0.13197E-02    0.30822E+01
    0.13464E-02    0.31413E+01
    0.13736E-02    0.32014E+01
    0.14013E-02    0.32626E+01
    0.14296E-02    0.33249E+01
    0.14585E-02    0.33883E+01
    0.14880E-02    0.34528E+01
    0.15180E-02    0.35184E+01
    0.15487E-02    0.35852E+01
    0.15800E-02    0.36531E+01
    0.16119E-02    0.37222E+01
    0.16445E-02    0.37925E+01
    0.16777E-02    0.38639E+01
    0.17116E-02    0.39366E+01
    0.17462E-02    0.40105E+01
    0.17814E-02    0.40856E+01
    0.18174E-02    0.41619E+01
    0.18541E-02    0.42395E+01
    0.18916E-02    0.43184E+01
    0.19298E-02    0.43985E+01
    0.19688E-02    0.44799E+01
    0.20086E-02    0.45626E+01
    0.20491E-02    0.46466E+01
    0.20905E-02    0.47318E+01
    0.21328E-02    0.48184E+01
    0.21758E-02    0.49063E+01
    0.22198E-02    0.49955E+01
    0.22646E-02    0.50860E+01
    0.23104E-02    0.51779E+01
    0.23571E-02    0.52710E+01
    0.24047E-02    0.53655E+01
    0.24533E-02    0.54613E+01
    0.25028E-02    0.55584E+01
    0.25534E-02    0.56567E+01
    0.26050E-02    0.57564E+01
    0.26576E-02    0.58574E+01
    0.27113E-02    0.59597E+01
    0.27660E-02    0.60632E+01
    0.28219E-02    0.61680E+01
    0.28789E-02    0.62740E+01
    0.29371E-02    0.63812E+01
    0.29964E-02    0.64896E+01
    0.30569E-02    0.65992E+01
    0.31187E-02    0.67100E+01
    0.31817E-02    0.68218E+01
    0.32460E-02    0.69348E+01
    0.33115E-02    0.70488E+01
    0.33784E-02    0.71639E+01
    0.34467E-02    0.72799E+01
    0.35163E-02    0.73969E+01
    0.35874E-02    0.75147E+01
    0.36598E-02    0.76334E+01
    0.37338E-02    0.77530E+01
    0.38092E-02    0.78732E+01
    0.38861E-02    0.79942E+01
    0.39646E-02    0.81157E+01
    0.40447E-02    0.82379E+01
    0.41264E-02    0.83605E+01
    0.42098E-02    0.84836E+01
    0.42948E-02    0.86070E+01
    0.43816E-02    0.87306E+01
    0.44701E-02    0.88545E+01
    0.45604E-02    0.89784E+01
    0.46525E-02    0.91024E+01
    0.47465E-02    0.92262E+01
    0.48424E-02    0.93499E+01
    0.49402E-02    0.94732E+01
    0.50400E-02    0.95962E+01
    0.51419E-02    0.97186E+01
    0.52457E-02    0.98404E+01
    0.53517E-02    0.99615E+01
    0.54598E-02    0.10082E+02
    0.55701E-02    0.10201E+02
    0.56826E-02    0.10319E+02
    0.57974E-02    0.10436E+02
    0.59145E-02    0.10551E+02
    0.60340E-02    0.10665E+02
    0.61559E-02    0.10777E+02
    0.62803E-02    0.10887E+02
    0.64072E-02    0.10995E+02
    0.65366E-02    0.11101E+02
    0.66686E-02    0.11205E+02
    0.68033E-02    0.11306E+02
    0.69408E-02    0.11405E+02
    0.70810E-02    0.11501E+02
    0.72240E-02    0.11593E+02
    0.73700E-02    0.11683E+02
    0.75189E-02    0.11769E+02
    0.76708E-02    0.11851E+02
    0.78257E-02    0.11930E+02
    0.79838E-02    0.12005E+02
    0.81451E-02    0.12076E+02
    0.83096E-02    0.12142E+02
    0.84775E-02    0.12204E+02
    0.86488E-02    0.12262E+02
    0.88235E-02    0.12314E+02
    0.90017E-02    0.12361E+02
    0.91836E-02    0.12404E+02
    0.93691E-02    0.12441E+02
    0.95583E-02    0.12472E+02
    0.97514E-02    0.12498E+02
    0.99484E-02    0.12518E+02
    0.10149E-01    0.12532E+02
    0.10354E-01    0.12539E+02
    0.10564E-01    0.12541E+02
    0.10777E-01    0.12536E+02
    0.10995E-01    0.12525E+02
    0.11217E-01    0.12507E+02
    0.11443E-01    0.12483E+02
    0.11675E-01    0.12451E+02
    0.11910E-01    0.12414E+02
    0.12151E-01    0.12369E+02
    0.12397E-01    0.12318E+02
    0.12647E-01    0.12259E+02
    0.12902E-01    0.12194E+02
    0.13163E-01    0.12122E+02
    0.13429E-01    0.12044E+02
    0.13700E-01    0.11959E+02
    0.13977E-01    0.11867E+02
    0.14259E-01    0.11768E+02
    0.14547E-01    0.11663E+02
    0.14841E-01    0.11552E+02
    0.15141E-01    0.11434E+02
    0.15447E-01    0.11311E+02
    0.15759E-01    0.11181E+02
    0.16077E-01    0.11046E+02
    0.16402E-01    0.10904E+02
    0.16734E-01    0.10758E+02
    0.17072E-01    0.10606E+02
    0.17416E-01    0.10449E+02
    0.17768E-01    0.10287E+02
    0.18127E-01    0.10121E+02
    0.18493E-01    0.99497E+01
    0.18867E-01    0.97746E+01
    0.19248E-01    0.95956E+01
    0.19637E-01    0.94129E+01
    0.20034E-01    0.92267E+01
    0.20438E-01    0.90374E+01
    0.20851E-01    0.88451E+01
    0.21272E-01    0.86502E+01
    0.21702E-01    0.84529E+01
    0.22141E-01    0.82536E+01
    0.22588E-01    0.80525E+01
    0.23044E-01    0.78500E+01
    0.23510E-01    0.76464E+01
    0.23985E-01    0.74420E+01
    0.24469E-01    0.72371E+01
    0.24964E-01    0.70321E+01
    0.25468E-01    0.68273E+01
    0.25982E-01    0.66230E+01
    0.26507E-01    0.64196E+01
    0.27043E-01    0.62175E+01
    0.27589E-01    0.60169E+01
    0.28146E-01    0.58182E+01
    0.28715E-01    0.56217E+01
    0.29295E-01    0.54276E+01
    0.29887E-01    0.52364E+01
    0.30490E-01    0.50481E+01
    0.31106E-01    0.48631E+01
    0.31735E-01    0.46817E+01
    0.32376E-01    0.45039E+01
    0.33030E-01    0.43300E+01
    0.33697E-01    0.41601E+01
    0.34378E-01    0.39945E+01
    0.35072E-01    0.38333E+01
    0.35781E-01    0.36765E+01
    0.36504E-01    0.35244E+01
    0.37241E-01    0.33771E+01
    0.37993E-01    0.32347E+01
    0.38761E-01    0.30973E+01
    0.39544E-01    0.29650E+01
    0.40343E-01    0.28380E+01
    0.41158E-01    0.27162E+01
    0.41989E-01    0.25997E+01
    0.42838E-01    0.24885E+01
    0.43703E-01    0.23825E+01
    0.44586E-01    0.22816E+01
    0.45486E-01    0.21855E+01
    0.46405E-01    0.20941E+01
    0.47343E-01    0.20071E+01
    0.48299E-01    0.19241E+01
    0.49275E-01    0.18449E+01
    0.50270E-01    0.17691E+01
    0.51286E-01    0.16964E+01
    0.52322E-01    0.16267E+01
    0.53379E-01    0.15595E+01
    0.54457E-01    0.14948E+01
    0.55557E-01    0.14324E+01
    0.56680E-01    0.13721E+01
    0.57825E-01    0.13138E+01
    0.58993E-01    0.12572E+01
    0.60184E-01    0.12023E+01
    0.61400E-01    0.11489E+01
    0.62641E-01    0.10969E+01
    0.63906E-01    0.10460E+01
    0.65197E-01    0.99619E+00
    0.66514E-01    0.94734E+00
    0.67858E-01    0.89940E+00
    0.69229E-01    0.85236E+00
    0.70627E-01    0.80627E+00
    0.72054E-01    0.76116E+00
    0.73510E-01    0.71710E+00
    0.74994E-01    0.67410E+00
    0.76509E-01    0.63235E+00
    0.78055E-01    0.59190E+00
    0.79632E-01    0.55287E+00
    0.81241E-01    0.51540E+00
    0.82882E-01    0.47967E+00
    0.84556E-01    0.44583E+00
    0.86264E-01    0.41400E+00
    0.88007E-01    0.38425E+00
    0.89785E-01    0.35658E+00
    0.91598E-01    0.33096E+00
    0.93449E-01    0.30734E+00
    0.95337E-01    0.28568E+00
    0.97263E-01    0.26598E+00
    0.99227E-01    0.24817E+00
    0.10123E+00    0.23216E+00
    0.10328E+00    0.21776E+00
    0.10536E+00    0.20474E+00
    0.10749E+00    0.19281E+00
    0.10966E+00    0.18173E+00
    0.11188E+00    0.17134E+00
    0.11414E+00    0.16151E+00
    0.11644E+00    0.15218E+00
    0.11880E+00    0.14324E+00
