#    L    TT             EE             BB             TE          
    91    0.23726E+04    0.65702E+00    0.27355E-02   -0.17470E+02
    92    0.24012E+04    0.67291E+00    0.27958E-02   -0.18113E+02
    93    0.24301E+04    0.68876E+00    0.28568E-02   -0.18761E+02
    94    0.24591E+04    0.70453E+00    0.29185E-02   -0.19412E+02
    95    0.24883E+04    0.72024E+00    0.29810E-02   -0.20068E+02
    96    0.25176E+04    0.73585E+00    0.30441E-02   -0.20727E+02
    97    0.25473E+04    0.75135E+00    0.31079E-02   -0.21389E+02
    98    0.25773E+04    0.76675E+00    0.31725E-02   -0.22052E+02
    99    0.26073E+04    0.78199E+00    0.32377E-02   -0.22718E+02
   100    0.26376E+04    0.79709E+00    0.33037E-02   -0.23383E+02
   101    0.26681E+04    0.81209E+00    0.33705E-02   -0.24050E+02
   102    0.26990E+04    0.82686E+00    0.34379E-02   -0.24717E+02
   103    0.27300E+04    0.84146E+00    0.35061E-02   -0.25384E+02
   104    0.27611E+04    0.85590E+00    0.35749E-02   -0.26049E+02
   105    0.27924E+04    0.87010E+00    0.36446E-02   -0.26713E+02
   106    0.28239E+04    0.88413E+00    0.37149E-02   -0.27375E+02
   107    0.28553E+04    0.89786E+00    0.37859E-02   -0.28034E+02
   108    0.28871E+04    0.91134E+00    0.38577E-02   -0.28691E+02
   109    0.29191E+04    0.92451E+00    0.39302E-02   -0.29344E+02
   110    0.29511E+04    0.93737E+00    0.40035E-02   -0.29991E+02
   111    0.29833E+04    0.94999E+00    0.40775E-02   -0.30635E+02
   112    0.30156E+04    0.96229E+00    0.41523E-02   -0.31273E+02
   113    0.30481E+04    0.97429E+00    0.42279E-02   -0.31906E+02
   114    0.30807E+04    0.98589E+00    0.43043E-02   -0.32531E+02
   115    0.31136E+04    0.99726E+00    0.43814E-02   -0.33150E+02
   116    0.31464E+04    0.10082E+01    0.44594E-02   -0.33761E+02
   117    0.31795E+04    0.10187E+01    0.45382E-02   -0.34363E+02
   118    0.32128E+04    0.10289E+01    0.46178E-02   -0.34958E+02
   119    0.32460E+04    0.10388E+01    0.46983E-02   -0.35542E+02
   120    0.32795E+04    0.10482E+01    0.47796E-02   -0.36117E+02
   121    0.33129E+04    0.10572E+01    0.48618E-02   -0.36681E+02
   122    0.33463E+04    0.10658E+01    0.49448E-02   -0.37235E+02
   123    0.33799E+04    0.10739E+01    0.50287E-02   -0.37777E+02
   124    0.34135E+04    0.10816E+01    0.51134E-02   -0.38306E+02
   125    0.34471E+04    0.10888E+01    0.51990E-02   -0.38823E+02
   126    0.34808E+04    0.10956E+01    0.52854E-02   -0.39327E+02
   127    0.35145E+04    0.11019E+01    0.53727E-02   -0.39819E+02
   128    0.35482E+04    0.11078E+01    0.54609E-02   -0.40296E+02
   129    0.35819E+04    0.11132E+01    0.55499E-02   -0.40758E+02
   130    0.36157E+04    0.11180E+01    0.56398E-02   -0.41205E+02
   131    0.36494E+04    0.11224E+01    0.57306E-02   -0.41638E+02
   132    0.36832E+04    0.11263E+01    0.58223E-02   -0.42054E+02
   133    0.37170E+04    0.11297E+01    0.59149E-02   -0.42455E+02
   134    0.37507E+04    0.11326E+01    0.60084E-02   -0.42836E+02
   135    0.37844E+04    0.11350E+01    0.61028E-02   -0.43202E+02
   136    0.38180E+04    0.11368E+01    0.61982E-02   -0.43547E+02
   137    0.38516E+04    0.11382E+01    0.62945E-02   -0.43875E+02
   138    0.38850E+04    0.11390E+01    0.63918E-02   -0.44184E+02
   139    0.39183E+04    0.11394E+01    0.64900E-02   -0.44472E+02
   140    0.39516E+04    0.11393E+01    0.65893E-02   -0.44742E+02
   141    0.39847E+04    0.11385E+01    0.66895E-02   -0.44990E+02
   142    0.40177E+04    0.11373E+01    0.67907E-02   -0.45218E+02
   143    0.40507E+04    0.11357E+01    0.68930E-02   -0.45425E+02
   144    0.40835E+04    0.11335E+01    0.69962E-02   -0.45610E+02
   145    0.41161E+04    0.11309E+01    0.71004E-02   -0.45774E+02
   146    0.41487E+04    0.11277E+01    0.72056E-02   -0.45915E+02
   147    0.41810E+04    0.11241E+01    0.73117E-02   -0.46033E+02
   148    0.42131E+04    0.11199E+01    0.74189E-02   -0.46129E+02
   149    0.42451E+04    0.11153E+01    0.75271E-02   -0.46201E+02
