#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.921159E-05   0.177751E+08   0.177751E+08   0.236907E+08   0.236904E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.437492E+01
   0.952377E-05   0.177751E+08   0.177751E+08   0.236900E+08   0.236897E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.452315E+01
   0.984654E-05   0.177751E+08   0.177751E+08   0.236893E+08   0.236890E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.467641E+01
   0.101802E-04   0.177751E+08   0.177751E+08   0.236886E+08   0.236883E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.483485E+01
   0.105253E-04   0.177751E+08   0.177751E+08   0.236878E+08   0.236874E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.499866E+01
   0.108820E-04   0.177751E+08   0.177751E+08   0.236869E+08   0.236866E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.516802E+01
   0.112507E-04   0.177751E+08   0.177751E+08   0.236860E+08   0.236856E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.534311E+01
   0.116320E-04   0.177751E+08   0.177751E+08   0.236851E+08   0.236846E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473690E+00   0.941226E+07   0.941226E+07   0.552413E+01
   0.120263E-04   0.177751E+08   0.177751E+08   0.236840E+08   0.236835E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473689E+00   0.941226E+07   0.941226E+07   0.571128E+01
   0.124338E-04   0.177751E+08   0.177751E+08   0.236829E+08   0.236824E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.590476E+01
   0.128552E-04   0.177751E+08   0.177751E+08   0.236817E+08   0.236812E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.610479E+01
   0.132909E-04   0.177751E+08   0.177751E+08   0.236805E+08   0.236799E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.631159E+01
   0.137413E-04   0.177751E+08   0.177751E+08   0.236791E+08   0.236785E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.652540E+01
   0.142070E-04   0.177751E+08   0.177751E+08   0.236776E+08   0.236770E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177813E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.674643E+01
   0.146885E-04   0.177751E+08   0.177751E+08   0.236761E+08   0.236754E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.697495E+01
   0.151863E-04   0.177751E+08   0.177751E+08   0.236744E+08   0.236737E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473689E+00   0.941225E+07   0.941225E+07   0.721120E+01
