#    L    TT             EE             BB             TE             PP             TP             EP          
    55    0.14030E+04    0.19392E+00    0.00000E+00   -0.38708E+00    0.16054E-06    0.74310E-03   -0.14489E-05
    56    0.14202E+04    0.20510E+00    0.00000E+00   -0.66813E+00    0.15976E-06    0.72904E-03   -0.14204E-05
    57    0.14376E+04    0.21651E+00    0.00000E+00   -0.96446E+00    0.15897E-06    0.71542E-03   -0.13655E-05
    58    0.14553E+04    0.22813E+00    0.00000E+00   -0.12751E+01    0.15816E-06    0.70220E-03   -0.12977E-05
    59    0.14732E+04    0.23997E+00    0.00000E+00   -0.15993E+01    0.15733E-06    0.68933E-03   -0.12305E-05
    60    0.14912E+04    0.25206E+00    0.00000E+00   -0.19345E+01    0.15650E-06    0.67678E-03   -0.11775E-05
    61    0.15097E+04    0.26446E+00    0.00000E+00   -0.22788E+01    0.15565E-06    0.66452E-03   -0.11491E-05
    62    0.15282E+04    0.27718E+00    0.00000E+00   -0.26340E+01    0.15478E-06    0.65256E-03   -0.11440E-05
    63    0.15468E+04    0.29020E+00    0.00000E+00   -0.30025E+01    0.15391E-06    0.64091E-03   -0.11575E-05
    64    0.15658E+04    0.30355E+00    0.00000E+00   -0.33866E+01    0.15303E-06    0.62958E-03   -0.11854E-05
    65    0.15848E+04    0.31723E+00    0.00000E+00   -0.37885E+01    0.15215E-06    0.61861E-03   -0.12231E-05
    66    0.16040E+04    0.33119E+00    0.00000E+00   -0.42073E+01    0.15125E-06    0.60798E-03   -0.12663E-05
    67    0.16235E+04    0.34540E+00    0.00000E+00   -0.46399E+01    0.15035E-06    0.59769E-03   -0.13101E-05
    68    0.16433E+04    0.35989E+00    0.00000E+00   -0.50840E+01    0.14944E-06    0.58768E-03   -0.13500E-05
    69    0.16634E+04    0.37457E+00    0.00000E+00   -0.55373E+01    0.14852E-06    0.57794E-03   -0.13811E-05
    70    0.16839E+04    0.38946E+00    0.00000E+00   -0.60008E+01    0.14760E-06    0.56841E-03   -0.13989E-05
    71    0.17047E+04    0.40452E+00    0.00000E+00   -0.64764E+01    0.14668E-06    0.55908E-03   -0.14001E-05
    72    0.17256E+04    0.41976E+00    0.00000E+00   -0.69653E+01    0.14575E-06    0.54994E-03   -0.13881E-05
    73    0.17468E+04    0.43513E+00    0.00000E+00   -0.74681E+01    0.14482E-06    0.54101E-03   -0.13675E-05
    74    0.17682E+04    0.45067E+00    0.00000E+00   -0.79838E+01    0.14389E-06    0.53227E-03   -0.13432E-05
    75    0.17898E+04    0.46639E+00    0.00000E+00   -0.85110E+01    0.14295E-06    0.52375E-03   -0.13201E-05
    76    0.18116E+04    0.48231E+00    0.00000E+00   -0.90488E+01    0.14201E-06    0.51544E-03   -0.13020E-05
    77    0.18337E+04    0.49840E+00    0.00000E+00   -0.95969E+01    0.14108E-06    0.50735E-03   -0.12895E-05
    78    0.18561E+04    0.51466E+00    0.00000E+00   -0.10156E+02    0.14014E-06    0.49946E-03   -0.12825E-05
    79    0.18787E+04    0.53102E+00    0.00000E+00   -0.10722E+02    0.13920E-06    0.49179E-03   -0.12806E-05
