#    L    TT             EE             TE             PP             TP          
    75    0.19458E+04    0.40785E+00   -0.81584E+01    0.62089E+07    0.95359E+04
    76    0.19704E+04    0.42240E+00   -0.86716E+01    0.61774E+07    0.93922E+04
    77    0.19953E+04    0.43713E+00   -0.91916E+01    0.61457E+07    0.92539E+04
    78    0.20205E+04    0.45206E+00   -0.97216E+01    0.61139E+07    0.91199E+04
    79    0.20459E+04    0.46713E+00   -0.10260E+02    0.60820E+07    0.89893E+04
    80    0.20716E+04    0.48234E+00   -0.10810E+02    0.60501E+07    0.88613E+04
    81    0.20975E+04    0.49762E+00   -0.11373E+02    0.60181E+07    0.87351E+04
    82    0.21237E+04    0.51302E+00   -0.11948E+02    0.59860E+07    0.86108E+04
    83    0.21501E+04    0.52850E+00   -0.12534E+02    0.59540E+07    0.84884E+04
    84    0.21768E+04    0.54408E+00   -0.13129E+02    0.59219E+07    0.83682E+04
    85    0.22037E+04    0.55973E+00   -0.13731E+02    0.58898E+07    0.82504E+04
    86    0.22307E+04    0.57546E+00   -0.14340E+02    0.58577E+07    0.81352E+04
    87    0.22583E+04    0.59126E+00   -0.14955E+02    0.58257E+07    0.80225E+04
    88    0.22858E+04    0.60712E+00   -0.15576E+02    0.57937E+07    0.79122E+04
    89    0.23137E+04    0.62302E+00   -0.16204E+02    0.57617E+07    0.78043E+04
    90    0.23418E+04    0.63892E+00   -0.16838E+02    0.57298E+07    0.76988E+04
    91    0.23701E+04    0.65480E+00   -0.17477E+02    0.56980E+07    0.75955E+04
    92    0.23986E+04    0.67066E+00   -0.18121E+02    0.56662E+07    0.74944E+04
    93    0.24275E+04    0.68648E+00   -0.18770E+02    0.56345E+07    0.73954E+04
    94    0.24564E+04    0.70222E+00   -0.19422E+02    0.56028E+07    0.72985E+04
    95    0.24857E+04    0.71788E+00   -0.20079E+02    0.55713E+07    0.72037E+04
    96    0.25149E+04    0.73346E+00   -0.20740E+02    0.55398E+07    0.71109E+04
    97    0.25446E+04    0.74893E+00   -0.21403E+02    0.55085E+07    0.70200E+04
    98    0.25746E+04    0.76429E+00   -0.22067E+02    0.54772E+07    0.69311E+04
    99    0.26046E+04    0.77950E+00   -0.22734E+02    0.54461E+07    0.68439E+04
   100    0.26349E+04    0.79456E+00   -0.23400E+02    0.54150E+07    0.67586E+04
   101    0.26653E+04    0.80953E+00   -0.24069E+02    0.53841E+07    0.66751E+04
   102    0.26963E+04    0.82426E+00   -0.24737E+02    0.53533E+07    0.65932E+04
   103    0.27272E+04    0.83883E+00   -0.25406E+02    0.53226E+07    0.65130E+04
   104    0.27583E+04    0.85323E+00   -0.26073E+02    0.52921E+07    0.64344E+04
   105    0.27896E+04    0.86740E+00   -0.26739E+02    0.52617E+07    0.63573E+04
   106    0.28211E+04    0.88140E+00   -0.27403E+02    0.52314E+07    0.62818E+04
   107    0.28526E+04    0.89508E+00   -0.28064E+02    0.52013E+07    0.62077E+04
   108    0.28844E+04    0.90853E+00   -0.28722E+02    0.51713E+07    0.61350E+04
   109    0.29163E+04    0.92166E+00   -0.29377E+02    0.51415E+07    0.60637E+04
   110    0.29483E+04    0.93448E+00   -0.30026E+02    0.51119E+07    0.59937E+04
   111    0.29805E+04    0.94706E+00   -0.30672E+02    0.50824E+07    0.59249E+04
   112    0.30128E+04    0.95933E+00   -0.31313E+02    0.50531E+07    0.58574E+04
   113    0.30454E+04    0.97128E+00   -0.31948E+02    0.50240E+07    0.57911E+04
   114    0.30780E+04    0.98284E+00   -0.32576E+02    0.49950E+07    0.57259E+04
   115    0.31108E+04    0.99416E+00   -0.33197E+02    0.49662E+07    0.56620E+04
   116    0.31437E+04    0.10050E+01   -0.33810E+02    0.49376E+07    0.55991E+04
   117    0.31768E+04    0.10155E+01   -0.34415E+02    0.49091E+07    0.55374E+04
   118    0.32101E+04    0.10257E+01   -0.35012E+02    0.48809E+07    0.54767E+04
   119    0.32434E+04    0.10355E+01   -0.35599E+02    0.48528E+07    0.54171E+04
   120    0.32769E+04    0.10448E+01   -0.36176E+02    0.48249E+07    0.53586E+04
   121    0.33103E+04    0.10539E+01   -0.36743E+02    0.47971E+07    0.53010E+04
   122    0.33438E+04    0.10624E+01   -0.37299E+02    0.47696E+07    0.52444E+04
   123    0.33774E+04    0.10704E+01   -0.37845E+02    0.47422E+07    0.51888E+04
   124    0.34110E+04    0.10780E+01   -0.38376E+02    0.47150E+07    0.51341E+04
   125    0.34447E+04    0.10852E+01   -0.38896E+02    0.46879E+07    0.50803E+04
   126    0.34784E+04    0.10920E+01   -0.39404E+02    0.46611E+07    0.50274E+04
   127    0.35122E+04    0.10982E+01   -0.39898E+02    0.46344E+07    0.49754E+04
   128    0.35459E+04    0.11040E+01   -0.40378E+02    0.46079E+07    0.49242E+04
   129    0.35797E+04    0.11093E+01   -0.40844E+02    0.45816E+07    0.48738E+04
   130    0.36135E+04    0.11140E+01   -0.41294E+02    0.45554E+07    0.48241E+04
   131    0.36473E+04    0.11184E+01   -0.41730E+02    0.45295E+07    0.47753E+04
   132    0.36811E+04    0.11222E+01   -0.42149E+02    0.45037E+07    0.47272E+04
   133    0.37149E+04    0.11255E+01   -0.42553E+02    0.44781E+07    0.46798E+04
   134    0.37487E+04    0.11283E+01   -0.42938E+02    0.44527E+07    0.46331E+04
   135    0.37825E+04    0.11306E+01   -0.43307E+02    0.44275E+07    0.45871E+04
