#    L    TT             EE             BB             TE          
    91    0.21738E+04    0.72990E+00    0.17307E-02   -0.18099E+02
    92    0.22000E+04    0.74609E+00    0.17687E-02   -0.18750E+02
    93    0.22265E+04    0.76214E+00    0.18072E-02   -0.19403E+02
    94    0.22532E+04    0.77801E+00    0.18461E-02   -0.20057E+02
    95    0.22801E+04    0.79370E+00    0.18854E-02   -0.20713E+02
    96    0.23071E+04    0.80920E+00    0.19253E-02   -0.21370E+02
    97    0.23345E+04    0.82448E+00    0.19656E-02   -0.22027E+02
    98    0.23622E+04    0.83954E+00    0.20064E-02   -0.22682E+02
    99    0.23900E+04    0.85434E+00    0.20477E-02   -0.23338E+02
   100    0.24181E+04    0.86888E+00    0.20895E-02   -0.23990E+02
   101    0.24464E+04    0.88320E+00    0.21318E-02   -0.24641E+02
   102    0.24752E+04    0.89717E+00    0.21746E-02   -0.25289E+02
   103    0.25039E+04    0.91085E+00    0.22179E-02   -0.25935E+02
   104    0.25329E+04    0.92425E+00    0.22617E-02   -0.26575E+02
   105    0.25621E+04    0.93728E+00    0.23060E-02   -0.27211E+02
   106    0.25914E+04    0.95002E+00    0.23509E-02   -0.27842E+02
   107    0.26207E+04    0.96232E+00    0.23962E-02   -0.28467E+02
   108    0.26504E+04    0.97424E+00    0.24421E-02   -0.29086E+02
   109    0.26803E+04    0.98572E+00    0.24885E-02   -0.29698E+02
   110    0.27102E+04    0.99675E+00    0.25355E-02   -0.30301E+02
   111    0.27403E+04    0.10074E+01    0.25830E-02   -0.30896E+02
   112    0.27705E+04    0.10176E+01    0.26311E-02   -0.31483E+02
   113    0.28010E+04    0.10274E+01    0.26798E-02   -0.32061E+02
   114    0.28315E+04    0.10366E+01    0.27290E-02   -0.32627E+02
   115    0.28623E+04    0.10455E+01    0.27789E-02   -0.33183E+02
   116    0.28930E+04    0.10537E+01    0.28293E-02   -0.33728E+02
   117    0.29240E+04    0.10615E+01    0.28804E-02   -0.34260E+02
   118    0.29552E+04    0.10689E+01    0.29321E-02   -0.34780E+02
   119    0.29863E+04    0.10758E+01    0.29844E-02   -0.35287E+02
   120    0.30176E+04    0.10820E+01    0.30374E-02   -0.35779E+02
   121    0.30489E+04    0.10879E+01    0.30910E-02   -0.36257E+02
   122    0.30802E+04    0.10931E+01    0.31453E-02   -0.36720E+02
   123    0.31115E+04    0.10977E+01    0.32002E-02   -0.37168E+02
   124    0.31430E+04    0.11019E+01    0.32558E-02   -0.37598E+02
   125    0.31743E+04    0.11055E+01    0.33121E-02   -0.38011E+02
   126    0.32058E+04    0.11085E+01    0.33690E-02   -0.38408E+02
   127    0.32372E+04    0.11110E+01    0.34267E-02   -0.38788E+02
   128    0.32686E+04    0.11129E+01    0.34850E-02   -0.39148E+02
   129    0.33000E+04    0.11142E+01    0.35440E-02   -0.39490E+02
   130    0.33314E+04    0.11148E+01    0.36038E-02   -0.39811E+02
   131    0.33627E+04    0.11150E+01    0.36642E-02   -0.40113E+02
   132    0.33941E+04    0.11146E+01    0.37254E-02   -0.40394E+02
   133    0.34254E+04    0.11136E+01    0.37873E-02   -0.40656E+02
   134    0.34566E+04    0.11120E+01    0.38499E-02   -0.40894E+02
   135    0.34877E+04    0.11099E+01    0.39133E-02   -0.41111E+02
   136    0.35187E+04    0.11072E+01    0.39774E-02   -0.41304E+02
   137    0.35496E+04    0.11039E+01    0.40423E-02   -0.41474E+02
   138    0.35804E+04    0.11001E+01    0.41080E-02   -0.41622E+02
   139    0.36109E+04    0.10959E+01    0.41744E-02   -0.41745E+02
   140    0.36415E+04    0.10910E+01    0.42417E-02   -0.41845E+02
   141    0.36717E+04    0.10856E+01    0.43097E-02   -0.41919E+02
   142    0.37019E+04    0.10797E+01    0.43786E-02   -0.41968E+02
   143    0.37319E+04    0.10734E+01    0.44483E-02   -0.41993E+02
   144    0.37616E+04    0.10665E+01    0.45187E-02   -0.41993E+02
   145    0.37912E+04    0.10593E+01    0.45900E-02   -0.41967E+02
   146    0.38207E+04    0.10515E+01    0.46621E-02   -0.41914E+02
   147    0.38498E+04    0.10433E+01    0.47350E-02   -0.41835E+02
   148    0.38786E+04    0.10347E+01    0.48087E-02   -0.41729E+02
   149    0.39073E+04    0.10256E+01    0.48833E-02   -0.41597E+02
   150    0.39357E+04    0.10163E+01    0.49587E-02   -0.41435E+02
   151    0.39638E+04    0.10065E+01    0.50348E-02   -0.41246E+02
   152    0.39915E+04    0.99629E+00    0.51118E-02   -0.41031E+02
   153    0.40190E+04    0.98578E+00    0.51897E-02   -0.40785E+02
   154    0.40461E+04    0.97499E+00    0.52684E-02   -0.40512E+02
   155    0.40730E+04    0.96393E+00    0.53479E-02   -0.40211E+02
   156    0.40994E+04    0.95261E+00    0.54282E-02   -0.39882E+02
   157    0.41256E+04    0.94104E+00    0.55094E-02   -0.39524E+02
   158    0.41514E+04    0.92931E+00    0.55914E-02   -0.39137E+02
   159    0.41769E+04    0.91728E+00    0.56743E-02   -0.38723E+02
   160    0.42020E+04    0.90512E+00    0.57580E-02   -0.38279E+02
   161    0.42267E+04    0.89289E+00    0.58426E-02   -0.37807E+02
   162    0.42511E+04    0.88048E+00    0.59280E-02   -0.37308E+02
   163    0.42752E+04    0.86795E+00    0.60143E-02   -0.36779E+02
   164    0.42988E+04    0.85541E+00    0.61014E-02   -0.36224E+02
   165    0.43221E+04    0.84278E+00    0.61894E-02   -0.35638E+02
   166    0.43450E+04    0.83023E+00    0.62782E-02   -0.35025E+02
   167    0.43675E+04    0.81754E+00    0.63678E-02   -0.34385E+02
   168    0.43895E+04    0.80510E+00    0.64583E-02   -0.33716E+02
   169    0.44111E+04    0.79261E+00    0.65495E-02   -0.33018E+02
   170    0.44322E+04    0.78032E+00    0.66416E-02   -0.32292E+02
   171    0.44528E+04    0.76824E+00    0.67345E-02   -0.31538E+02
   172    0.44729E+04    0.75629E+00    0.68282E-02   -0.30755E+02
   173    0.44924E+04    0.74450E+00    0.69227E-02   -0.29945E+02
   174    0.45115E+04    0.73317E+00    0.70179E-02   -0.29108E+02
   175    0.45301E+04    0.72202E+00    0.71140E-02   -0.28242E+02
   176    0.45480E+04    0.71127E+00    0.72108E-02   -0.27349E+02
   177    0.45655E+04    0.70087E+00    0.73083E-02   -0.26430E+02
   178    0.45823E+04    0.69106E+00    0.74067E-02   -0.25483E+02
   179    0.45986E+04    0.68154E+00    0.75058E-02   -0.24510E+02
   180    0.46144E+04    0.67256E+00    0.76056E-02   -0.23511E+02
   181    0.46297E+04    0.66412E+00    0.77062E-02   -0.22487E+02
   182    0.46443E+04    0.65632E+00    0.78076E-02   -0.21438E+02
   183    0.46583E+04    0.64910E+00    0.79096E-02   -0.20364E+02
   184    0.46718E+04    0.64253E+00    0.80124E-02   -0.19266E+02
   185    0.46848E+04    0.63679E+00    0.81159E-02   -0.18146E+02
   186    0.46968E+04    0.63174E+00    0.82200E-02   -0.17001E+02
   187    0.47085E+04    0.62754E+00    0.83249E-02   -0.15832E+02
   188    0.47197E+04    0.62419E+00    0.84304E-02   -0.14643E+02
   189    0.47301E+04    0.62173E+00    0.85365E-02   -0.13431E+02
   190    0.47403E+04    0.62023E+00    0.86433E-02   -0.12200E+02
   191    0.47494E+04    0.61973E+00    0.87507E-02   -0.10946E+02
   192    0.47581E+04    0.62026E+00    0.88587E-02   -0.96722E+01
   193    0.47661E+04    0.62187E+00    0.89673E-02   -0.83802E+01
   194    0.47737E+04    0.62462E+00    0.90764E-02   -0.70681E+01
   195    0.47805E+04    0.62855E+00    0.91861E-02   -0.57385E+01
   196    0.47867E+04    0.63370E+00    0.92963E-02   -0.43909E+01
   197    0.47923E+04    0.64015E+00    0.94071E-02   -0.30272E+01
   198    0.47973E+04    0.64792E+00    0.95184E-02   -0.16469E+01
   199    0.48017E+04    0.65706E+00    0.96302E-02   -0.25100E+00
   200    0.48055E+04    0.66761E+00    0.97424E-02    0.11594E+01
   201    0.48086E+04    0.67965E+00    0.98551E-02    0.25847E+01
   202    0.48111E+04    0.69316E+00    0.99683E-02    0.40232E+01
   203    0.48130E+04    0.70821E+00    0.10082E-01    0.54756E+01
   204    0.48141E+04    0.72479E+00    0.10196E-01    0.69386E+01
   205    0.48146E+04    0.74293E+00    0.10310E-01    0.84142E+01
   206    0.48144E+04    0.76267E+00    0.10425E-01    0.99011E+01
   207    0.48136E+04    0.78401E+00    0.10540E-01    0.11399E+02
   208    0.48120E+04    0.80699E+00    0.10656E-01    0.12906E+02
   209    0.48098E+04    0.83161E+00    0.10772E-01    0.14423E+02
   210    0.48069E+04    0.85792E+00    0.10888E-01    0.15947E+02
   211    0.48034E+04    0.88594E+00    0.11005E-01    0.17480E+02
