#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14804E+04    0.15656E+00    0.00000E+00   -0.23071E+00    0.15106E-06    0.81620E-03   -0.72208E-06
    55    0.15002E+04    0.16605E+00    0.00000E+00   -0.47392E+00    0.15047E-06    0.80102E-03   -0.65809E-06
    56    0.15204E+04    0.17576E+00    0.00000E+00   -0.72731E+00    0.14986E-06    0.78616E-03   -0.63010E-06
    57    0.15408E+04    0.18561E+00    0.00000E+00   -0.99216E+00    0.14923E-06    0.77164E-03   -0.63457E-06
    58    0.15616E+04    0.19561E+00    0.00000E+00   -0.12710E+01    0.14859E-06    0.75745E-03   -0.66340E-06
    59    0.15825E+04    0.20584E+00    0.00000E+00   -0.15662E+01    0.14795E-06    0.74360E-03   -0.70852E-06
    60    0.16035E+04    0.21635E+00    0.00000E+00   -0.18791E+01    0.14729E-06    0.73012E-03   -0.76186E-06
    61    0.16250E+04    0.22727E+00    0.00000E+00   -0.22097E+01    0.14662E-06    0.71702E-03   -0.81578E-06
    62    0.16463E+04    0.23856E+00    0.00000E+00   -0.25570E+01    0.14594E-06    0.70429E-03   -0.86432E-06
    63    0.16677E+04    0.25017E+00    0.00000E+00   -0.29192E+01    0.14525E-06    0.69196E-03   -0.90196E-06
    64    0.16896E+04    0.26207E+00    0.00000E+00   -0.32950E+01    0.14456E-06    0.68004E-03   -0.92315E-06
    65    0.17115E+04    0.27424E+00    0.00000E+00   -0.36822E+01    0.14386E-06    0.66853E-03   -0.92238E-06
    66    0.17338E+04    0.28658E+00    0.00000E+00   -0.40770E+01    0.14315E-06    0.65744E-03   -0.89696E-06
    67    0.17564E+04    0.29910E+00    0.00000E+00   -0.44789E+01    0.14244E-06    0.64670E-03   -0.85547E-06
    68    0.17793E+04    0.31187E+00    0.00000E+00   -0.48891E+01    0.14172E-06    0.63625E-03   -0.80931E-06
    69    0.18025E+04    0.32485E+00    0.00000E+00   -0.53088E+01    0.14100E-06    0.62602E-03   -0.76986E-06
    70    0.18260E+04    0.33809E+00    0.00000E+00   -0.57426E+01    0.14027E-06    0.61593E-03   -0.74848E-06
    71    0.18497E+04    0.35161E+00    0.00000E+00   -0.61949E+01    0.13954E-06    0.60595E-03   -0.75323E-06
    72    0.18735E+04    0.36537E+00    0.00000E+00   -0.66654E+01    0.13881E-06    0.59611E-03   -0.77895E-06
    73    0.18974E+04    0.37934E+00    0.00000E+00   -0.71519E+01    0.13808E-06    0.58647E-03   -0.81718E-06
    74    0.19215E+04    0.39350E+00    0.00000E+00   -0.76510E+01    0.13734E-06    0.57708E-03   -0.85947E-06
    75    0.19458E+04    0.40785E+00    0.00000E+00   -0.81584E+01    0.13660E-06    0.56802E-03   -0.89741E-06
    76    0.19704E+04    0.42240E+00    0.00000E+00   -0.86716E+01    0.13586E-06    0.55932E-03   -0.92427E-06
    77    0.19953E+04    0.43713E+00    0.00000E+00   -0.91916E+01    0.13512E-06    0.55094E-03   -0.94022E-06
    78    0.20205E+04    0.45206E+00    0.00000E+00   -0.97216E+01    0.13437E-06    0.54283E-03   -0.94713E-06
    79    0.20459E+04    0.46713E+00    0.00000E+00   -0.10260E+02    0.13363E-06    0.53493E-03   -0.94687E-06
    80    0.20716E+04    0.48234E+00    0.00000E+00   -0.10810E+02    0.13289E-06    0.52719E-03   -0.94132E-06
    81    0.20975E+04    0.49762E+00    0.00000E+00   -0.11373E+02    0.13214E-06    0.51956E-03   -0.93235E-06
    82    0.21237E+04    0.51302E+00    0.00000E+00   -0.11948E+02    0.13140E-06    0.51205E-03   -0.92194E-06
    83    0.21501E+04    0.52850E+00    0.00000E+00   -0.12534E+02    0.13066E-06    0.50466E-03   -0.91208E-06
    84    0.21768E+04    0.54408E+00    0.00000E+00   -0.13129E+02    0.12992E-06    0.49741E-03   -0.90476E-06
    85    0.22037E+04    0.55973E+00    0.00000E+00   -0.13731E+02    0.12918E-06    0.49031E-03   -0.90196E-06
    86    0.22307E+04    0.57546E+00    0.00000E+00   -0.14340E+02    0.12844E-06    0.48336E-03   -0.90510E-06
    87    0.22583E+04    0.59126E+00    0.00000E+00   -0.14955E+02    0.12770E-06    0.47657E-03   -0.91337E-06
    88    0.22858E+04    0.60712E+00    0.00000E+00   -0.15576E+02    0.12697E-06    0.46993E-03   -0.92538E-06
    89    0.23137E+04    0.62302E+00    0.00000E+00   -0.16204E+02    0.12624E-06    0.46343E-03   -0.93975E-06
    90    0.23418E+04    0.63892E+00    0.00000E+00   -0.16838E+02    0.12551E-06    0.45708E-03   -0.95509E-06
    91    0.23701E+04    0.65480E+00    0.00000E+00   -0.17477E+02    0.12478E-06    0.45087E-03   -0.97026E-06
    92    0.23986E+04    0.67066E+00    0.00000E+00   -0.18121E+02    0.12405E-06    0.44479E-03   -0.98497E-06
    93    0.24275E+04    0.68648E+00    0.00000E+00   -0.18770E+02    0.12333E-06    0.43884E-03   -0.99920E-06
    94    0.24564E+04    0.70222E+00    0.00000E+00   -0.19422E+02    0.12261E-06    0.43302E-03   -0.10129E-05
    95    0.24857E+04    0.71788E+00    0.00000E+00   -0.20079E+02    0.12189E-06    0.42732E-03   -0.10260E-05
    96    0.25149E+04    0.73346E+00    0.00000E+00   -0.20740E+02    0.12118E-06    0.42174E-03   -0.10384E-05
    97    0.25446E+04    0.74893E+00    0.00000E+00   -0.21403E+02    0.12047E-06    0.41629E-03   -0.10502E-05
    98    0.25746E+04    0.76429E+00    0.00000E+00   -0.22067E+02    0.11976E-06    0.41095E-03   -0.10612E-05
    99    0.26046E+04    0.77950E+00    0.00000E+00   -0.22734E+02    0.11905E-06    0.40572E-03   -0.10715E-05
   100    0.26349E+04    0.79456E+00    0.00000E+00   -0.23400E+02    0.11835E-06    0.40060E-03   -0.10809E-05
   101    0.26653E+04    0.80953E+00    0.00000E+00   -0.24069E+02    0.11765E-06    0.39559E-03   -0.10894E-05
   102    0.26963E+04    0.82426E+00    0.00000E+00   -0.24737E+02    0.11696E-06    0.39068E-03   -0.10971E-05
   103    0.27272E+04    0.83883E+00    0.00000E+00   -0.25406E+02    0.11626E-06    0.38588E-03   -0.11037E-05
   104    0.27583E+04    0.85323E+00    0.00000E+00   -0.26073E+02    0.11558E-06    0.38117E-03   -0.11094E-05
   105    0.27896E+04    0.86740E+00    0.00000E+00   -0.26739E+02    0.11489E-06    0.37655E-03   -0.11139E-05
   106    0.28211E+04    0.88140E+00    0.00000E+00   -0.27403E+02    0.11421E-06    0.37203E-03   -0.11174E-05
   107    0.28526E+04    0.89508E+00    0.00000E+00   -0.28064E+02    0.11353E-06    0.36759E-03   -0.11197E-05
   108    0.28844E+04    0.90853E+00    0.00000E+00   -0.28722E+02    0.11286E-06    0.36324E-03   -0.11208E-05
   109    0.29163E+04    0.92166E+00    0.00000E+00   -0.29377E+02    0.11219E-06    0.35897E-03   -0.11207E-05
   110    0.29483E+04    0.93448E+00    0.00000E+00   -0.30026E+02    0.11152E-06    0.35478E-03   -0.11192E-05
   111    0.29805E+04    0.94706E+00    0.00000E+00   -0.30672E+02    0.11086E-06    0.35067E-03   -0.11164E-05
   112    0.30128E+04    0.95933E+00    0.00000E+00   -0.31313E+02    0.11021E-06    0.34663E-03   -0.11124E-05
   113    0.30454E+04    0.97128E+00    0.00000E+00   -0.31948E+02    0.10955E-06    0.34267E-03   -0.11072E-05
   114    0.30780E+04    0.98284E+00    0.00000E+00   -0.32576E+02    0.10891E-06    0.33877E-03   -0.11008E-05
   115    0.31108E+04    0.99416E+00    0.00000E+00   -0.33197E+02    0.10826E-06    0.33495E-03   -0.10935E-05
   116    0.31437E+04    0.10050E+01    0.00000E+00   -0.33810E+02    0.10762E-06    0.33120E-03   -0.10853E-05
   117    0.31768E+04    0.10155E+01    0.00000E+00   -0.34415E+02    0.10699E-06    0.32751E-03   -0.10761E-05
   118    0.32101E+04    0.10257E+01    0.00000E+00   -0.35012E+02    0.10635E-06    0.32389E-03   -0.10663E-05
   119    0.32434E+04    0.10355E+01    0.00000E+00   -0.35599E+02    0.10573E-06    0.32033E-03   -0.10557E-05
   120    0.32769E+04    0.10448E+01    0.00000E+00   -0.36176E+02    0.10510E-06    0.31683E-03   -0.10446E-05
   121    0.33103E+04    0.10539E+01    0.00000E+00   -0.36743E+02    0.10449E-06    0.31340E-03   -0.10329E-05
   122    0.33438E+04    0.10624E+01    0.00000E+00   -0.37299E+02    0.10387E-06    0.31002E-03   -0.10208E-05
   123    0.33774E+04    0.10704E+01    0.00000E+00   -0.37845E+02    0.10326E-06    0.30670E-03   -0.10084E-05
   124    0.34110E+04    0.10780E+01    0.00000E+00   -0.38376E+02    0.10266E-06    0.30344E-03   -0.99570E-06
   125    0.34447E+04    0.10852E+01    0.00000E+00   -0.38896E+02    0.10205E-06    0.30023E-03   -0.98282E-06
   126    0.34784E+04    0.10920E+01    0.00000E+00   -0.39404E+02    0.10146E-06    0.29708E-03   -0.96985E-06
   127    0.35122E+04    0.10982E+01    0.00000E+00   -0.39898E+02    0.10086E-06    0.29397E-03   -0.95686E-06
   128    0.35459E+04    0.11040E+01    0.00000E+00   -0.40378E+02    0.10027E-06    0.29092E-03   -0.94395E-06
   129    0.35797E+04    0.11093E+01    0.00000E+00   -0.40844E+02    0.99690E-07    0.28792E-03   -0.93118E-06
   130    0.36135E+04    0.11140E+01    0.00000E+00   -0.41294E+02    0.99109E-07    0.28496E-03   -0.91865E-06
   131    0.36473E+04    0.11184E+01    0.00000E+00   -0.41730E+02    0.98533E-07    0.28205E-03   -0.90643E-06
   132    0.36811E+04    0.11222E+01    0.00000E+00   -0.42149E+02    0.97961E-07    0.27918E-03   -0.89454E-06
   133    0.37149E+04    0.11255E+01    0.00000E+00   -0.42553E+02    0.97394E-07    0.27636E-03   -0.88300E-06
   134    0.37487E+04    0.11283E+01    0.00000E+00   -0.42938E+02    0.96830E-07    0.27358E-03   -0.87180E-06
   135    0.37825E+04    0.11306E+01    0.00000E+00   -0.43307E+02    0.96271E-07    0.27084E-03   -0.86098E-06
   136    0.38161E+04    0.11324E+01    0.00000E+00   -0.43656E+02    0.95716E-07    0.26814E-03   -0.85053E-06
   137    0.38498E+04    0.11337E+01    0.00000E+00   -0.43987E+02    0.95165E-07    0.26548E-03   -0.84048E-06
   138    0.38833E+04    0.11344E+01    0.00000E+00   -0.44299E+02    0.94618E-07    0.26286E-03   -0.83083E-06
   139    0.39166E+04    0.11347E+01    0.00000E+00   -0.44592E+02    0.94075E-07    0.26028E-03   -0.82160E-06
   140    0.39500E+04    0.11344E+01    0.00000E+00   -0.44865E+02    0.93537E-07    0.25774E-03   -0.81279E-06
   141    0.39832E+04    0.11336E+01    0.00000E+00   -0.45116E+02    0.93002E-07    0.25523E-03   -0.80443E-06
   142    0.40163E+04    0.11323E+01    0.00000E+00   -0.45347E+02    0.92472E-07    0.25275E-03   -0.79651E-06
   143    0.40494E+04    0.11305E+01    0.00000E+00   -0.45558E+02    0.91945E-07    0.25031E-03   -0.78906E-06
   144    0.40822E+04    0.11282E+01    0.00000E+00   -0.45747E+02    0.91423E-07    0.24790E-03   -0.78209E-06
   145    0.41149E+04    0.11255E+01    0.00000E+00   -0.45914E+02    0.90904E-07    0.24552E-03   -0.77561E-06
   146    0.41477E+04    0.11222E+01    0.00000E+00   -0.46059E+02    0.90390E-07    0.24318E-03   -0.76962E-06
   147    0.41800E+04    0.11184E+01    0.00000E+00   -0.46180E+02    0.89879E-07    0.24086E-03   -0.76415E-06
   148    0.42122E+04    0.11141E+01    0.00000E+00   -0.46280E+02    0.89373E-07    0.23857E-03   -0.75921E-06
   149    0.42444E+04    0.11094E+01    0.00000E+00   -0.46356E+02    0.88870E-07    0.23631E-03   -0.75480E-06
   150    0.42762E+04    0.11043E+01    0.00000E+00   -0.46406E+02    0.88372E-07    0.23408E-03   -0.75094E-06
   151    0.43078E+04    0.10986E+01    0.00000E+00   -0.46433E+02    0.87877E-07    0.23187E-03   -0.74763E-06
   152    0.43392E+04    0.10925E+01    0.00000E+00   -0.46437E+02    0.87386E-07    0.22969E-03   -0.74483E-06
   153    0.43704E+04    0.10859E+01    0.00000E+00   -0.46413E+02    0.86899E-07    0.22753E-03   -0.74249E-06
   154    0.44013E+04    0.10790E+01    0.00000E+00   -0.46366E+02    0.86416E-07    0.22540E-03   -0.74055E-06
   155    0.44320E+04    0.10716E+01    0.00000E+00   -0.46294E+02    0.85936E-07    0.22330E-03   -0.73897E-06
   156    0.44624E+04    0.10639E+01    0.00000E+00   -0.46196E+02    0.85461E-07    0.22122E-03   -0.73768E-06
   157    0.44926E+04    0.10558E+01    0.00000E+00   -0.46072E+02    0.84989E-07    0.21916E-03   -0.73665E-06
   158    0.45225E+04    0.10473E+01    0.00000E+00   -0.45923E+02    0.84520E-07    0.21713E-03   -0.73581E-06
   159    0.45521E+04    0.10384E+01    0.00000E+00   -0.45747E+02    0.84056E-07    0.21512E-03   -0.73512E-06
   160    0.45815E+04    0.10292E+01    0.00000E+00   -0.45545E+02    0.83595E-07    0.21314E-03   -0.73453E-06
   161    0.46106E+04    0.10197E+01    0.00000E+00   -0.45316E+02    0.83138E-07    0.21118E-03   -0.73397E-06
   162    0.46393E+04    0.10099E+01    0.00000E+00   -0.45062E+02    0.82684E-07    0.20924E-03   -0.73340E-06
   163    0.46679E+04    0.99968E+00    0.00000E+00   -0.44781E+02    0.82234E-07    0.20732E-03   -0.73277E-06
   164    0.46961E+04    0.98925E+00    0.00000E+00   -0.44474E+02    0.81788E-07    0.20543E-03   -0.73203E-06
   165    0.47240E+04    0.97851E+00    0.00000E+00   -0.44139E+02    0.81345E-07    0.20357E-03   -0.73112E-06
   166    0.47516E+04    0.96761E+00    0.00000E+00   -0.43778E+02    0.80905E-07    0.20172E-03   -0.73000E-06
   167    0.47790E+04    0.95631E+00    0.00000E+00   -0.43391E+02    0.80469E-07    0.19990E-03   -0.72860E-06
   168    0.48059E+04    0.94500E+00    0.00000E+00   -0.42976E+02    0.80036E-07    0.19810E-03   -0.72688E-06
   169    0.48324E+04    0.93337E+00    0.00000E+00   -0.42533E+02    0.79607E-07    0.19632E-03   -0.72479E-06
   170    0.48586E+04    0.92165E+00    0.00000E+00   -0.42063E+02    0.79181E-07    0.19456E-03   -0.72227E-06
   171    0.48843E+04    0.90984E+00    0.00000E+00   -0.41565E+02    0.78759E-07    0.19283E-03   -0.71928E-06
   172    0.49097E+04    0.89787E+00    0.00000E+00   -0.41040E+02    0.78340E-07    0.19112E-03   -0.71576E-06
   173    0.49345E+04    0.88573E+00    0.00000E+00   -0.40487E+02    0.77924E-07    0.18942E-03   -0.71165E-06
   174    0.49590E+04    0.87373E+00    0.00000E+00   -0.39907E+02    0.77511E-07    0.18775E-03   -0.70692E-06
   175    0.49831E+04    0.86156E+00    0.00000E+00   -0.39299E+02    0.77102E-07    0.18610E-03   -0.70150E-06
   176    0.50066E+04    0.84946E+00    0.00000E+00   -0.38664E+02    0.76696E-07    0.18447E-03   -0.69535E-06
   177    0.50297E+04    0.83734E+00    0.00000E+00   -0.38001E+02    0.76293E-07    0.18286E-03   -0.68850E-06
   178    0.50523E+04    0.82542E+00    0.00000E+00   -0.37311E+02    0.75893E-07    0.18127E-03   -0.68097E-06
   179    0.50744E+04    0.81342E+00    0.00000E+00   -0.36593E+02    0.75497E-07    0.17970E-03   -0.67279E-06
   180    0.50962E+04    0.80156E+00    0.00000E+00   -0.35849E+02    0.75103E-07    0.17815E-03   -0.66398E-06
   181    0.51174E+04    0.78984E+00    0.00000E+00   -0.35078E+02    0.74713E-07    0.17662E-03   -0.65458E-06
   182    0.51381E+04    0.77832E+00    0.00000E+00   -0.34280E+02    0.74326E-07    0.17510E-03   -0.64461E-06
   183    0.51583E+04    0.76694E+00    0.00000E+00   -0.33456E+02    0.73941E-07    0.17361E-03   -0.63410E-06
   184    0.51780E+04    0.75577E+00    0.00000E+00   -0.32604E+02    0.73560E-07    0.17213E-03   -0.62308E-06
   185    0.51973E+04    0.74497E+00    0.00000E+00   -0.31728E+02    0.73182E-07    0.17067E-03   -0.61158E-06
   186    0.52157E+04    0.73438E+00    0.00000E+00   -0.30824E+02    0.72807E-07    0.16922E-03   -0.59962E-06
   187    0.52339E+04    0.72415E+00    0.00000E+00   -0.29894E+02    0.72434E-07    0.16779E-03   -0.58723E-06
   188    0.52516E+04    0.71427E+00    0.00000E+00   -0.28940E+02    0.72065E-07    0.16638E-03   -0.57444E-06
   189    0.52687E+04    0.70478E+00    0.00000E+00   -0.27959E+02    0.71698E-07    0.16498E-03   -0.56128E-06
   190    0.52855E+04    0.69572E+00    0.00000E+00   -0.26955E+02    0.71334E-07    0.16360E-03   -0.54777E-06
   191    0.53015E+04    0.68712E+00    0.00000E+00   -0.25924E+02    0.70973E-07    0.16223E-03   -0.53395E-06
   192    0.53170E+04    0.67901E+00    0.00000E+00   -0.24869E+02    0.70615E-07    0.16088E-03   -0.51985E-06
   193    0.53319E+04    0.67142E+00    0.00000E+00   -0.23791E+02    0.70260E-07    0.15954E-03   -0.50548E-06
   194    0.53464E+04    0.66438E+00    0.00000E+00   -0.22688E+02    0.69907E-07    0.15822E-03   -0.49088E-06
   195    0.53603E+04    0.65795E+00    0.00000E+00   -0.21562E+02    0.69557E-07    0.15691E-03   -0.47608E-06
   196    0.53736E+04    0.65214E+00    0.00000E+00   -0.20412E+02    0.69209E-07    0.15561E-03   -0.46110E-06
   197    0.53864E+04    0.64701E+00    0.00000E+00   -0.19241E+02    0.68865E-07    0.15432E-03   -0.44597E-06
   198    0.53986E+04    0.64258E+00    0.00000E+00   -0.18046E+02    0.68523E-07    0.15305E-03   -0.43072E-06
   199    0.54103E+04    0.63889E+00    0.00000E+00   -0.16830E+02    0.68183E-07    0.15179E-03   -0.41538E-06
   200    0.54214E+04    0.63597E+00    0.00000E+00   -0.15593E+02    0.67846E-07    0.15054E-03   -0.39998E-06
   201    0.54320E+04    0.63387E+00    0.00000E+00   -0.14334E+02    0.67512E-07    0.14930E-03   -0.38453E-06
   202    0.54419E+04    0.63260E+00    0.00000E+00   -0.13054E+02    0.67180E-07    0.14807E-03   -0.36905E-06
   203    0.54513E+04    0.63223E+00    0.00000E+00   -0.11753E+02    0.66851E-07    0.14685E-03   -0.35354E-06
   204    0.54600E+04    0.63276E+00    0.00000E+00   -0.10435E+02    0.66524E-07    0.14564E-03   -0.33800E-06
   205    0.54681E+04    0.63425E+00    0.00000E+00   -0.90957E+01    0.66200E-07    0.14445E-03   -0.32244E-06
   206    0.54755E+04    0.63672E+00    0.00000E+00   -0.77377E+01    0.65878E-07    0.14326E-03   -0.30685E-06
   207    0.54824E+04    0.64020E+00    0.00000E+00   -0.63611E+01    0.65558E-07    0.14209E-03   -0.29124E-06
   208    0.54886E+04    0.64474E+00    0.00000E+00   -0.49666E+01    0.65241E-07    0.14092E-03   -0.27561E-06
   209    0.54941E+04    0.65036E+00    0.00000E+00   -0.35545E+01    0.64926E-07    0.13977E-03   -0.25996E-06
   210    0.54990E+04    0.65711E+00    0.00000E+00   -0.21257E+01    0.64614E-07    0.13862E-03   -0.24430E-06
   211    0.55033E+04    0.66501E+00    0.00000E+00   -0.68027E+00    0.64304E-07    0.13749E-03   -0.22863E-06
   212    0.55068E+04    0.67409E+00    0.00000E+00    0.78079E+00    0.63996E-07    0.13636E-03   -0.21295E-06
   213    0.55098E+04    0.68440E+00    0.00000E+00    0.22575E+01    0.63691E-07    0.13525E-03   -0.19727E-06
   214    0.55122E+04    0.69592E+00    0.00000E+00    0.37487E+01    0.63388E-07    0.13414E-03   -0.18158E-06
