#    L    TT             EE             BB             TE          
    91    0.24101E+04    0.65332E+00    0.28458E-02   -0.17537E+02
    92    0.24393E+04    0.66916E+00    0.29091E-02   -0.18182E+02
    93    0.24689E+04    0.68496E+00    0.29731E-02   -0.18832E+02
    94    0.24985E+04    0.70067E+00    0.30379E-02   -0.19484E+02
    95    0.25284E+04    0.71629E+00    0.31034E-02   -0.20140E+02
    96    0.25583E+04    0.73182E+00    0.31696E-02   -0.20799E+02
    97    0.25887E+04    0.74723E+00    0.32367E-02   -0.21460E+02
    98    0.26193E+04    0.76253E+00    0.33045E-02   -0.22122E+02
    99    0.26500E+04    0.77766E+00    0.33730E-02   -0.22786E+02
   100    0.26810E+04    0.79264E+00    0.34424E-02   -0.23448E+02
   101    0.27121E+04    0.80752E+00    0.35125E-02   -0.24113E+02
   102    0.27438E+04    0.82216E+00    0.35834E-02   -0.24776E+02
   103    0.27754E+04    0.83663E+00    0.36551E-02   -0.25440E+02
   104    0.28072E+04    0.85093E+00    0.37276E-02   -0.26101E+02
   105    0.28392E+04    0.86498E+00    0.38008E-02   -0.26761E+02
   106    0.28714E+04    0.87887E+00    0.38748E-02   -0.27419E+02
   107    0.29035E+04    0.89244E+00    0.39496E-02   -0.28074E+02
   108    0.29361E+04    0.90577E+00    0.40252E-02   -0.28726E+02
   109    0.29687E+04    0.91878E+00    0.41017E-02   -0.29374E+02
   110    0.30015E+04    0.93148E+00    0.41789E-02   -0.30017E+02
   111    0.30344E+04    0.94393E+00    0.42569E-02   -0.30656E+02
   112    0.30674E+04    0.95607E+00    0.43357E-02   -0.31289E+02
   113    0.31007E+04    0.96790E+00    0.44154E-02   -0.31917E+02
   114    0.31340E+04    0.97933E+00    0.44960E-02   -0.32538E+02
   115    0.31676E+04    0.99052E+00    0.45774E-02   -0.33151E+02
   116    0.32011E+04    0.10012E+01    0.46596E-02   -0.33757E+02
   117    0.32350E+04    0.10116E+01    0.47428E-02   -0.34354E+02
   118    0.32690E+04    0.10217E+01    0.48268E-02   -0.34943E+02
   119    0.33030E+04    0.10314E+01    0.49118E-02   -0.35521E+02
   120    0.33372E+04    0.10405E+01    0.49976E-02   -0.36089E+02
   121    0.33714E+04    0.10494E+01    0.50843E-02   -0.36647E+02
   122    0.34056E+04    0.10578E+01    0.51720E-02   -0.37194E+02
   123    0.34399E+04    0.10657E+01    0.52606E-02   -0.37729E+02
   124    0.34743E+04    0.10732E+01    0.53500E-02   -0.38250E+02
   125    0.35087E+04    0.10802E+01    0.54404E-02   -0.38759E+02
   126    0.35432E+04    0.10869E+01    0.55318E-02   -0.39255E+02
   127    0.35777E+04    0.10930E+01    0.56240E-02   -0.39737E+02
   128    0.36121E+04    0.10986E+01    0.57172E-02   -0.40205E+02
   129    0.36467E+04    0.11038E+01    0.58113E-02   -0.40658E+02
   130    0.36812E+04    0.11084E+01    0.59063E-02   -0.41094E+02
   131    0.37158E+04    0.11126E+01    0.60023E-02   -0.41516E+02
   132    0.37504E+04    0.11162E+01    0.60993E-02   -0.41920E+02
   133    0.37849E+04    0.11194E+01    0.61972E-02   -0.42309E+02
   134    0.38195E+04    0.11221E+01    0.62961E-02   -0.42678E+02
   135    0.38540E+04    0.11243E+01    0.63960E-02   -0.43030E+02
   136    0.38884E+04    0.11259E+01    0.64969E-02   -0.43362E+02
   137    0.39228E+04    0.11271E+01    0.65988E-02   -0.43675E+02
   138    0.39571E+04    0.11277E+01    0.67017E-02   -0.43968E+02
   139    0.39911E+04    0.11280E+01    0.68057E-02   -0.44241E+02
   140    0.40253E+04    0.11276E+01    0.69107E-02   -0.44494E+02
   141    0.40592E+04    0.11267E+01    0.70167E-02   -0.44726E+02
   142    0.40931E+04    0.11253E+01    0.71238E-02   -0.44936E+02
   143    0.41269E+04    0.11234E+01    0.72319E-02   -0.45124E+02
