#    L    TT             EE             BB             TE          
    91    0.24409E+04    0.65763E+00    0.28523E-02   -0.17764E+02
    92    0.24706E+04    0.67358E+00    0.29157E-02   -0.18416E+02
    93    0.25007E+04    0.68949E+00    0.29799E-02   -0.19072E+02
    94    0.25308E+04    0.70531E+00    0.30448E-02   -0.19731E+02
    95    0.25612E+04    0.72105E+00    0.31105E-02   -0.20393E+02
    96    0.25917E+04    0.73669E+00    0.31769E-02   -0.21059E+02
    97    0.26226E+04    0.75221E+00    0.32442E-02   -0.21727E+02
    98    0.26537E+04    0.76761E+00    0.33121E-02   -0.22394E+02
    99    0.26849E+04    0.78286E+00    0.33809E-02   -0.23065E+02
   100    0.27165E+04    0.79795E+00    0.34504E-02   -0.23735E+02
   101    0.27481E+04    0.81294E+00    0.35208E-02   -0.24405E+02
   102    0.27803E+04    0.82768E+00    0.35919E-02   -0.25076E+02
   103    0.28125E+04    0.84225E+00    0.36637E-02   -0.25746E+02
   104    0.28448E+04    0.85665E+00    0.37364E-02   -0.26414E+02
   105    0.28774E+04    0.87081E+00    0.38098E-02   -0.27081E+02
   106    0.29101E+04    0.88479E+00    0.38841E-02   -0.27745E+02
   107    0.29428E+04    0.89846E+00    0.39591E-02   -0.28406E+02
   108    0.29759E+04    0.91188E+00    0.40349E-02   -0.29065E+02
   109    0.30091E+04    0.92499E+00    0.41115E-02   -0.29719E+02
   110    0.30424E+04    0.93778E+00    0.41890E-02   -0.30368E+02
   111    0.30758E+04    0.95032E+00    0.42672E-02   -0.31013E+02
   112    0.31094E+04    0.96255E+00    0.43463E-02   -0.31653E+02
   113    0.31432E+04    0.97446E+00    0.44262E-02   -0.32287E+02
   114    0.31771E+04    0.98598E+00    0.45070E-02   -0.32913E+02
   115    0.32112E+04    0.99725E+00    0.45886E-02   -0.33533E+02
   116    0.32454E+04    0.10080E+01    0.46712E-02   -0.34144E+02
   117    0.32798E+04    0.10185E+01    0.47545E-02   -0.34746E+02
   118    0.33144E+04    0.10286E+01    0.48388E-02   -0.35341E+02
   119    0.33489E+04    0.10384E+01    0.49240E-02   -0.35924E+02
   120    0.33837E+04    0.10476E+01    0.50101E-02   -0.36498E+02
   121    0.34184E+04    0.10566E+01    0.50971E-02   -0.37061E+02
   122    0.34532E+04    0.10650E+01    0.51850E-02   -0.37612E+02
   123    0.34881E+04    0.10730E+01    0.52739E-02   -0.38152E+02
   124    0.35230E+04    0.10805E+01    0.53636E-02   -0.38678E+02
   125    0.35580E+04    0.10876E+01    0.54543E-02   -0.39191E+02
   126    0.35930E+04    0.10943E+01    0.55459E-02   -0.39691E+02
   127    0.36280E+04    0.11004E+01    0.56385E-02   -0.40178E+02
   128    0.36630E+04    0.11061E+01    0.57319E-02   -0.40650E+02
   129    0.36981E+04    0.11113E+01    0.58263E-02   -0.41106E+02
   130    0.37332E+04    0.11159E+01    0.59217E-02   -0.41546E+02
   131    0.37683E+04    0.11202E+01    0.60180E-02   -0.41971E+02
   132    0.38035E+04    0.11238E+01    0.61152E-02   -0.42378E+02
   133    0.38386E+04    0.11270E+01    0.62135E-02   -0.42770E+02
   134    0.38737E+04    0.11298E+01    0.63127E-02   -0.43141E+02
   135    0.39088E+04    0.11319E+01    0.64129E-02   -0.43496E+02
   136    0.39437E+04    0.11336E+01    0.65141E-02   -0.43829E+02
   137    0.39787E+04    0.11347E+01    0.66163E-02   -0.44145E+02
   138    0.40135E+04    0.11354E+01    0.67196E-02   -0.44440E+02
   139    0.40481E+04    0.11356E+01    0.68239E-02   -0.44714E+02
   140    0.40828E+04    0.11352E+01    0.69292E-02   -0.44969E+02
   141    0.41173E+04    0.11343E+01    0.70356E-02   -0.45201E+02
   142    0.41517E+04    0.11329E+01    0.71430E-02   -0.45411E+02
   143    0.41861E+04    0.11310E+01    0.72515E-02   -0.45601E+02
   144    0.42202E+04    0.11286E+01    0.73611E-02   -0.45768E+02
   145    0.42542E+04    0.11258E+01    0.74717E-02   -0.45912E+02
   146    0.42882E+04    0.11224E+01    0.75834E-02   -0.46033E+02
   147    0.43219E+04    0.11187E+01    0.76961E-02   -0.46129E+02
   148    0.43554E+04    0.11144E+01    0.78099E-02   -0.46203E+02
   149    0.43888E+04    0.11096E+01    0.79247E-02   -0.46252E+02
   150    0.44219E+04    0.11044E+01    0.80406E-02   -0.46274E+02
   151    0.44548E+04    0.10988E+01    0.81576E-02   -0.46273E+02
   152    0.44875E+04    0.10927E+01    0.82757E-02   -0.46247E+02
   153    0.45199E+04    0.10862E+01    0.83948E-02   -0.46193E+02
   154    0.45521E+04    0.10793E+01    0.85149E-02   -0.46114E+02
   155    0.45841E+04    0.10720E+01    0.86362E-02   -0.46009E+02
   156    0.46157E+04    0.10644E+01    0.87586E-02   -0.45878E+02
   157    0.46472E+04    0.10564E+01    0.88820E-02   -0.45720E+02
   158    0.46783E+04    0.10481E+01    0.90066E-02   -0.45535E+02
   159    0.47092E+04    0.10394E+01    0.91323E-02   -0.45324E+02
   160    0.47397E+04    0.10304E+01    0.92591E-02   -0.45084E+02
   161    0.47701E+04    0.10212E+01    0.93870E-02   -0.44818E+02
   162    0.48001E+04    0.10116E+01    0.95160E-02   -0.44525E+02
   163    0.48299E+04    0.10017E+01    0.96462E-02   -0.44204E+02
   164    0.48592E+04    0.99166E+00    0.97775E-02   -0.43856E+02
   165    0.48884E+04    0.98131E+00    0.99099E-02   -0.43479E+02
   166    0.49172E+04    0.97085E+00    0.10043E-01   -0.43075E+02
