#    L    TT             EE             BB             TE          
    91    0.26240E+04    0.67310E+00    0.23157E-02   -0.19005E+02
    92    0.26575E+04    0.68953E+00    0.23671E-02   -0.19698E+02
    93    0.26913E+04    0.70592E+00    0.24191E-02   -0.20396E+02
    94    0.27253E+04    0.72223E+00    0.24717E-02   -0.21096E+02
    95    0.27595E+04    0.73847E+00    0.25249E-02   -0.21800E+02
    96    0.27938E+04    0.75462E+00    0.25788E-02   -0.22506E+02
    97    0.28286E+04    0.77066E+00    0.26332E-02   -0.23215E+02
    98    0.28636E+04    0.78659E+00    0.26883E-02   -0.23924E+02
    99    0.28987E+04    0.80236E+00    0.27441E-02   -0.24636E+02
   100    0.29341E+04    0.81798E+00    0.28004E-02   -0.25346E+02
   101    0.29697E+04    0.83351E+00    0.28574E-02   -0.26058E+02
   102    0.30059E+04    0.84879E+00    0.29150E-02   -0.26769E+02
   103    0.30420E+04    0.86390E+00    0.29733E-02   -0.27480E+02
   104    0.30783E+04    0.87884E+00    0.30322E-02   -0.28188E+02
   105    0.31148E+04    0.89354E+00    0.30917E-02   -0.28895E+02
   106    0.31515E+04    0.90806E+00    0.31518E-02   -0.29600E+02
   107    0.31881E+04    0.92226E+00    0.32126E-02   -0.30301E+02
   108    0.32252E+04    0.93622E+00    0.32741E-02   -0.31000E+02
   109    0.32624E+04    0.94985E+00    0.33361E-02   -0.31694E+02
   110    0.32997E+04    0.96315E+00    0.33989E-02   -0.32383E+02
   111    0.33372E+04    0.97621E+00    0.34623E-02   -0.33068E+02
   112    0.33748E+04    0.98894E+00    0.35264E-02   -0.33747E+02
   113    0.34126E+04    0.10013E+01    0.35911E-02   -0.34421E+02
   114    0.34505E+04    0.10134E+01    0.36566E-02   -0.35086E+02
   115    0.34887E+04    0.10251E+01    0.37228E-02   -0.35744E+02
   116    0.35268E+04    0.10364E+01    0.37897E-02   -0.36394E+02
   117    0.35653E+04    0.10472E+01    0.38573E-02   -0.37035E+02
   118    0.36039E+04    0.10579E+01    0.39256E-02   -0.37667E+02
   119    0.36425E+04    0.10681E+01    0.39947E-02   -0.38288E+02
   120    0.36813E+04    0.10777E+01    0.40646E-02   -0.38899E+02
   121    0.37200E+04    0.10871E+01    0.41351E-02   -0.39498E+02
   122    0.37588E+04    0.10959E+01    0.42065E-02   -0.40085E+02
   123    0.37977E+04    0.11043E+01    0.42786E-02   -0.40660E+02
   124    0.38367E+04    0.11122E+01    0.43514E-02   -0.41220E+02
   125    0.38757E+04    0.11197E+01    0.44250E-02   -0.41767E+02
   126    0.39147E+04    0.11267E+01    0.44994E-02   -0.42301E+02
   127    0.39538E+04    0.11332E+01    0.45745E-02   -0.42819E+02
   128    0.39928E+04    0.11393E+01    0.46504E-02   -0.43322E+02
   129    0.40319E+04    0.11448E+01    0.47271E-02   -0.43809E+02
   130    0.40709E+04    0.11497E+01    0.48045E-02   -0.44278E+02
   131    0.41100E+04    0.11542E+01    0.48828E-02   -0.44732E+02
   132    0.41492E+04    0.11582E+01    0.49618E-02   -0.45166E+02
   133    0.41882E+04    0.11616E+01    0.50416E-02   -0.45585E+02
   134    0.42272E+04    0.11646E+01    0.51223E-02   -0.45981E+02
   135    0.42663E+04    0.11670E+01    0.52037E-02   -0.46360E+02
   136    0.43051E+04    0.11689E+01    0.52860E-02   -0.46717E+02
   137    0.43439E+04    0.11702E+01    0.53692E-02   -0.47054E+02
   138    0.43827E+04    0.11711E+01    0.54532E-02   -0.47370E+02
   139    0.44211E+04    0.11715E+01    0.55381E-02   -0.47664E+02
   140    0.44597E+04    0.11712E+01    0.56239E-02   -0.47937E+02
   141    0.44980E+04    0.11704E+01    0.57105E-02   -0.48186E+02
   142    0.45362E+04    0.11691E+01    0.57980E-02   -0.48412E+02
   143    0.45744E+04    0.11674E+01    0.58864E-02   -0.48616E+02
   144    0.46123E+04    0.11651E+01    0.59757E-02   -0.48795E+02
   145    0.46500E+04    0.11624E+01    0.60659E-02   -0.48951E+02
   146    0.46878E+04    0.11590E+01    0.61570E-02   -0.49082E+02
   147    0.47251E+04    0.11553E+01    0.62489E-02   -0.49187E+02
   148    0.47623E+04    0.11510E+01    0.63418E-02   -0.49267E+02
   149    0.47994E+04    0.11462E+01    0.64355E-02   -0.49322E+02
   150    0.48361E+04    0.11410E+01    0.65301E-02   -0.49348E+02
   151    0.48726E+04    0.11354E+01    0.66256E-02   -0.49349E+02
   152    0.49088E+04    0.11292E+01    0.67220E-02   -0.49323E+02
   153    0.49448E+04    0.11226E+01    0.68193E-02   -0.49268E+02
   154    0.49805E+04    0.11156E+01    0.69175E-02   -0.49186E+02
   155    0.50160E+04    0.11082E+01    0.70166E-02   -0.49077E+02
   156    0.50510E+04    0.11005E+01    0.71167E-02   -0.48940E+02
   157    0.50859E+04    0.10923E+01    0.72177E-02   -0.48774E+02
   158    0.51205E+04    0.10839E+01    0.73196E-02   -0.48579E+02
   159    0.51547E+04    0.10750E+01    0.74224E-02   -0.48356E+02
   160    0.51885E+04    0.10658E+01    0.75262E-02   -0.48103E+02
   161    0.52222E+04    0.10563E+01    0.76310E-02   -0.47822E+02
   162    0.52554E+04    0.10465E+01    0.77368E-02   -0.47512E+02
   163    0.52884E+04    0.10364E+01    0.78434E-02   -0.47172E+02
   164    0.53209E+04    0.10261E+01    0.79511E-02   -0.46804E+02
   165    0.53532E+04    0.10155E+01    0.80597E-02   -0.46405E+02
   166    0.53851E+04    0.10048E+01    0.81692E-02   -0.45977E+02
   167    0.54167E+04    0.99367E+00    0.82797E-02   -0.45520E+02
   168    0.54478E+04    0.98259E+00    0.83911E-02   -0.45032E+02
   169    0.54785E+04    0.97123E+00    0.85035E-02   -0.44514E+02
   170    0.55088E+04    0.95982E+00    0.86168E-02   -0.43966E+02
   171    0.55386E+04    0.94835E+00    0.87310E-02   -0.43387E+02
   172    0.55679E+04    0.93677E+00    0.88461E-02   -0.42777E+02
   173    0.55966E+04    0.92506E+00    0.89622E-02   -0.42138E+02
   174    0.56250E+04    0.91354E+00    0.90791E-02   -0.41468E+02
   175    0.56529E+04    0.90190E+00    0.91970E-02   -0.40767E+02
   176    0.56802E+04    0.89037E+00    0.93158E-02   -0.40036E+02
   177    0.57070E+04    0.87889E+00    0.94355E-02   -0.39275E+02
   178    0.57333E+04    0.86767E+00    0.95561E-02   -0.38483E+02
   179    0.57590E+04    0.85643E+00    0.96776E-02   -0.37661E+02
   180    0.57843E+04    0.84539E+00    0.98000E-02   -0.36809E+02
   181    0.58090E+04    0.83456E+00    0.99234E-02   -0.35928E+02
   182    0.58332E+04    0.82402E+00    0.10048E-01   -0.35017E+02
   183    0.58567E+04    0.81369E+00    0.10173E-01   -0.34076E+02
   184    0.58797E+04    0.80366E+00    0.10299E-01   -0.33106E+02
   185    0.59022E+04    0.79408E+00    0.10426E-01   -0.32108E+02
   186    0.59238E+04    0.78480E+00    0.10554E-01   -0.31080E+02
   187    0.59452E+04    0.77599E+00    0.10683E-01   -0.30023E+02
   188    0.59659E+04    0.76762E+00    0.10812E-01   -0.28939E+02
   189    0.59859E+04    0.75974E+00    0.10943E-01   -0.27826E+02
   190    0.60056E+04    0.75240E+00    0.11074E-01   -0.26687E+02
   191    0.60244E+04    0.74563E+00    0.11206E-01   -0.25518E+02
   192    0.60427E+04    0.73946E+00    0.11339E-01   -0.24322E+02
   193    0.60603E+04    0.73394E+00    0.11473E-01   -0.23101E+02
   194    0.60774E+04    0.72910E+00    0.11608E-01   -0.21852E+02
   195    0.60938E+04    0.72497E+00    0.11743E-01   -0.20577E+02
   196    0.61096E+04    0.72161E+00    0.11879E-01   -0.19276E+02
   197    0.61247E+04    0.71907E+00    0.12016E-01   -0.17951E+02
   198    0.61393E+04    0.71736E+00    0.12154E-01   -0.16601E+02
   199    0.61532E+04    0.71653E+00    0.12292E-01   -0.15226E+02
   200    0.61665E+04    0.71661E+00    0.12431E-01   -0.13827E+02
   201    0.61791E+04    0.71767E+00    0.12571E-01   -0.12404E+02
   202    0.61911E+04    0.71972E+00    0.12712E-01   -0.10958E+02
   203    0.62024E+04    0.72282E+00    0.12853E-01   -0.94892E+01
   204    0.62129E+04    0.72698E+00    0.12995E-01   -0.79997E+01
   205    0.62228E+04    0.73227E+00    0.13138E-01   -0.64877E+01
   206    0.62319E+04    0.73871E+00    0.13282E-01   -0.49547E+01
   207    0.62405E+04    0.74634E+00    0.13426E-01   -0.34011E+01
   208    0.62481E+04    0.75519E+00    0.13571E-01   -0.18275E+01
   209    0.62551E+04    0.76531E+00    0.13716E-01   -0.23455E+00
   210    0.62614E+04    0.77674E+00    0.13862E-01    0.13769E+01
   211    0.62670E+04    0.78951E+00    0.14009E-01    0.30067E+01
   212    0.62717E+04    0.80366E+00    0.14156E-01    0.46537E+01
   213    0.62759E+04    0.81923E+00    0.14304E-01    0.63179E+01
   214    0.62792E+04    0.83621E+00    0.14452E-01    0.79981E+01
   215    0.62819E+04    0.85481E+00    0.14601E-01    0.96933E+01
   216    0.62839E+04    0.87483E+00    0.14750E-01    0.11404E+02
   217    0.62852E+04    0.89643E+00    0.14900E-01    0.13128E+02
   218    0.62857E+04    0.91962E+00    0.15050E-01    0.14866E+02
   219    0.62856E+04    0.94440E+00    0.15201E-01    0.16618E+02
   220    0.62848E+04    0.97091E+00    0.15352E-01    0.18379E+02
   221    0.62833E+04    0.99909E+00    0.15504E-01    0.20153E+02
   222    0.62811E+04    0.10291E+01    0.15656E-01    0.21937E+02
   223    0.62781E+04    0.10608E+01    0.15809E-01    0.23732E+02
   224    0.62746E+04    0.10943E+01    0.15962E-01    0.25534E+02
   225    0.62703E+04    0.11297E+01    0.16115E-01    0.27346E+02
   226    0.62653E+04    0.11669E+01    0.16268E-01    0.29165E+02
   227    0.62596E+04    0.12061E+01    0.16422E-01    0.30991E+02
   228    0.62532E+04    0.12472E+01    0.16577E-01    0.32823E+02
   229    0.62462E+04    0.12902E+01    0.16731E-01    0.34659E+02
   230    0.62385E+04    0.13352E+01    0.16886E-01    0.36501E+02
   231    0.62299E+04    0.13823E+01    0.17041E-01    0.38347E+02
   232    0.62208E+04    0.14313E+01    0.17197E-01    0.40195E+02
   233    0.62110E+04    0.14826E+01    0.17352E-01    0.42045E+02
