#    L    TT             EE             TE             PP             TP          
    75    0.19962E+04    0.40762E+00   -0.83285E+01    0.58607E+07    0.10314E+05
    76    0.20219E+04    0.42226E+00   -0.88536E+01    0.58301E+07    0.10168E+05
    77    0.20478E+04    0.43712E+00   -0.93887E+01    0.57994E+07    0.10024E+05
    78    0.20740E+04    0.45219E+00   -0.99347E+01    0.57686E+07    0.98847E+04
    79    0.21004E+04    0.46739E+00   -0.10488E+02    0.57378E+07    0.97490E+04
    80    0.21272E+04    0.48267E+00   -0.11048E+02    0.57069E+07    0.96175E+04
    81    0.21542E+04    0.49797E+00   -0.11617E+02    0.56759E+07    0.94902E+04
    82    0.21816E+04    0.51332E+00   -0.12194E+02    0.56450E+07    0.93668E+04
    83    0.22092E+04    0.52873E+00   -0.12779E+02    0.56140E+07    0.92466E+04
    84    0.22371E+04    0.54424E+00   -0.13372E+02    0.55830E+07    0.91290E+04
    85    0.22651E+04    0.55984E+00   -0.13976E+02    0.55521E+07    0.90134E+04
    86    0.22933E+04    0.57558E+00   -0.14589E+02    0.55212E+07    0.88994E+04
    87    0.23220E+04    0.59141E+00   -0.15211E+02    0.54903E+07    0.87869E+04
    88    0.23507E+04    0.60734E+00   -0.15840E+02    0.54594E+07    0.86762E+04
    89    0.23797E+04    0.62332E+00   -0.16479E+02    0.54287E+07    0.85672E+04
    90    0.24089E+04    0.63930E+00   -0.17122E+02    0.53979E+07    0.84603E+04
    91    0.24383E+04    0.65526E+00   -0.17771E+02    0.53673E+07    0.83553E+04
    92    0.24680E+04    0.67118E+00   -0.18423E+02    0.53367E+07    0.82524E+04
    93    0.24981E+04    0.68704E+00   -0.19081E+02    0.53063E+07    0.81515E+04
    94    0.25282E+04    0.70283E+00   -0.19741E+02    0.52759E+07    0.80525E+04
    95    0.25586E+04    0.71852E+00   -0.20404E+02    0.52456E+07    0.79555E+04
    96    0.25890E+04    0.73412E+00   -0.21071E+02    0.52154E+07    0.78602E+04
    97    0.26199E+04    0.74961E+00   -0.21740E+02    0.51853E+07    0.77668E+04
    98    0.26510E+04    0.76497E+00   -0.22409E+02    0.51553E+07    0.76752E+04
    99    0.26822E+04    0.78017E+00   -0.23081E+02    0.51254E+07    0.75853E+04
   100    0.27138E+04    0.79522E+00   -0.23752E+02    0.50956E+07    0.74971E+04
   101    0.27454E+04    0.81017E+00   -0.24424E+02    0.50660E+07    0.74105E+04
   102    0.27776E+04    0.82487E+00   -0.25096E+02    0.50365E+07    0.73255E+04
   103    0.28097E+04    0.83940E+00   -0.25768E+02    0.50071E+07    0.72420E+04
   104    0.28421E+04    0.85376E+00   -0.26438E+02    0.49778E+07    0.71601E+04
   105    0.28746E+04    0.86787E+00   -0.27106E+02    0.49487E+07    0.70796E+04
   106    0.29074E+04    0.88181E+00   -0.27772E+02    0.49198E+07    0.70005E+04
   107    0.29401E+04    0.89543E+00   -0.28435E+02    0.48910E+07    0.69229E+04
   108    0.29731E+04    0.90881E+00   -0.29096E+02    0.48623E+07    0.68465E+04
   109    0.30063E+04    0.92187E+00   -0.29752E+02    0.48338E+07    0.67714E+04
   110    0.30396E+04    0.93461E+00   -0.30403E+02    0.48055E+07    0.66976E+04
   111    0.30731E+04    0.94711E+00   -0.31050E+02    0.47773E+07    0.66249E+04
   112    0.31067E+04    0.95929E+00   -0.31692E+02    0.47493E+07    0.65535E+04
   113    0.31405E+04    0.97115E+00   -0.32328E+02    0.47215E+07    0.64832E+04
   114    0.31744E+04    0.98262E+00   -0.32957E+02    0.46938E+07    0.64140E+04
   115    0.32085E+04    0.99384E+00   -0.33578E+02    0.46664E+07    0.63459E+04
   116    0.32427E+04    0.10046E+01   -0.34192E+02    0.46391E+07    0.62790E+04
   117    0.32771E+04    0.10149E+01   -0.34797E+02    0.46119E+07    0.62131E+04
   118    0.33117E+04    0.10250E+01   -0.35393E+02    0.45850E+07    0.61483E+04
   119    0.33463E+04    0.10347E+01   -0.35980E+02    0.45582E+07    0.60845E+04
   120    0.33810E+04    0.10439E+01   -0.36556E+02    0.45315E+07    0.60217E+04
   121    0.34158E+04    0.10528E+01   -0.37121E+02    0.45051E+07    0.59599E+04
   122    0.34506E+04    0.10612E+01   -0.37675E+02    0.44788E+07    0.58991E+04
   123    0.34855E+04    0.10691E+01   -0.38218E+02    0.44527E+07    0.58392E+04
   124    0.35205E+04    0.10766E+01   -0.38747E+02    0.44268E+07    0.57803E+04
   125    0.35555E+04    0.10836E+01   -0.39263E+02    0.44011E+07    0.57223E+04
   126    0.35906E+04    0.10902E+01   -0.39766E+02    0.43755E+07    0.56652E+04
   127    0.36256E+04    0.10962E+01   -0.40255E+02    0.43501E+07    0.56090E+04
   128    0.36607E+04    0.11019E+01   -0.40730E+02    0.43249E+07    0.55536E+04
   129    0.36958E+04    0.11070E+01   -0.41189E+02    0.42999E+07    0.54991E+04
   130    0.37310E+04    0.11115E+01   -0.41632E+02    0.42750E+07    0.54453E+04
   131    0.37661E+04    0.11157E+01   -0.42060E+02    0.42503E+07    0.53924E+04
   132    0.38014E+04    0.11193E+01   -0.42471E+02    0.42258E+07    0.53402E+04
   133    0.38365E+04    0.11224E+01   -0.42865E+02    0.42015E+07    0.52888E+04
   134    0.38717E+04    0.11250E+01   -0.43240E+02    0.41773E+07    0.52382E+04
   135    0.39068E+04    0.11271E+01   -0.43598E+02    0.41534E+07    0.51882E+04
   136    0.39418E+04    0.11286E+01   -0.43935E+02    0.41295E+07    0.51390E+04
   137    0.39768E+04    0.11297E+01   -0.44254E+02    0.41059E+07    0.50904E+04
   138    0.40117E+04    0.11302E+01   -0.44552E+02    0.40825E+07    0.50426E+04
   139    0.40464E+04    0.11303E+01   -0.44830E+02    0.40592E+07    0.49953E+04
   140    0.40812E+04    0.11298E+01   -0.45088E+02    0.40361E+07    0.49487E+04
   141    0.41157E+04    0.11288E+01   -0.45323E+02    0.40131E+07    0.49027E+04
   142    0.41502E+04    0.11272E+01   -0.45537E+02    0.39904E+07    0.48573E+04
   143    0.41847E+04    0.11252E+01   -0.45730E+02    0.39678E+07    0.48125E+04
   144    0.42189E+04    0.11227E+01   -0.45900E+02    0.39453E+07    0.47683E+04
   145    0.42529E+04    0.11198E+01   -0.46048E+02    0.39231E+07    0.47246E+04
   146    0.42871E+04    0.11163E+01   -0.46172E+02    0.39010E+07    0.46814E+04
   147    0.43208E+04    0.11123E+01   -0.46272E+02    0.38791E+07    0.46387E+04
   148    0.43544E+04    0.11079E+01   -0.46349E+02    0.38573E+07    0.45965E+04
   149    0.43879E+04    0.11029E+01   -0.46401E+02    0.38357E+07    0.45548E+04
   150    0.44211E+04    0.10976E+01   -0.46427E+02    0.38143E+07    0.45135E+04
   151    0.44541E+04    0.10918E+01   -0.46429E+02    0.37930E+07    0.44727E+04
   152    0.44869E+04    0.10855E+01   -0.46406E+02    0.37719E+07    0.44323E+04
   153    0.45194E+04    0.10788E+01   -0.46356E+02    0.37510E+07    0.43923E+04
   154    0.45517E+04    0.10718E+01   -0.46280E+02    0.37302E+07    0.43527E+04
   155    0.45838E+04    0.10643E+01   -0.46178E+02    0.37096E+07    0.43136E+04
   156    0.46155E+04    0.10565E+01   -0.46051E+02    0.36892E+07    0.42749E+04
   157    0.46471E+04    0.10483E+01   -0.45896E+02    0.36689E+07    0.42366E+04
   158    0.46784E+04    0.10398E+01   -0.45714E+02    0.36488E+07    0.41987E+04
   159    0.47093E+04    0.10308E+01   -0.45506E+02    0.36288E+07    0.41612E+04
   160    0.47400E+04    0.10216E+01   -0.45269E+02    0.36090E+07    0.41241E+04
   161    0.47705E+04    0.10122E+01   -0.45006E+02    0.35893E+07    0.40875E+04
   162    0.48006E+04    0.10023E+01   -0.44716E+02    0.35698E+07    0.40512E+04
   163    0.48305E+04    0.99223E+00   -0.44397E+02    0.35505E+07    0.40153E+04
   164    0.48600E+04    0.98192E+00   -0.44052E+02    0.35313E+07    0.39799E+04
   165    0.48893E+04    0.97132E+00   -0.43678E+02    0.35122E+07    0.39448E+04
   166    0.49182E+04    0.96059E+00   -0.43277E+02    0.34933E+07    0.39101E+04
   167    0.49469E+04    0.94950E+00   -0.42849E+02    0.34746E+07    0.38758E+04
   168    0.49751E+04    0.93844E+00   -0.42392E+02    0.34559E+07    0.38418E+04
   169    0.50030E+04    0.92710E+00   -0.41905E+02    0.34375E+07    0.38083E+04
   170    0.50305E+04    0.91571E+00   -0.41392E+02    0.34192E+07    0.37751E+04
   171    0.50575E+04    0.90427E+00   -0.40848E+02    0.34010E+07    0.37423E+04
   172    0.50841E+04    0.89272E+00   -0.40277E+02    0.33830E+07    0.37099E+04
   173    0.51102E+04    0.88104E+00   -0.39677E+02    0.33651E+07    0.36778E+04
   174    0.51360E+04    0.86955E+00   -0.39049E+02    0.33473E+07    0.36461E+04
   175    0.51613E+04    0.85794E+00   -0.38392E+02    0.33297E+07    0.36148E+04
   176    0.51861E+04    0.84645E+00   -0.37706E+02    0.33122E+07    0.35838E+04
   177    0.52104E+04    0.83499E+00   -0.36992E+02    0.32949E+07    0.35532E+04
   178    0.52343E+04    0.82381E+00   -0.36249E+02    0.32777E+07    0.35229E+04
   179    0.52576E+04    0.81259E+00   -0.35478E+02    0.32606E+07    0.34929E+04
   180    0.52806E+04    0.80157E+00   -0.34679E+02    0.32437E+07    0.34633E+04
   181    0.53030E+04    0.79076E+00   -0.33853E+02    0.32269E+07    0.34341E+04
