#    L    TT             EE             TE             PP             TP          
    75    0.19732E+04    0.40509E+00   -0.81979E+01    0.58924E+07    0.10195E+05
    76    0.19984E+04    0.41962E+00   -0.87179E+01    0.58618E+07    0.10051E+05
    77    0.20238E+04    0.43437E+00   -0.92480E+01    0.58312E+07    0.99100E+04
    78    0.20496E+04    0.44934E+00   -0.97892E+01    0.58004E+07    0.97725E+04
    79    0.20755E+04    0.46443E+00   -0.10337E+02    0.57696E+07    0.96389E+04
    80    0.21018E+04    0.47961E+00   -0.10892E+02    0.57387E+07    0.95093E+04
    81    0.21284E+04    0.49479E+00   -0.11455E+02    0.57078E+07    0.93841E+04
    82    0.21553E+04    0.51003E+00   -0.12025E+02    0.56769E+07    0.92626E+04
    83    0.21824E+04    0.52533E+00   -0.12604E+02    0.56460E+07    0.91444E+04
    84    0.22098E+04    0.54072E+00   -0.13190E+02    0.56150E+07    0.90288E+04
    85    0.22374E+04    0.55621E+00   -0.13787E+02    0.55841E+07    0.89153E+04
    86    0.22651E+04    0.57184E+00   -0.14393E+02    0.55532E+07    0.88033E+04
    87    0.22933E+04    0.58756E+00   -0.15009E+02    0.55223E+07    0.86930E+04
    88    0.23214E+04    0.60337E+00   -0.15632E+02    0.54915E+07    0.85844E+04
    89    0.23499E+04    0.61924E+00   -0.16264E+02    0.54608E+07    0.84775E+04
    90    0.23787E+04    0.63511E+00   -0.16901E+02    0.54301E+07    0.83725E+04
    91    0.24076E+04    0.65096E+00   -0.17544E+02    0.53994E+07    0.82695E+04
    92    0.24368E+04    0.66676E+00   -0.18190E+02    0.53689E+07    0.81684E+04
    93    0.24663E+04    0.68252E+00   -0.18841E+02    0.53384E+07    0.80692E+04
    94    0.24959E+04    0.69819E+00   -0.19494E+02    0.53080E+07    0.79718E+04
    95    0.25258E+04    0.71377E+00   -0.20151E+02    0.52778E+07    0.78763E+04
    96    0.25557E+04    0.72926E+00   -0.20811E+02    0.52476E+07    0.77825E+04
    97    0.25861E+04    0.74463E+00   -0.21474E+02    0.52175E+07    0.76905E+04
    98    0.26167E+04    0.75989E+00   -0.22136E+02    0.51875E+07    0.76002E+04
    99    0.26473E+04    0.77498E+00   -0.22802E+02    0.51576E+07    0.75116E+04
   100    0.26783E+04    0.78992E+00   -0.23466E+02    0.51278E+07    0.74245E+04
   101    0.27094E+04    0.80476E+00   -0.24131E+02    0.50982E+07    0.73391E+04
   102    0.27411E+04    0.81936E+00   -0.24797E+02    0.50687E+07    0.72552E+04
   103    0.27727E+04    0.83379E+00   -0.25462E+02    0.50393E+07    0.71728E+04
   104    0.28045E+04    0.84804E+00   -0.26125E+02    0.50100E+07    0.70919E+04
   105    0.28365E+04    0.86206E+00   -0.26786E+02    0.49809E+07    0.70124E+04
   106    0.28687E+04    0.87590E+00   -0.27446E+02    0.49519E+07    0.69343E+04
   107    0.29008E+04    0.88942E+00   -0.28103E+02    0.49231E+07    0.68575E+04
   108    0.29333E+04    0.90271E+00   -0.28757E+02    0.48944E+07    0.67821E+04
   109    0.29660E+04    0.91567E+00   -0.29407E+02    0.48659E+07    0.67079E+04
   110    0.29987E+04    0.92832E+00   -0.30051E+02    0.48376E+07    0.66350E+04
   111    0.30316E+04    0.94073E+00   -0.30692E+02    0.48094E+07    0.65632E+04
   112    0.30647E+04    0.95283E+00   -0.31328E+02    0.47814E+07    0.64926E+04
   113    0.30980E+04    0.96460E+00   -0.31958E+02    0.47535E+07    0.64232E+04
   114    0.31313E+04    0.97598E+00   -0.32581E+02    0.47259E+07    0.63549E+04
   115    0.31649E+04    0.98712E+00   -0.33197E+02    0.46984E+07    0.62877E+04
   116    0.31985E+04    0.99780E+00   -0.33805E+02    0.46710E+07    0.62216E+04
   117    0.32324E+04    0.10081E+01   -0.34404E+02    0.46439E+07    0.61566E+04
   118    0.32664E+04    0.10181E+01   -0.34995E+02    0.46169E+07    0.60926E+04
   119    0.33004E+04    0.10277E+01   -0.35576E+02    0.45901E+07    0.60297E+04
