#    L    TT             EE             BB             TE          
    91    0.25841E+04    0.66593E+00    0.26412E-02   -0.18567E+02
    92    0.26165E+04    0.68226E+00    0.26998E-02   -0.19248E+02
    93    0.26493E+04    0.69858E+00    0.27592E-02   -0.19933E+02
    94    0.26821E+04    0.71484E+00    0.28192E-02   -0.20622E+02
    95    0.27153E+04    0.73104E+00    0.28799E-02   -0.21314E+02
    96    0.27484E+04    0.74718E+00    0.29413E-02   -0.22011E+02
    97    0.27821E+04    0.76322E+00    0.30034E-02   -0.22709E+02
    98    0.28159E+04    0.77917E+00    0.30663E-02   -0.23408E+02
    99    0.28499E+04    0.79499E+00    0.31298E-02   -0.24111E+02
   100    0.28842E+04    0.81066E+00    0.31941E-02   -0.24812E+02
   101    0.29186E+04    0.82626E+00    0.32591E-02   -0.25516E+02
   102    0.29536E+04    0.84163E+00    0.33248E-02   -0.26219E+02
   103    0.29885E+04    0.85685E+00    0.33912E-02   -0.26923E+02
   104    0.30236E+04    0.87191E+00    0.34583E-02   -0.27624E+02
   105    0.30589E+04    0.88673E+00    0.35262E-02   -0.28325E+02
   106    0.30945E+04    0.90140E+00    0.35947E-02   -0.29023E+02
   107    0.31300E+04    0.91575E+00    0.36640E-02   -0.29719E+02
   108    0.31659E+04    0.92987E+00    0.37340E-02   -0.30413E+02
   109    0.32019E+04    0.94368E+00    0.38048E-02   -0.31102E+02
   110    0.32381E+04    0.95717E+00    0.38763E-02   -0.31787E+02
   111    0.32744E+04    0.97043E+00    0.39485E-02   -0.32467E+02
   112    0.33108E+04    0.98336E+00    0.40216E-02   -0.33143E+02
   113    0.33475E+04    0.99598E+00    0.40953E-02   -0.33813E+02
   114    0.33843E+04    0.10082E+01    0.41699E-02   -0.34476E+02
   115    0.34213E+04    0.10202E+01    0.42453E-02   -0.35132E+02
   116    0.34583E+04    0.10317E+01    0.43215E-02   -0.35780E+02
   117    0.34956E+04    0.10428E+01    0.43984E-02   -0.36420E+02
   118    0.35331E+04    0.10537E+01    0.44763E-02   -0.37051E+02
   119    0.35706E+04    0.10642E+01    0.45549E-02   -0.37672E+02
   120    0.36083E+04    0.10741E+01    0.46344E-02   -0.38283E+02
   121    0.36459E+04    0.10838E+01    0.47147E-02   -0.38883E+02
   122    0.36836E+04    0.10929E+01    0.47959E-02   -0.39472E+02
   123    0.37215E+04    0.11016E+01    0.48779E-02   -0.40050E+02
   124    0.37593E+04    0.11099E+01    0.49608E-02   -0.40613E+02
   125    0.37972E+04    0.11176E+01    0.50445E-02   -0.41163E+02
   126    0.38352E+04    0.11250E+01    0.51290E-02   -0.41701E+02
   127    0.38732E+04    0.11319E+01    0.52144E-02   -0.42224E+02
   128    0.39112E+04    0.11383E+01    0.53007E-02   -0.42733E+02
   129    0.39492E+04    0.11442E+01    0.53879E-02   -0.43226E+02
   130    0.39873E+04    0.11495E+01    0.54759E-02   -0.43703E+02
   131    0.40253E+04    0.11544E+01    0.55647E-02   -0.44165E+02
   132    0.40635E+04    0.11588E+01    0.56545E-02   -0.44609E+02
   133    0.41015E+04    0.11626E+01    0.57452E-02   -0.45036E+02
   134    0.41396E+04    0.11660E+01    0.58368E-02   -0.45444E+02
   135    0.41776E+04    0.11689E+01    0.59293E-02   -0.45834E+02
   136    0.42155E+04    0.11712E+01    0.60227E-02   -0.46203E+02
   137    0.42534E+04    0.11730E+01    0.61171E-02   -0.46554E+02
   138    0.42912E+04    0.11742E+01    0.62125E-02   -0.46883E+02
   139    0.43288E+04    0.11751E+01    0.63088E-02   -0.47192E+02
   140    0.43664E+04    0.11753E+01    0.64061E-02   -0.47480E+02
   141    0.44038E+04    0.11750E+01    0.65043E-02   -0.47746E+02
   142    0.44412E+04    0.11742E+01    0.66036E-02   -0.47989E+02
   143    0.44785E+04    0.11729E+01    0.67038E-02   -0.48211E+02
   144    0.45156E+04    0.11710E+01    0.68050E-02   -0.48409E+02
   145    0.45525E+04    0.11688E+01    0.69072E-02   -0.48585E+02
   146    0.45895E+04    0.11659E+01    0.70104E-02   -0.48736E+02
   147    0.46260E+04    0.11626E+01    0.71146E-02   -0.48863E+02
   148    0.46624E+04    0.11587E+01    0.72197E-02   -0.48966E+02
   149    0.46987E+04    0.11544E+01    0.73259E-02   -0.49044E+02
   150    0.47347E+04    0.11497E+01    0.74330E-02   -0.49094E+02
   151    0.47706E+04    0.11445E+01    0.75411E-02   -0.49120E+02
   152    0.48061E+04    0.11387E+01    0.76502E-02   -0.49120E+02
   153    0.48414E+04    0.11325E+01    0.77603E-02   -0.49092E+02
   154    0.48765E+04    0.11260E+01    0.78715E-02   -0.49038E+02
   155    0.49113E+04    0.11190E+01    0.79836E-02   -0.48957E+02
