#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.15630E+04    0.15582E+00    0.00000E+00   -0.47240E+00    0.13689E-06    0.84155E-03   -0.59914E-06
    55    0.15858E+04    0.16535E+00    0.00000E+00   -0.73935E+00    0.13627E-06    0.82721E-03   -0.59466E-06
    56    0.16090E+04    0.17518E+00    0.00000E+00   -0.10151E+01    0.13563E-06    0.81351E-03   -0.56731E-06
    57    0.16325E+04    0.18520E+00    0.00000E+00   -0.13000E+01    0.13498E-06    0.80036E-03   -0.52428E-06
    58    0.16564E+04    0.19538E+00    0.00000E+00   -0.15954E+01    0.13431E-06    0.78763E-03   -0.47511E-06
    59    0.16804E+04    0.20575E+00    0.00000E+00   -0.19031E+01    0.13364E-06    0.77523E-03   -0.42931E-06
    60    0.17047E+04    0.21634E+00    0.00000E+00   -0.22233E+01    0.13296E-06    0.76304E-03   -0.39638E-06
    61    0.17296E+04    0.22723E+00    0.00000E+00   -0.25560E+01    0.13228E-06    0.75097E-03   -0.38368E-06
    62    0.17544E+04    0.23844E+00    0.00000E+00   -0.29031E+01    0.13159E-06    0.73904E-03   -0.39018E-06
    63    0.17793E+04    0.24997E+00    0.00000E+00   -0.32667E+01    0.13089E-06    0.72731E-03   -0.41271E-06
    64    0.18046E+04    0.26187E+00    0.00000E+00   -0.36491E+01    0.13018E-06    0.71582E-03   -0.44811E-06
    65    0.18300E+04    0.27416E+00    0.00000E+00   -0.40518E+01    0.12947E-06    0.70462E-03   -0.49326E-06
    66    0.18556E+04    0.28679E+00    0.00000E+00   -0.44737E+01    0.12876E-06    0.69374E-03   -0.54437E-06
    67    0.18813E+04    0.29974E+00    0.00000E+00   -0.49104E+01    0.12804E-06    0.68322E-03   -0.59518E-06
    68    0.19075E+04    0.31298E+00    0.00000E+00   -0.53583E+01    0.12732E-06    0.67307E-03   -0.63880E-06
    69    0.19340E+04    0.32644E+00    0.00000E+00   -0.58135E+01    0.12660E-06    0.66330E-03   -0.66833E-06
    70    0.19608E+04    0.34010E+00    0.00000E+00   -0.62759E+01    0.12587E-06    0.65393E-03   -0.67691E-06
    71    0.19879E+04    0.35391E+00    0.00000E+00   -0.67463E+01    0.12514E-06    0.64497E-03   -0.66062E-06
    72    0.20153E+04    0.36787E+00    0.00000E+00   -0.72277E+01    0.12442E-06    0.63632E-03   -0.62737E-06
    73    0.20428E+04    0.38198E+00    0.00000E+00   -0.77227E+01    0.12369E-06    0.62789E-03   -0.58799E-06
    74    0.20705E+04    0.39626E+00    0.00000E+00   -0.82327E+01    0.12296E-06    0.61959E-03   -0.55332E-06
    75    0.20985E+04    0.41076E+00    0.00000E+00   -0.87581E+01    0.12222E-06    0.61131E-03   -0.53417E-06
    76    0.21266E+04    0.42550E+00    0.00000E+00   -0.92998E+01    0.12149E-06    0.60299E-03   -0.53840E-06
    77    0.21550E+04    0.44047E+00    0.00000E+00   -0.98562E+01    0.12076E-06    0.59468E-03   -0.56204E-06
    78    0.21837E+04    0.45570E+00    0.00000E+00   -0.10426E+02    0.12003E-06    0.58645E-03   -0.59815E-06
    79    0.22126E+04    0.47111E+00    0.00000E+00   -0.11004E+02    0.11930E-06    0.57837E-03   -0.63982E-06
    80    0.22418E+04    0.48670E+00    0.00000E+00   -0.11590E+02    0.11857E-06    0.57054E-03   -0.68014E-06
    81    0.22713E+04    0.50241E+00    0.00000E+00   -0.12181E+02    0.11785E-06    0.56301E-03   -0.71327E-06
    82    0.23012E+04    0.51825E+00    0.00000E+00   -0.12778E+02    0.11712E-06    0.55576E-03   -0.73770E-06
    83    0.23314E+04    0.53419E+00    0.00000E+00   -0.13384E+02    0.11640E-06    0.54876E-03   -0.75296E-06
    84    0.23618E+04    0.55022E+00    0.00000E+00   -0.13997E+02    0.11568E-06    0.54197E-03   -0.75861E-06
    85    0.23924E+04    0.56630E+00    0.00000E+00   -0.14622E+02    0.11496E-06    0.53538E-03   -0.75421E-06
    86    0.24233E+04    0.58245E+00    0.00000E+00   -0.15258E+02    0.11424E-06    0.52894E-03   -0.73993E-06
    87    0.24546E+04    0.59863E+00    0.00000E+00   -0.15905E+02    0.11353E-06    0.52264E-03   -0.71843E-06
    88    0.24859E+04    0.61486E+00    0.00000E+00   -0.16560E+02    0.11282E-06    0.51646E-03   -0.69301E-06
    89    0.25176E+04    0.63115E+00    0.00000E+00   -0.17225E+02    0.11211E-06    0.51041E-03   -0.66696E-06
    90    0.25495E+04    0.64744E+00    0.00000E+00   -0.17897E+02    0.11140E-06    0.50446E-03   -0.64356E-06
    91    0.25816E+04    0.66374E+00    0.00000E+00   -0.18573E+02    0.11070E-06    0.49860E-03   -0.62548E-06
    92    0.26140E+04    0.68004E+00    0.00000E+00   -0.19255E+02    0.11000E-06    0.49283E-03   -0.61292E-06
    93    0.26467E+04    0.69632E+00    0.00000E+00   -0.19941E+02    0.10930E-06    0.48714E-03   -0.60547E-06
    94    0.26795E+04    0.71254E+00    0.00000E+00   -0.20631E+02    0.10861E-06    0.48155E-03   -0.60271E-06
    95    0.27126E+04    0.72871E+00    0.00000E+00   -0.21325E+02    0.10792E-06    0.47605E-03   -0.60423E-06
    96    0.27458E+04    0.74481E+00    0.00000E+00   -0.22022E+02    0.10724E-06    0.47063E-03   -0.60960E-06
    97    0.27794E+04    0.76082E+00    0.00000E+00   -0.22722E+02    0.10656E-06    0.46530E-03   -0.61842E-06
    98    0.28132E+04    0.77673E+00    0.00000E+00   -0.23422E+02    0.10588E-06    0.46006E-03   -0.63027E-06
    99    0.28472E+04    0.79251E+00    0.00000E+00   -0.24126E+02    0.10520E-06    0.45490E-03   -0.64473E-06
   100    0.28814E+04    0.80815E+00    0.00000E+00   -0.24829E+02    0.10453E-06    0.44982E-03   -0.66140E-06
   101    0.29159E+04    0.82371E+00    0.00000E+00   -0.25533E+02    0.10387E-06    0.44483E-03   -0.67986E-06
   102    0.29508E+04    0.83905E+00    0.00000E+00   -0.26238E+02    0.10320E-06    0.43992E-03   -0.69969E-06
   103    0.29857E+04    0.85422E+00    0.00000E+00   -0.26943E+02    0.10255E-06    0.43509E-03   -0.72049E-06
   104    0.30209E+04    0.86924E+00    0.00000E+00   -0.27646E+02    0.10189E-06    0.43034E-03   -0.74184E-06
   105    0.30562E+04    0.88403E+00    0.00000E+00   -0.28348E+02    0.10124E-06    0.42568E-03   -0.76333E-06
   106    0.30917E+04    0.89866E+00    0.00000E+00   -0.29049E+02    0.10059E-06    0.42109E-03   -0.78455E-06
   107    0.31272E+04    0.91297E+00    0.00000E+00   -0.29746E+02    0.99951E-07    0.41658E-03   -0.80508E-06
   108    0.31631E+04    0.92705E+00    0.00000E+00   -0.30442E+02    0.99313E-07    0.41215E-03   -0.82451E-06
   109    0.31992E+04    0.94082E+00    0.00000E+00   -0.31133E+02    0.98680E-07    0.40780E-03   -0.84244E-06
   110    0.32353E+04    0.95427E+00    0.00000E+00   -0.31819E+02    0.98051E-07    0.40353E-03   -0.85845E-06
   111    0.32716E+04    0.96748E+00    0.00000E+00   -0.32502E+02    0.97427E-07    0.39933E-03   -0.87221E-06
   112    0.33080E+04    0.98038E+00    0.00000E+00   -0.33180E+02    0.96807E-07    0.39520E-03   -0.88377E-06
   113    0.33447E+04    0.99295E+00    0.00000E+00   -0.33852E+02    0.96191E-07    0.39115E-03   -0.89323E-06
   114    0.33815E+04    0.10051E+01    0.00000E+00   -0.34518E+02    0.95581E-07    0.38717E-03   -0.90073E-06
   115    0.34185E+04    0.10171E+01    0.00000E+00   -0.35176E+02    0.94974E-07    0.38326E-03   -0.90638E-06
   116    0.34556E+04    0.10285E+01    0.00000E+00   -0.35826E+02    0.94373E-07    0.37942E-03   -0.91030E-06
   117    0.34929E+04    0.10396E+01    0.00000E+00   -0.36468E+02    0.93775E-07    0.37564E-03   -0.91262E-06
   118    0.35304E+04    0.10504E+01    0.00000E+00   -0.37102E+02    0.93183E-07    0.37193E-03   -0.91344E-06
   119    0.35679E+04    0.10609E+01    0.00000E+00   -0.37726E+02    0.92594E-07    0.36827E-03   -0.91290E-06
   120    0.36056E+04    0.10708E+01    0.00000E+00   -0.38339E+02    0.92010E-07    0.36468E-03   -0.91111E-06
   121    0.36433E+04    0.10804E+01    0.00000E+00   -0.38941E+02    0.91431E-07    0.36115E-03   -0.90820E-06
   122    0.36810E+04    0.10895E+01    0.00000E+00   -0.39533E+02    0.90856E-07    0.35767E-03   -0.90428E-06
   123    0.37189E+04    0.10981E+01    0.00000E+00   -0.40113E+02    0.90286E-07    0.35426E-03   -0.89947E-06
   124    0.37568E+04    0.11063E+01    0.00000E+00   -0.40679E+02    0.89720E-07    0.35089E-03   -0.89389E-06
   125    0.37947E+04    0.11140E+01    0.00000E+00   -0.41232E+02    0.89158E-07    0.34757E-03   -0.88767E-06
   126    0.38327E+04    0.11213E+01    0.00000E+00   -0.41773E+02    0.88601E-07    0.34431E-03   -0.88092E-06
   127    0.38708E+04    0.11281E+01    0.00000E+00   -0.42299E+02    0.88048E-07    0.34109E-03   -0.87376E-06
   128    0.39088E+04    0.11344E+01    0.00000E+00   -0.42811E+02    0.87499E-07    0.33792E-03   -0.86631E-06
   129    0.39469E+04    0.11402E+01    0.00000E+00   -0.43307E+02    0.86955E-07    0.33480E-03   -0.85870E-06
   130    0.39850E+04    0.11455E+01    0.00000E+00   -0.43787E+02    0.86415E-07    0.33172E-03   -0.85103E-06
   131    0.40231E+04    0.11503E+01    0.00000E+00   -0.44252E+02    0.85880E-07    0.32868E-03   -0.84342E-06
   132    0.40613E+04    0.11546E+01    0.00000E+00   -0.44699E+02    0.85349E-07    0.32568E-03   -0.83590E-06
   133    0.40994E+04    0.11584E+01    0.00000E+00   -0.45130E+02    0.84822E-07    0.32272E-03   -0.82849E-06
   134    0.41375E+04    0.11617E+01    0.00000E+00   -0.45540E+02    0.84300E-07    0.31980E-03   -0.82122E-06
   135    0.41756E+04    0.11645E+01    0.00000E+00   -0.45934E+02    0.83782E-07    0.31692E-03   -0.81410E-06
   136    0.42135E+04    0.11667E+01    0.00000E+00   -0.46306E+02    0.83268E-07    0.31407E-03   -0.80716E-06
   137    0.42515E+04    0.11684E+01    0.00000E+00   -0.46660E+02    0.82758E-07    0.31127E-03   -0.80041E-06
   138    0.42894E+04    0.11696E+01    0.00000E+00   -0.46993E+02    0.82252E-07    0.30849E-03   -0.79388E-06
   139    0.43270E+04    0.11703E+01    0.00000E+00   -0.47305E+02    0.81751E-07    0.30575E-03   -0.78759E-06
   140    0.43647E+04    0.11704E+01    0.00000E+00   -0.47596E+02    0.81254E-07    0.30305E-03   -0.78156E-06
   141    0.44022E+04    0.11700E+01    0.00000E+00   -0.47865E+02    0.80761E-07    0.30038E-03   -0.77580E-06
   142    0.44397E+04    0.11690E+01    0.00000E+00   -0.48112E+02    0.80272E-07    0.29774E-03   -0.77035E-06
   143    0.44770E+04    0.11676E+01    0.00000E+00   -0.48337E+02    0.79787E-07    0.29513E-03   -0.76522E-06
   144    0.45142E+04    0.11657E+01    0.00000E+00   -0.48539E+02    0.79306E-07    0.29255E-03   -0.76044E-06
   145    0.45512E+04    0.11633E+01    0.00000E+00   -0.48718E+02    0.78829E-07    0.29001E-03   -0.75602E-06
   146    0.45882E+04    0.11603E+01    0.00000E+00   -0.48873E+02    0.78356E-07    0.28749E-03   -0.75198E-06
   147    0.46249E+04    0.11568E+01    0.00000E+00   -0.49003E+02    0.77887E-07    0.28500E-03   -0.74835E-06
   148    0.46614E+04    0.11529E+01    0.00000E+00   -0.49109E+02    0.77422E-07    0.28253E-03   -0.74514E-06
   149    0.46978E+04    0.11484E+01    0.00000E+00   -0.49191E+02    0.76961E-07    0.28010E-03   -0.74239E-06
   150    0.47339E+04    0.11435E+01    0.00000E+00   -0.49244E+02    0.76503E-07    0.27768E-03   -0.74010E-06
   151    0.47698E+04    0.11382E+01    0.00000E+00   -0.49274E+02    0.76050E-07    0.27530E-03   -0.73829E-06
   152    0.48054E+04    0.11322E+01    0.00000E+00   -0.49277E+02    0.75601E-07    0.27293E-03   -0.73692E-06
   153    0.48408E+04    0.11259E+01    0.00000E+00   -0.49253E+02    0.75155E-07    0.27059E-03   -0.73592E-06
   154    0.48760E+04    0.11192E+01    0.00000E+00   -0.49202E+02    0.74713E-07    0.26828E-03   -0.73526E-06
   155    0.49109E+04    0.11120E+01    0.00000E+00   -0.49124E+02    0.74275E-07    0.26599E-03   -0.73487E-06
   156    0.49454E+04    0.11045E+01    0.00000E+00   -0.49020E+02    0.73841E-07    0.26372E-03   -0.73471E-06
   157    0.49799E+04    0.10965E+01    0.00000E+00   -0.48887E+02    0.73410E-07    0.26148E-03   -0.73471E-06
   158    0.50139E+04    0.10883E+01    0.00000E+00   -0.48727E+02    0.72983E-07    0.25926E-03   -0.73483E-06
   159    0.50477E+04    0.10795E+01    0.00000E+00   -0.48539E+02    0.72560E-07    0.25706E-03   -0.73501E-06
   160    0.50812E+04    0.10705E+01    0.00000E+00   -0.48322E+02    0.72140E-07    0.25488E-03   -0.73519E-06
   161    0.51144E+04    0.10611E+01    0.00000E+00   -0.48077E+02    0.71724E-07    0.25273E-03   -0.73533E-06
   162    0.51473E+04    0.10514E+01    0.00000E+00   -0.47804E+02    0.71311E-07    0.25060E-03   -0.73537E-06
   163    0.51800E+04    0.10414E+01    0.00000E+00   -0.47502E+02    0.70902E-07    0.24850E-03   -0.73526E-06
   164    0.52122E+04    0.10311E+01    0.00000E+00   -0.47173E+02    0.70496E-07    0.24641E-03   -0.73495E-06
   165    0.52441E+04    0.10205E+01    0.00000E+00   -0.46813E+02    0.70094E-07    0.24435E-03   -0.73437E-06
   166    0.52758E+04    0.10098E+01    0.00000E+00   -0.46424E+02    0.69695E-07    0.24231E-03   -0.73348E-06
   167    0.53071E+04    0.99861E+00    0.00000E+00   -0.46008E+02    0.69300E-07    0.24029E-03   -0.73222E-06
   168    0.53380E+04    0.98744E+00    0.00000E+00   -0.45562E+02    0.68907E-07    0.23830E-03   -0.73055E-06
   169    0.53685E+04    0.97597E+00    0.00000E+00   -0.45085E+02    0.68519E-07    0.23632E-03   -0.72840E-06
   170    0.53986E+04    0.96440E+00    0.00000E+00   -0.44580E+02    0.68133E-07    0.23437E-03   -0.72572E-06
   171    0.54283E+04    0.95276E+00    0.00000E+00   -0.44043E+02    0.67751E-07    0.23244E-03   -0.72246E-06
   172    0.54575E+04    0.94095E+00    0.00000E+00   -0.43477E+02    0.67372E-07    0.23053E-03   -0.71858E-06
   173    0.54861E+04    0.92899E+00    0.00000E+00   -0.42882E+02    0.66996E-07    0.22863E-03   -0.71400E-06
   174    0.55144E+04    0.91716E+00    0.00000E+00   -0.42257E+02    0.66624E-07    0.22676E-03   -0.70868E-06
   175    0.55423E+04    0.90519E+00    0.00000E+00   -0.41601E+02    0.66255E-07    0.22492E-03   -0.70257E-06
   176    0.55696E+04    0.89328E+00    0.00000E+00   -0.40915E+02    0.65888E-07    0.22309E-03   -0.69563E-06
   177    0.55964E+04    0.88137E+00    0.00000E+00   -0.40201E+02    0.65525E-07    0.22128E-03   -0.68788E-06
   178    0.56227E+04    0.86969E+00    0.00000E+00   -0.39456E+02    0.65165E-07    0.21949E-03   -0.67935E-06
   179    0.56484E+04    0.85794E+00    0.00000E+00   -0.38680E+02    0.64808E-07    0.21772E-03   -0.67009E-06
   180    0.56738E+04    0.84634E+00    0.00000E+00   -0.37876E+02    0.64454E-07    0.21596E-03   -0.66012E-06
   181    0.56986E+04    0.83490E+00    0.00000E+00   -0.37043E+02    0.64103E-07    0.21423E-03   -0.64948E-06
   182    0.57229E+04    0.82369E+00    0.00000E+00   -0.36179E+02    0.63755E-07    0.21252E-03   -0.63820E-06
   183    0.57466E+04    0.81265E+00    0.00000E+00   -0.35287E+02    0.63410E-07    0.21082E-03   -0.62633E-06
   184    0.57698E+04    0.80185E+00    0.00000E+00   -0.34366E+02    0.63067E-07    0.20914E-03   -0.61390E-06
   185    0.57925E+04    0.79145E+00    0.00000E+00   -0.33417E+02    0.62728E-07    0.20748E-03   -0.60094E-06
