#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.15079E+04    0.15601E+00    0.00000E+00   -0.33887E+00    0.14308E-06    0.85809E-03   -0.60932E-06
    55    0.15287E+04    0.16544E+00    0.00000E+00   -0.59642E+00    0.14249E-06    0.84316E-03   -0.57279E-06
    56    0.15499E+04    0.17517E+00    0.00000E+00   -0.85691E+00    0.14188E-06    0.82868E-03   -0.53895E-06
    57    0.15714E+04    0.18508E+00    0.00000E+00   -0.11229E+01    0.14127E-06    0.81461E-03   -0.51332E-06
    58    0.15933E+04    0.19515E+00    0.00000E+00   -0.13991E+01    0.14064E-06    0.80089E-03   -0.50094E-06
    59    0.16152E+04    0.20543E+00    0.00000E+00   -0.16903E+01    0.14000E-06    0.78749E-03   -0.50685E-06
    60    0.16374E+04    0.21594E+00    0.00000E+00   -0.19998E+01    0.13935E-06    0.77434E-03   -0.53610E-06
    61    0.16600E+04    0.22677E+00    0.00000E+00   -0.23297E+01    0.13870E-06    0.76143E-03   -0.59077E-06
    62    0.16824E+04    0.23793E+00    0.00000E+00   -0.26789E+01    0.13803E-06    0.74879E-03   -0.66127E-06
    63    0.17050E+04    0.24940E+00    0.00000E+00   -0.30449E+01    0.13736E-06    0.73648E-03   -0.73509E-06
    64    0.17279E+04    0.26120E+00    0.00000E+00   -0.34257E+01    0.13668E-06    0.72456E-03   -0.79973E-06
    65    0.17509E+04    0.27333E+00    0.00000E+00   -0.38188E+01    0.13600E-06    0.71307E-03   -0.84274E-06
    66    0.17743E+04    0.28574E+00    0.00000E+00   -0.42198E+01    0.13531E-06    0.70207E-03   -0.85524E-06
    67    0.17979E+04    0.29841E+00    0.00000E+00   -0.46276E+01    0.13461E-06    0.69148E-03   -0.84277E-06
    68    0.18219E+04    0.31135E+00    0.00000E+00   -0.50428E+01    0.13391E-06    0.68124E-03   -0.81445E-06
    69    0.18462E+04    0.32449E+00    0.00000E+00   -0.54664E+01    0.13321E-06    0.67125E-03   -0.77939E-06
    70    0.18707E+04    0.33786E+00    0.00000E+00   -0.59023E+01    0.13250E-06    0.66145E-03   -0.74667E-06
    71    0.18955E+04    0.35142E+00    0.00000E+00   -0.63550E+01    0.13180E-06    0.65175E-03   -0.72394E-06
    72    0.19205E+04    0.36518E+00    0.00000E+00   -0.68251E+01    0.13108E-06    0.64218E-03   -0.71298E-06
    73    0.19455E+04    0.37911E+00    0.00000E+00   -0.73121E+01    0.13037E-06    0.63275E-03   -0.71415E-06
    74    0.19708E+04    0.39325E+00    0.00000E+00   -0.78142E+01    0.12966E-06    0.62348E-03   -0.72782E-06
    75    0.19962E+04    0.40762E+00    0.00000E+00   -0.83285E+01    0.12894E-06    0.61439E-03   -0.75431E-06
    76    0.20219E+04    0.42226E+00    0.00000E+00   -0.88536E+01    0.12822E-06    0.60549E-03   -0.79266E-06
    77    0.20478E+04    0.43712E+00    0.00000E+00   -0.93887E+01    0.12750E-06    0.59681E-03   -0.83653E-06
    78    0.20740E+04    0.45219E+00    0.00000E+00   -0.99347E+01    0.12678E-06    0.58835E-03   -0.87829E-06
    79    0.21004E+04    0.46739E+00    0.00000E+00   -0.10488E+02    0.12607E-06    0.58013E-03   -0.91027E-06
    80    0.21272E+04    0.48267E+00    0.00000E+00   -0.11048E+02    0.12535E-06    0.57217E-03   -0.92484E-06
    81    0.21542E+04    0.49797E+00    0.00000E+00   -0.11617E+02    0.12463E-06    0.56447E-03   -0.91706E-06
    82    0.21816E+04    0.51332E+00    0.00000E+00   -0.12194E+02    0.12391E-06    0.55701E-03   -0.89268E-06
    83    0.22092E+04    0.52873E+00    0.00000E+00   -0.12779E+02    0.12320E-06    0.54974E-03   -0.86013E-06
    84    0.22371E+04    0.54424E+00    0.00000E+00   -0.13372E+02    0.12248E-06    0.54263E-03   -0.82786E-06
    85    0.22651E+04    0.55984E+00    0.00000E+00   -0.13976E+02    0.12177E-06    0.53565E-03   -0.80427E-06
