#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.13216E+04    0.14511E+01    0.23808E-04    0.14511E+01    0.74362E-01   -0.46978E-08    0.23808E-04   -0.46978E-08    0.75394E-10
    44    0.13423E+04    0.13389E+01    0.22822E-04    0.13389E+01    0.80312E-01   -0.46123E-08    0.22822E-04   -0.46123E-08    0.71839E-10
    45    0.13634E+04    0.12162E+01    0.21891E-04    0.12162E+01    0.86555E-01   -0.49094E-08    0.21891E-04   -0.49094E-08    0.68506E-10
    46    0.13848E+04    0.10822E+01    0.21010E-04    0.10822E+01    0.93096E-01   -0.54851E-08    0.21010E-04   -0.54851E-08    0.65377E-10
    47    0.14064E+04    0.93621E+00    0.20174E-04    0.93621E+00    0.99929E-01   -0.62582E-08    0.20174E-04   -0.62582E-08    0.62435E-10
    48    0.14281E+04    0.78060E+00    0.19382E-04    0.78060E+00    0.10706E+00   -0.71531E-08    0.19382E-04   -0.71531E-08    0.59669E-10
    49    0.14499E+04    0.61701E+00    0.18631E-04    0.61701E+00    0.11446E+00   -0.80941E-08    0.18631E-04   -0.80941E-08    0.57066E-10
    50    0.14722E+04    0.44035E+00    0.17921E-04    0.44035E+00    0.12210E+00   -0.90058E-08    0.17921E-04   -0.90058E-08    0.54613E-10
    51    0.14946E+04    0.24472E+00    0.17248E-04    0.24472E+00    0.12996E+00   -0.98145E-08    0.17248E-04   -0.98145E-08    0.52297E-10
    52    0.15174E+04    0.26702E-01    0.16612E-04    0.26702E-01    0.13812E+00   -0.10454E-07    0.16612E-04   -0.10454E-07    0.50111E-10
    53    0.15403E+04   -0.21467E+00    0.16010E-04   -0.21467E+00    0.14674E+00   -0.10860E-07    0.16010E-04   -0.10860E-07    0.48045E-10
    54    0.15630E+04   -0.47240E+00    0.15442E-04   -0.47240E+00    0.15582E+00   -0.10968E-07    0.15442E-04   -0.10968E-07    0.46092E-10
    55    0.15858E+04   -0.73935E+00    0.14905E-04   -0.73935E+00    0.16535E+00   -0.10715E-07    0.14905E-04   -0.10715E-07    0.44242E-10
    56    0.16090E+04   -0.10151E+01    0.14399E-04   -0.10151E+01    0.17518E+00   -0.10074E-07    0.14399E-04   -0.10074E-07    0.42489E-10
    57    0.16325E+04   -0.13000E+01    0.13919E-04   -0.13000E+01    0.18520E+00   -0.91717E-08    0.13919E-04   -0.91717E-08    0.40827E-10
    58    0.16564E+04   -0.15954E+01    0.13464E-04   -0.15954E+01    0.19538E+00   -0.81739E-08    0.13464E-04   -0.81739E-08    0.39250E-10
    59    0.16804E+04   -0.19031E+01    0.13029E-04   -0.19031E+01    0.20575E+00   -0.72456E-08    0.13029E-04   -0.72456E-08    0.37752E-10
    60    0.17047E+04   -0.22233E+01    0.12613E-04   -0.22233E+01    0.21634E+00   -0.65519E-08    0.12613E-04   -0.65519E-08    0.36329E-10
    61    0.17296E+04   -0.25560E+01    0.12211E-04   -0.25560E+01    0.22723E+00   -0.62192E-08    0.12211E-04   -0.62192E-08    0.34976E-10
    62    0.17544E+04   -0.29031E+01    0.11825E-04   -0.29031E+01    0.23844E+00   -0.62186E-08    0.11825E-04   -0.62186E-08    0.33688E-10
    63    0.17793E+04   -0.32667E+01    0.11454E-04   -0.32667E+01    0.24997E+00   -0.64822E-08    0.11454E-04   -0.64822E-08    0.32462E-10
    64    0.18046E+04   -0.36491E+01    0.11098E-04   -0.36491E+01    0.26187E+00   -0.69422E-08    0.11098E-04   -0.69422E-08    0.31294E-10
    65    0.18300E+04   -0.40518E+01    0.10758E-04   -0.40518E+01    0.27416E+00   -0.75309E-08    0.10758E-04   -0.75309E-08    0.30180E-10
    66    0.18556E+04   -0.44737E+01    0.10432E-04   -0.44737E+01    0.28679E+00   -0.81769E-08    0.10432E-04   -0.81769E-08    0.29118E-10
    67    0.18813E+04   -0.49104E+01    0.10122E-04   -0.49104E+01    0.29974E+00   -0.87954E-08    0.10122E-04   -0.87954E-08    0.28104E-10
    68    0.19075E+04   -0.53583E+01    0.98261E-05   -0.53583E+01    0.31298E+00   -0.92980E-08    0.98261E-05   -0.92980E-08    0.27136E-10
    69    0.19340E+04   -0.58135E+01    0.95442E-05   -0.58135E+01    0.32644E+00   -0.95962E-08    0.95442E-05   -0.95962E-08    0.26211E-10
    70    0.19608E+04   -0.62759E+01    0.92759E-05   -0.62759E+01    0.34010E+00   -0.96018E-08    0.92759E-05   -0.96018E-08    0.25326E-10
    71    0.19879E+04   -0.67463E+01    0.90205E-05   -0.67463E+01    0.35391E+00   -0.92659E-08    0.90205E-05   -0.92659E-08    0.24481E-10
    72    0.20153E+04   -0.72277E+01    0.87766E-05   -0.72277E+01    0.36787E+00   -0.86970E-08    0.87766E-05   -0.86970E-08    0.23671E-10
    73    0.20428E+04   -0.77227E+01    0.85426E-05   -0.77227E+01    0.38198E+00   -0.80435E-08    0.85426E-05   -0.80435E-08    0.22896E-10
    74    0.20705E+04   -0.82327E+01    0.83166E-05   -0.82327E+01    0.39626E+00   -0.74536E-08    0.83166E-05   -0.74536E-08    0.22154E-10
    75    0.20985E+04   -0.87581E+01    0.80970E-05   -0.87581E+01    0.41076E+00   -0.70753E-08    0.80970E-05   -0.70753E-08    0.21443E-10
    76    0.21266E+04   -0.92998E+01    0.78826E-05   -0.92998E+01    0.42550E+00   -0.70161E-08    0.78826E-05   -0.70161E-08    0.20761E-10
    77    0.21550E+04   -0.98562E+01    0.76737E-05   -0.98562E+01    0.44047E+00   -0.72203E-08    0.76737E-05   -0.72203E-08    0.20107E-10
    78    0.21837E+04   -0.10426E+02    0.74711E-05   -0.10426E+02    0.45570E+00   -0.75915E-08    0.74711E-05   -0.75915E-08    0.19479E-10
    79    0.22126E+04   -0.11004E+02    0.72755E-05   -0.11004E+02    0.47111E+00   -0.80333E-08    0.72755E-05   -0.80333E-08    0.18877E-10
    80    0.22418E+04   -0.11590E+02    0.70876E-05   -0.11590E+02    0.48670E+00   -0.84491E-08    0.70876E-05   -0.84491E-08    0.18298E-10
    81    0.22713E+04   -0.12181E+02    0.69080E-05   -0.12181E+02    0.50241E+00   -0.87591E-08    0.69080E-05   -0.87591E-08    0.17743E-10
    82    0.23012E+04   -0.12778E+02    0.67363E-05   -0.12778E+02    0.51825E+00   -0.89489E-08    0.67363E-05   -0.89489E-08    0.17208E-10
    83    0.23314E+04   -0.13384E+02    0.65718E-05   -0.13384E+02    0.53419E+00   -0.90211E-08    0.65718E-05   -0.90211E-08    0.16695E-10
    84    0.23618E+04   -0.13997E+02    0.64139E-05   -0.13997E+02    0.55022E+00   -0.89778E-08    0.64139E-05   -0.89778E-08    0.16201E-10
    85    0.23924E+04   -0.14622E+02    0.62618E-05   -0.14622E+02    0.56630E+00   -0.88213E-08    0.62618E-05   -0.88213E-08    0.15726E-10
    86    0.24233E+04   -0.15258E+02    0.61151E-05   -0.15258E+02    0.58245E+00   -0.85596E-08    0.61151E-05   -0.85596E-08    0.15269E-10
    87    0.24546E+04   -0.15905E+02    0.59732E-05   -0.15905E+02    0.59863E+00   -0.82223E-08    0.59732E-05   -0.82223E-08    0.14829E-10
    88    0.24859E+04   -0.16560E+02    0.58360E-05   -0.16560E+02    0.61486E+00   -0.78450E-08    0.58360E-05   -0.78450E-08    0.14405E-10
    89    0.25176E+04   -0.17225E+02    0.57031E-05   -0.17225E+02    0.63115E+00   -0.74628E-08    0.57031E-05   -0.74628E-08    0.13996E-10
    90    0.25495E+04   -0.17897E+02    0.55742E-05   -0.17897E+02    0.64744E+00   -0.71112E-08    0.55742E-05   -0.71112E-08    0.13602E-10
    91    0.25816E+04   -0.18573E+02    0.54490E-05   -0.18573E+02    0.66374E+00   -0.68189E-08    0.54490E-05   -0.68189E-08    0.13221E-10
    92    0.26140E+04   -0.19255E+02    0.53274E-05   -0.19255E+02    0.68004E+00   -0.65880E-08    0.53274E-05   -0.65880E-08    0.12854E-10
    93    0.26467E+04   -0.19941E+02    0.52093E-05   -0.19941E+02    0.69632E+00   -0.64140E-08    0.52093E-05   -0.64140E-08    0.12499E-10
    94    0.26795E+04   -0.20631E+02    0.50947E-05   -0.20631E+02    0.71254E+00   -0.62923E-08    0.50947E-05   -0.62923E-08    0.12156E-10
    95    0.27126E+04   -0.21325E+02    0.49834E-05   -0.21325E+02    0.72871E+00   -0.62184E-08    0.49834E-05   -0.62184E-08    0.11825E-10
    96    0.27458E+04   -0.22022E+02    0.48753E-05   -0.22022E+02    0.74481E+00   -0.61878E-08    0.48753E-05   -0.61878E-08    0.11506E-10
    97    0.27794E+04   -0.22722E+02    0.47704E-05   -0.22722E+02    0.76082E+00   -0.61960E-08    0.47704E-05   -0.61960E-08    0.11198E-10
    98    0.28132E+04   -0.23422E+02    0.46685E-05   -0.23422E+02    0.77673E+00   -0.62384E-08    0.46685E-05   -0.62384E-08    0.10901E-10
    99    0.28472E+04   -0.24126E+02    0.45696E-05   -0.24126E+02    0.79251E+00   -0.63105E-08    0.45696E-05   -0.63105E-08    0.10614E-10
   100    0.28814E+04   -0.24829E+02    0.44736E-05   -0.24829E+02    0.80815E+00   -0.64078E-08    0.44736E-05   -0.64078E-08    0.10337E-10
   101    0.29159E+04   -0.25533E+02    0.43803E-05   -0.25533E+02    0.82371E+00   -0.65257E-08    0.43803E-05   -0.65257E-08    0.10069E-10
   102    0.29508E+04   -0.26238E+02    0.42898E-05   -0.26238E+02    0.83905E+00   -0.66597E-08    0.42898E-05   -0.66597E-08    0.98112E-11
   103    0.29857E+04   -0.26943E+02    0.42019E-05   -0.26943E+02    0.85422E+00   -0.68053E-08    0.42019E-05   -0.68053E-08    0.95618E-11
   104    0.30209E+04   -0.27646E+02    0.41165E-05   -0.27646E+02    0.86924E+00   -0.69580E-08    0.41165E-05   -0.69580E-08    0.93208E-11
   105    0.30562E+04   -0.28348E+02    0.40335E-05   -0.28348E+02    0.88403E+00   -0.71132E-08    0.40335E-05   -0.71132E-08    0.90879E-11
   106    0.30917E+04   -0.29049E+02    0.39528E-05   -0.29049E+02    0.89866E+00   -0.72664E-08    0.39528E-05   -0.72664E-08    0.88627E-11
