#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.905075E-05   0.471053E+06   0.471053E+06   0.628066E+06   0.628065E+06   0.508989E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.176653E+00
   0.935687E-05   0.471053E+06   0.471053E+06   0.628065E+06   0.628065E+06   0.508989E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.182628E+00
   0.967335E-05   0.471053E+06   0.471053E+06   0.628065E+06   0.628065E+06   0.508989E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.188805E+00
   0.100005E-04   0.471053E+06   0.471053E+06   0.628065E+06   0.628064E+06   0.508988E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.195191E+00
   0.103388E-04   0.471053E+06   0.471053E+06   0.628064E+06   0.628064E+06   0.508988E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.201793E+00
   0.106885E-04   0.471053E+06   0.471053E+06   0.628064E+06   0.628063E+06   0.508988E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.208618E+00
   0.110500E-04   0.471053E+06   0.471053E+06   0.628063E+06   0.628063E+06   0.508988E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.215674E+00
   0.114237E-04   0.471053E+06   0.471053E+06   0.628063E+06   0.628062E+06   0.508988E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.222969E+00
   0.118101E-04   0.471053E+06   0.471053E+06   0.628062E+06   0.628062E+06   0.508987E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.230510E+00
   0.122095E-04   0.471053E+06   0.471053E+06   0.628062E+06   0.628061E+06   0.508987E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.238307E+00
   0.126225E-04   0.471053E+06   0.471053E+06   0.628061E+06   0.628060E+06   0.508987E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.246367E+00
   0.130494E-04   0.471053E+06   0.471053E+06   0.628060E+06   0.628060E+06   0.508986E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469545E+06   0.469545E+06   0.254700E+00
   0.134908E-04   0.471053E+06   0.471053E+06   0.628060E+06   0.628059E+06   0.508986E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469544E+06   0.469544E+06   0.263314E+00
   0.139471E-04   0.471053E+06   0.471053E+06   0.628059E+06   0.628058E+06   0.508985E+06   0.471521E+06   0.471053E+06   0.476707E+06  -0.602530E+00   0.469544E+06   0.469544E+06   0.272220E+00
