#           k/h    P           
    0.10000E-03    0.24526E+00
    0.10202E-03    0.25011E+00
    0.10408E-03    0.25505E+00
    0.10618E-03    0.26009E+00
    0.10833E-03    0.26524E+00
    0.11052E-03    0.27048E+00
    0.11275E-03    0.27582E+00
    0.11503E-03    0.28128E+00
    0.11735E-03    0.28684E+00
    0.11972E-03    0.29250E+00
    0.12214E-03    0.29829E+00
    0.12461E-03    0.30418E+00
    0.12712E-03    0.31019E+00
    0.12969E-03    0.31632E+00
    0.13231E-03    0.32257E+00
    0.13499E-03    0.32895E+00
    0.13771E-03    0.33545E+00
    0.14049E-03    0.34208E+00
    0.14333E-03    0.34884E+00
    0.14623E-03    0.35573E+00
    0.14918E-03    0.36276E+00
    0.15220E-03    0.36993E+00
    0.15527E-03    0.37724E+00
    0.15841E-03    0.38469E+00
    0.16161E-03    0.39229E+00
    0.16487E-03    0.40004E+00
    0.16820E-03    0.40794E+00
    0.17160E-03    0.41600E+00
    0.17507E-03    0.42422E+00
    0.17860E-03    0.43260E+00
    0.18221E-03    0.44115E+00
    0.18589E-03    0.44986E+00
    0.18965E-03    0.45875E+00
    0.19348E-03    0.46781E+00
    0.19739E-03    0.47705E+00
    0.20138E-03    0.48647E+00
    0.20544E-03    0.49607E+00
    0.20959E-03    0.50587E+00
    0.21383E-03    0.51586E+00
    0.21815E-03    0.52604E+00
    0.22255E-03    0.53643E+00
    0.22705E-03    0.54702E+00
    0.23164E-03    0.55782E+00
    0.23632E-03    0.56883E+00
    0.24109E-03    0.58006E+00
    0.24596E-03    0.59151E+00
    0.25093E-03    0.60318E+00
    0.25600E-03    0.61508E+00
    0.26117E-03    0.62722E+00
    0.26645E-03    0.63960E+00
    0.27183E-03    0.65222E+00
    0.27732E-03    0.66508E+00
    0.28292E-03    0.67820E+00
    0.28864E-03    0.69158E+00
    0.29447E-03    0.70522E+00
    0.30042E-03    0.71912E+00
    0.30649E-03    0.73330E+00
    0.31268E-03    0.74776E+00
    0.31899E-03    0.76250E+00
    0.32544E-03    0.77753E+00
    0.33201E-03    0.79285E+00
    0.33872E-03    0.80847E+00
    0.34556E-03    0.82440E+00
    0.35254E-03    0.84064E+00
    0.35966E-03    0.85720E+00
    0.36693E-03    0.87408E+00
    0.37434E-03    0.89129E+00
    0.38190E-03    0.90884E+00
    0.38962E-03    0.92673E+00
    0.39749E-03    0.94497E+00
    0.40552E-03    0.96356E+00
    0.41371E-03    0.98251E+00
    0.42207E-03    0.10018E+01
    0.43060E-03    0.10215E+01
    0.43929E-03    0.10416E+01
    0.44817E-03    0.10621E+01
    0.45722E-03    0.10830E+01
    0.46646E-03    0.11042E+01
    0.47588E-03    0.11259E+01
    0.48550E-03    0.11480E+01
    0.49530E-03    0.11706E+01
    0.50531E-03    0.11935E+01
    0.51552E-03    0.12169E+01
    0.52593E-03    0.12408E+01
    0.53656E-03    0.12651E+01
    0.54739E-03    0.12899E+01
