#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.935396E-05   0.469038E+06   0.469038E+06   0.625379E+06   0.625379E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.192376E+00
   0.966998E-05   0.469038E+06   0.469038E+06   0.625379E+06   0.625378E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.198876E+00
   0.999669E-05   0.469038E+06   0.469038E+06   0.625378E+06   0.625378E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.205595E+00
   0.103344E-04   0.469038E+06   0.469038E+06   0.625378E+06   0.625377E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467703E+06   0.467703E+06   0.212541E+00
   0.106836E-04   0.469038E+06   0.469038E+06   0.625377E+06   0.625377E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602223E+00   0.467703E+06   0.467703E+06   0.219722E+00
   0.110445E-04   0.469038E+06   0.469038E+06   0.625377E+06   0.625376E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467703E+06   0.467703E+06   0.227145E+00
   0.114177E-04   0.469038E+06   0.469038E+06   0.625376E+06   0.625376E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467703E+06   0.467703E+06   0.234819E+00
   0.118034E-04   0.469038E+06   0.469038E+06   0.625376E+06   0.625375E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467703E+06   0.467703E+06   0.242753E+00
   0.122022E-04   0.469038E+06   0.469038E+06   0.625375E+06   0.625375E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467703E+06   0.467703E+06   0.250954E+00
   0.126145E-04   0.469038E+06   0.469038E+06   0.625375E+06   0.625374E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.259433E+00
   0.130406E-04   0.469038E+06   0.469038E+06   0.625374E+06   0.625374E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.268198E+00
   0.134812E-04   0.469038E+06   0.469038E+06   0.625374E+06   0.625373E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.277259E+00
   0.139367E-04   0.469038E+06   0.469038E+06   0.625373E+06   0.625372E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.286626E+00
   0.144075E-04   0.469038E+06   0.469038E+06   0.625372E+06   0.625371E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.296310E+00
   0.148943E-04   0.469038E+06   0.469038E+06   0.625371E+06   0.625370E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.306321E+00
   0.153975E-04   0.469038E+06   0.469038E+06   0.625370E+06   0.625370E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.316670E+00
   0.159177E-04   0.469038E+06   0.469038E+06   0.625369E+06   0.625368E+06   0.472302E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.327369E+00
   0.164555E-04   0.469038E+06   0.469038E+06   0.625368E+06   0.625368E+06   0.472301E+06   0.469280E+06   0.469038E+06   0.475425E+06  -0.602222E+00   0.467702E+06   0.467702E+06   0.338429E+00
