#           k/h    P           
    0.42098E-02    0.77559E+01
    0.42948E-02    0.78573E+01
    0.43816E-02    0.79587E+01
    0.44701E-02    0.80601E+01
    0.45604E-02    0.81615E+01
    0.46525E-02    0.82628E+01
    0.47465E-02    0.83640E+01
    0.48424E-02    0.84650E+01
    0.49402E-02    0.85657E+01
    0.50400E-02    0.86662E+01
    0.51419E-02    0.87663E+01
    0.52457E-02    0.88659E+01
    0.53517E-02    0.89651E+01
    0.54598E-02    0.90636E+01
    0.55701E-02    0.91615E+01
    0.56826E-02    0.92587E+01
    0.57974E-02    0.93550E+01
    0.59145E-02    0.94503E+01
    0.60340E-02    0.95446E+01
    0.61559E-02    0.96377E+01
    0.62803E-02    0.97295E+01
    0.64072E-02    0.98198E+01
    0.65366E-02    0.99085E+01
    0.66686E-02    0.99955E+01
    0.68033E-02    0.10081E+02
    0.69408E-02    0.10163E+02
    0.70810E-02    0.10244E+02
    0.72240E-02    0.10322E+02
    0.73700E-02    0.10398E+02
    0.75189E-02    0.10470E+02
    0.76708E-02    0.10540E+02
    0.78257E-02    0.10606E+02
    0.79838E-02    0.10669E+02
    0.81451E-02    0.10728E+02
    0.83096E-02    0.10783E+02
    0.84775E-02    0.10834E+02
    0.86488E-02    0.10881E+02
    0.88235E-02    0.10923E+02
    0.90017E-02    0.10961E+02
    0.91836E-02    0.10994E+02
    0.93691E-02    0.11022E+02
    0.95583E-02    0.11046E+02
    0.97514E-02    0.11064E+02
    0.99484E-02    0.11077E+02
    0.10149E-01    0.11084E+02
    0.10354E-01    0.11086E+02
    0.10564E-01    0.11083E+02
    0.10777E-01    0.11075E+02
    0.10995E-01    0.11061E+02
    0.11217E-01    0.11042E+02
    0.11443E-01    0.11017E+02
    0.11675E-01    0.10986E+02
    0.11910E-01    0.10950E+02
    0.12151E-01    0.10909E+02
    0.12397E-01    0.10861E+02
    0.12647E-01    0.10808E+02
    0.12902E-01    0.10749E+02
    0.13163E-01    0.10685E+02
    0.13429E-01    0.10614E+02
    0.13700E-01    0.10538E+02
    0.13977E-01    0.10456E+02
    0.14259E-01    0.10368E+02
    0.14547E-01    0.10275E+02
    0.14841E-01    0.10176E+02
    0.15141E-01    0.10072E+02
    0.15447E-01    0.99622E+01
    0.15759E-01    0.98475E+01
    0.16077E-01    0.97280E+01
    0.16402E-01    0.96037E+01
    0.16734E-01    0.94749E+01
    0.17072E-01    0.93417E+01
    0.17416E-01    0.92043E+01
    0.17768E-01    0.90626E+01
    0.18127E-01    0.89169E+01
    0.18493E-01    0.87676E+01
    0.18867E-01    0.86147E+01
    0.19248E-01    0.84584E+01
    0.19637E-01    0.82987E+01
    0.20034E-01    0.81360E+01
    0.20438E-01    0.79704E+01
    0.20851E-01    0.78023E+01
    0.21272E-01    0.76319E+01
    0.21702E-01    0.74596E+01
    0.22141E-01    0.72855E+01
    0.22588E-01    0.71100E+01
    0.23044E-01    0.69332E+01
    0.23510E-01    0.67555E+01
    0.23985E-01    0.65770E+01
    0.24469E-01    0.63980E+01
    0.24964E-01    0.62188E+01
    0.25468E-01    0.60395E+01
    0.25982E-01    0.58606E+01
    0.26507E-01    0.56823E+01
    0.27043E-01    0.55049E+01
    0.27589E-01    0.53288E+01
    0.28146E-01    0.51542E+01
    0.28715E-01    0.49815E+01
    0.29295E-01    0.48109E+01
