#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12852E+04    0.15012E+01    0.21614E-04    0.15012E+01    0.81929E-01   -0.83956E-08    0.21614E-04   -0.83956E-08    0.75172E-10
    44    0.13039E+04    0.13790E+01    0.20663E-04    0.13790E+01    0.88404E-01   -0.74968E-08    0.20663E-04   -0.74968E-08    0.71553E-10
    45    0.13229E+04    0.12476E+01    0.19767E-04    0.12476E+01    0.95169E-01   -0.77708E-08    0.19767E-04   -0.77708E-08    0.68163E-10
    46    0.13423E+04    0.11060E+01    0.18921E-04    0.11060E+01    0.10222E+00   -0.91227E-08    0.18921E-04   -0.91227E-08    0.64981E-10
    47    0.13619E+04    0.95299E+00    0.18121E-04    0.95299E+00    0.10957E+00   -0.11172E-07    0.18121E-04   -0.11172E-07    0.61992E-10
    48    0.13816E+04    0.78966E+00    0.17366E-04    0.78966E+00    0.11723E+00   -0.13468E-07    0.17366E-04   -0.13468E-07    0.59183E-10
    49    0.14014E+04    0.61657E+00    0.16654E-04    0.61657E+00    0.12520E+00   -0.15559E-07    0.16654E-04   -0.15559E-07    0.56542E-10
    50    0.14216E+04    0.42749E+00    0.15983E-04    0.42749E+00    0.13347E+00   -0.16992E-07    0.15983E-04   -0.16992E-07    0.54054E-10
    51    0.14420E+04    0.21588E+00    0.15350E-04    0.21588E+00    0.14201E+00   -0.17438E-07    0.15350E-04   -0.17438E-07    0.51708E-10
    52    0.14627E+04   -0.20319E-01    0.14753E-04   -0.20319E-01    0.15089E+00   -0.17044E-07    0.14753E-04   -0.17044E-07    0.49493E-10
    53    0.14835E+04   -0.28024E+00    0.14190E-04   -0.28024E+00    0.16025E+00   -0.16080E-07    0.14190E-04   -0.16080E-07    0.47403E-10
    54    0.15042E+04   -0.55503E+00    0.13658E-04   -0.55503E+00    0.17004E+00   -0.14814E-07    0.13658E-04   -0.14814E-07    0.45427E-10
    55    0.15251E+04   -0.83573E+00    0.13154E-04   -0.83573E+00    0.18022E+00   -0.13514E-07    0.13154E-04   -0.13514E-07    0.43558E-10
    56    0.15464E+04   -0.11209E+01    0.12675E-04   -0.11209E+01    0.19064E+00   -0.12414E-07    0.12675E-04   -0.12414E-07    0.41788E-10
    57    0.15681E+04   -0.14128E+01    0.12220E-04   -0.14128E+01    0.20119E+00   -0.11596E-07    0.12220E-04   -0.11596E-07    0.40110E-10
    58    0.15901E+04   -0.17158E+01    0.11788E-04   -0.17158E+01    0.21191E+00   -0.11109E-07    0.11788E-04   -0.11109E-07    0.38520E-10
    59    0.16123E+04   -0.20345E+01    0.11375E-04   -0.20345E+01    0.22285E+00   -0.11000E-07    0.11375E-04   -0.11000E-07    0.37011E-10
    60    0.16347E+04   -0.23719E+01    0.10982E-04   -0.23719E+01    0.23408E+00   -0.11315E-07    0.10982E-04   -0.11315E-07    0.35578E-10
    61    0.16576E+04   -0.27298E+01    0.10605E-04   -0.27298E+01    0.24572E+00   -0.12062E-07    0.10605E-04   -0.12062E-07    0.34216E-10
    62    0.16804E+04   -0.31071E+01    0.10246E-04   -0.31071E+01    0.25773E+00   -0.13089E-07    0.10246E-04   -0.13089E-07    0.32921E-10
    63    0.17034E+04   -0.35021E+01    0.99023E-05   -0.35021E+01    0.27006E+00   -0.14205E-07    0.99023E-05   -0.14205E-07    0.31689E-10
    64    0.17267E+04   -0.39128E+01    0.95748E-05   -0.39128E+01    0.28271E+00   -0.15219E-07    0.95748E-05   -0.15219E-07    0.30517E-10
    65    0.17502E+04   -0.43371E+01    0.92629E-05   -0.43371E+01    0.29562E+00   -0.15937E-07    0.92629E-05   -0.15937E-07    0.29400E-10
    66    0.17740E+04   -0.47708E+01    0.89660E-05   -0.47708E+01    0.30873E+00   -0.16214E-07    0.89660E-05   -0.16214E-07    0.28335E-10
    67    0.17981E+04   -0.52121E+01    0.86837E-05   -0.52121E+01    0.32203E+00   -0.16080E-07    0.86837E-05   -0.16080E-07    0.27319E-10
    68    0.18227E+04   -0.56610E+01    0.84151E-05   -0.56610E+01    0.33559E+00   -0.15612E-07    0.84151E-05   -0.15612E-07    0.26350E-10
    69    0.18476E+04   -0.61176E+01    0.81598E-05   -0.61176E+01    0.34936E+00   -0.14885E-07    0.81598E-05   -0.14885E-07    0.25425E-10
    70    0.18729E+04   -0.65850E+01    0.79169E-05   -0.65850E+01    0.36340E+00   -0.13976E-07    0.79169E-05   -0.13976E-07    0.24541E-10
    71    0.18984E+04   -0.70672E+01    0.76858E-05   -0.70672E+01    0.37770E+00   -0.12965E-07    0.76858E-05   -0.12965E-07    0.23697E-10
    72    0.19242E+04   -0.75657E+01    0.74652E-05   -0.75657E+01    0.39223E+00   -0.11950E-07    0.74652E-05   -0.11950E-07    0.22889E-10
    73    0.19502E+04   -0.80811E+01    0.72536E-05   -0.80811E+01    0.40695E+00   -0.11037E-07    0.72536E-05   -0.11037E-07    0.22117E-10
    74    0.19763E+04   -0.86124E+01    0.70496E-05   -0.86124E+01    0.42184E+00   -0.10329E-07    0.70496E-05   -0.10329E-07    0.21377E-10
    75    0.20027E+04   -0.91582E+01    0.68518E-05   -0.91582E+01    0.43688E+00   -0.99302E-08    0.68518E-05   -0.99302E-08    0.20670E-10
    76    0.20293E+04   -0.97173E+01    0.66592E-05   -0.97173E+01    0.45207E+00   -0.99064E-08    0.66592E-05   -0.99064E-08    0.19991E-10
    77    0.20562E+04   -0.10288E+02    0.64720E-05   -0.10288E+02    0.46741E+00   -0.10172E-07    0.64720E-05   -0.10172E-07    0.19341E-10
    78    0.20835E+04   -0.10871E+02    0.62910E-05   -0.10871E+02    0.48291E+00   -0.10602E-07    0.62910E-05   -0.10602E-07    0.18718E-10
    79    0.21110E+04   -0.11459E+02    0.61168E-05   -0.11459E+02    0.49853E+00   -0.11072E-07    0.61168E-05   -0.11072E-07    0.18121E-10
    80    0.21388E+04   -0.12053E+02    0.59502E-05   -0.12053E+02    0.51425E+00   -0.11460E-07    0.59502E-05   -0.11460E-07    0.17547E-10
    81    0.21670E+04   -0.12652E+02    0.57915E-05   -0.12652E+02    0.53004E+00   -0.11666E-07    0.57915E-05   -0.11666E-07    0.16997E-10
    82    0.21955E+04   -0.13257E+02    0.56403E-05   -0.13257E+02    0.54592E+00   -0.11696E-07    0.56403E-05   -0.11696E-07    0.16468E-10
    83    0.22243E+04   -0.13868E+02    0.54957E-05   -0.13868E+02    0.56185E+00   -0.11584E-07    0.54957E-05   -0.11584E-07    0.15960E-10
    84    0.22535E+04   -0.14488E+02    0.53571E-05   -0.14488E+02    0.57784E+00   -0.11360E-07    0.53571E-05   -0.11360E-07    0.15472E-10
    85    0.22829E+04   -0.15118E+02    0.52235E-05   -0.15118E+02    0.59386E+00   -0.11057E-07    0.52235E-05   -0.11057E-07    0.15003E-10
    86    0.23125E+04   -0.15759E+02    0.50944E-05   -0.15759E+02    0.60992E+00   -0.10706E-07    0.50944E-05   -0.10706E-07    0.14552E-10
    87    0.23427E+04   -0.16410E+02    0.49694E-05   -0.16410E+02    0.62599E+00   -0.10328E-07    0.49694E-05   -0.10328E-07    0.14119E-10
    88    0.23728E+04   -0.17069E+02    0.48485E-05   -0.17069E+02    0.64208E+00   -0.99444E-08    0.48485E-05   -0.99444E-08    0.13701E-10
    89    0.24034E+04   -0.17736E+02    0.47315E-05   -0.17736E+02    0.65815E+00   -0.95759E-08    0.47315E-05   -0.95759E-08    0.13299E-10
    90    0.24342E+04   -0.18408E+02    0.46183E-05   -0.18408E+02    0.67418E+00   -0.92428E-08    0.46183E-05   -0.92428E-08    0.12911E-10
    91    0.24652E+04   -0.19084E+02    0.45086E-05   -0.19084E+02    0.69014E+00   -0.89617E-08    0.45086E-05   -0.89617E-08    0.12537E-10
    92    0.24966E+04   -0.19762E+02    0.44024E-05   -0.19762E+02    0.70602E+00   -0.87329E-08    0.44024E-05   -0.87329E-08    0.12176E-10
    93    0.25282E+04   -0.20444E+02    0.42997E-05   -0.20444E+02    0.72180E+00   -0.85524E-08    0.42997E-05   -0.85524E-08    0.11828E-10
    94    0.25600E+04   -0.21127E+02    0.42002E-05   -0.21127E+02    0.73746E+00   -0.84163E-08    0.42002E-05   -0.84163E-08    0.11492E-10
    95    0.25922E+04   -0.21812E+02    0.41039E-05   -0.21812E+02    0.75298E+00   -0.83209E-08    0.41039E-05   -0.83209E-08    0.11168E-10
    96    0.26244E+04   -0.22499E+02    0.40108E-05   -0.22499E+02    0.76835E+00   -0.82621E-08    0.40108E-05   -0.82621E-08    0.10856E-10
    97    0.26570E+04   -0.23186E+02    0.39206E-05   -0.23186E+02    0.78356E+00   -0.82361E-08    0.39206E-05   -0.82361E-08    0.10555E-10
    98    0.26899E+04   -0.23872E+02    0.38333E-05   -0.23872E+02    0.79860E+00   -0.82390E-08    0.38333E-05   -0.82390E-08    0.10264E-10
    99    0.27229E+04   -0.24558E+02    0.37488E-05   -0.24558E+02    0.81343E+00   -0.82670E-08    0.37488E-05   -0.82670E-08    0.99840E-11
   100    0.27563E+04   -0.25242E+02    0.36671E-05   -0.25242E+02    0.82804E+00   -0.83162E-08    0.36671E-05   -0.83162E-08    0.97139E-11
   101    0.27898E+04   -0.25926E+02    0.35879E-05   -0.25926E+02    0.84249E+00   -0.83826E-08    0.35879E-05   -0.83826E-08    0.94534E-11
   102    0.28239E+04   -0.26607E+02    0.35113E-05   -0.26607E+02    0.85664E+00   -0.84624E-08    0.35113E-05   -0.84624E-08    0.92021E-11
   103    0.28579E+04   -0.27286E+02    0.34370E-05   -0.27286E+02    0.87056E+00   -0.85518E-08    0.34370E-05   -0.85518E-08    0.89596E-11
   104    0.28922E+04   -0.27961E+02    0.33650E-05   -0.27961E+02    0.88425E+00   -0.86467E-08    0.33650E-05   -0.86467E-08    0.87255E-11
   105    0.29266E+04   -0.28633E+02    0.32953E-05   -0.28633E+02    0.89762E+00   -0.87435E-08    0.32953E-05   -0.87435E-08    0.84994E-11
   106    0.29613E+04   -0.29300E+02    0.32276E-05   -0.29300E+02    0.91076E+00   -0.88381E-08    0.32276E-05   -0.88381E-08    0.82809E-11
   107    0.29959E+04   -0.29962E+02    0.31620E-05   -0.29962E+02    0.92351E+00   -0.89267E-08    0.31620E-05   -0.89267E-08    0.80697E-11
   108    0.30310E+04   -0.30620E+02    0.30983E-05   -0.30620E+02    0.93595E+00   -0.90054E-08    0.30983E-05   -0.90054E-08    0.78653E-11
   109    0.30661E+04   -0.31271E+02    0.30364E-05   -0.31271E+02    0.94799E+00   -0.90703E-08    0.30364E-05   -0.90703E-08    0.76674E-11
   110    0.31014E+04   -0.31914E+02    0.29761E-05   -0.31914E+02    0.95965E+00   -0.91175E-08    0.29761E-05   -0.91175E-08    0.74755E-11
   111    0.31369E+04   -0.32551E+02    0.29176E-05   -0.32551E+02    0.97098E+00   -0.91441E-08    0.29176E-05   -0.91441E-08    0.72892E-11
   112    0.31725E+04   -0.33181E+02    0.28605E-05   -0.33181E+02    0.98193E+00   -0.91503E-08    0.28605E-05   -0.91503E-08    0.71086E-11
   113    0.32083E+04   -0.33802E+02    0.28050E-05   -0.33802E+02    0.99248E+00   -0.91373E-08    0.28050E-05   -0.91373E-08    0.69332E-11
   114    0.32442E+04   -0.34413E+02    0.27510E-05   -0.34413E+02    0.10026E+01   -0.91062E-08    0.27510E-05   -0.91062E-08    0.67632E-11
   115    0.32804E+04   -0.35015E+02    0.26985E-05   -0.35015E+02    0.10123E+01   -0.90582E-08    0.26985E-05   -0.90582E-08    0.65982E-11
